자치구,안심 주소,lat,lng,cctv_cnt,수정 일시,dong
성동구,B010_(고정1)7_뚝섬역 7번출구 주변,37.5474,127.0465,1,2022-12-01,성수동1가
성동구,B012_(고정1)3_뚝섬역 2번출구 주변,37.5476,127.0468,1,2022-12-01,성수동1가
성동구,B012_(고정2)7_뚝섬역 2번출구 주변,37.5476,127.0468,1,2022-12-01,성수동1가
성동구,B013_(고정1)3_성수역 4번출구 아래,37.5448,127.0548,1,2022-12-01,성수동2가
성동구,B013_(고정2)7_성수역 4번출구 아래,37.5448,127.0548,1,2022-12-01,성수동2가
성동구,B014_(고정1)3_성수역 4번출구 건너,37.5445,127.0558,1,2022-12-01,성수동2가
성동구,B014_(고정2)7_성수역 4번출구 건너,37.5445,127.0558,1,2022-12-01,성수동2가
성동구,B015_(고정1)7_성수동2가 315-109 (분기),37.5442,127.0568,1,2022-12-01,성수동2가
성동구,B015_(고정2)8_성수역 3번출구 아래,37.5442,127.0568,1,2022-12-01,성수동2가
성동구,B015_(고정3)3_성수동2가 315-109 (분기),37.5442,127.0568,1,2022-12-01,성수동2가
성동구,B018_(고정1)3_성수역 1번출구 주변,37.5451,127.0549,1,2022-12-01,성수동2가
성동구,B018_(고정2)7_성수역 1번출구 주변,37.5451,127.0549,1,2022-12-01,성수동2가
성동구,C001_(고정1)7_용답초교,37.5608,127.0547,1,2022-12-01,용답동
성동구,C001_(고정2)6_전농천쪽 계단,37.5608,127.0547,1,2022-12-01,용답동
성동구,C001_(회전)_용답동 24-37,37.5608,127.0547,1,2022-12-01,용답동
성동구,C002_(고정1)9_중앙하이츠,37.5627,127.0542,1,2022-12-01,용답동
성동구,C002_(고정2)3_전농천,37.5627,127.0542,1,2022-12-01,용답동
성동구,C002_(고정3)7_새마을금고,37.5627,127.0542,1,2022-12-01,용답동
성동구,C002_(회전)_용답동 44-6,37.5627,127.0542,1,2022-12-01,용답동
성동구,C003_(고정1)7_용답도서관,37.5646,127.0537,1,2022-12-01,용답동
성동구,C003_(고정2)1_새마을금고,37.5646,127.0537,1,2022-12-01,용답동
성동구,C003_(고정3)3_중앙하이츠,37.5646,127.0537,1,2022-12-01,용답동
성동구,C003_(회전)_용답동 58-1,37.5646,127.0537,1,2022-12-01,용답동
성동구,C004_(고정1)1_용답도서관,37.5674,127.0517,1,2022-12-01,용답동
성동구,C004_(고정2)3_세븐일레븐 용답본점,37.5674,127.0517,1,2022-12-01,용답동
성동구,C004_(회전)_용답동 103-9,37.5674,127.0517,1,2022-12-01,용답동
성동구,C005_(고정1)7_명문예식장,37.5636,127.0508,1,2022-12-01,용답동
성동구,C005_(고정2)9_용답파출소,37.5636,127.0508,1,2022-12-01,용답동
성동구,C005_(고정3)3_용답길 73(분기),37.5635,127.0509,1,2022-12-01,용답동
성동구,C005_(회전)_용답동 170-8,37.5636,127.0508,1,2022-12-01,용답동
성동구,C007_(고정1)6_성동구청,37.5642,127.0342,1,2022-12-01,도선동
성동구,C007_(고정2)2_스타벅스왕십리점,37.5642,127.0342,1,2022-12-01,도선동
성동구,C007_(회전)_도선동 185-28,37.5642,127.0342,1,2022-12-01,도선동
성동구,C008_(고정1)6_삼성쉐르빌,37.5647,127.033,1,2022-12-01,도선동
성동구,C008_(고정2)8_한국기원,37.5647,127.0329,1,2022-12-01,도선동
성동구,C008_(고정3)4_관음사,37.5647,127.0329,1,2022-12-01,도선동
성동구,C008_(회전)_도선동 177,37.5647,127.033,1,2022-12-01,도선동
성동구,C009_(고정1)7_센트라스,37.5636,127.0327,1,2022-12-01,도선동
성동구,C009_(고정2)3_스타벅스 왕십리역점,37.5636,127.0327,1,2022-12-01,도선동
성동구,C009_(고정3)8_한국기원,37.5636,127.0327,1,2022-12-01,도선동
성동구,C009_(회전)_도선동 284-2,37.5636,127.0327,1,2022-12-01,도선동
성동구,C010_(고정1)9_호텔컬리넌,37.562,127.0345,1,2022-12-01,도선동
성동구,C010_(고정2)7_상왕십리역,37.5621,127.0346,1,2022-12-01,도선동
성동구,C010_(회전)_도선동 45,37.5621,127.0346,1,2022-12-01,도선동
성동구,C011_(고정1)1_행당시장,37.5618,127.0337,1,2022-12-01,행당동
성동구,C011_(고정2)9_왕십리대로,37.5618,127.0337,1,2022-12-01,행당동
성동구,C011_(고정3)7_한양고시원,37.5618,127.0337,1,2022-12-01,행당동
성동구,C011_(회전)_행당1동 286-14,37.5618,127.0337,1,2022-12-01,행당동
성동구,C012_(고정1)3_서울숲 더  ,37.5586,127.0372,1,2022-12-01,행당동
성동구,C012_(고정2)7_성동문화광장,37.5586,127.0372,1,2022-12-01,행당동
성동구,C012_(고정3)1_행당1동주민센터,37.5586,127.0372,1,2022-12-01,행당동
성동구,C012_(회전)_행당동 134-4,37.5586,127.0372,1,2022-12-01,행당동
성동구,C013_(고정1)3_연어왕국,37.5621,127.032,1,2022-12-01,하왕십리동
성동구,C013_(고정2)9_왕십리대로,37.5621,127.032,1,2022-12-01,하왕십리동
성동구,C013_(고정3)1_새마을금고,37.5621,127.032,1,2022-12-01,하왕십리동
성동구,C013_(회전)_하왕십리동 966-43 (주정차),37.5621,127.032,1,2022-12-01,하왕십리동
성동구,C014_(DFS)_무학봉15길 23 무학초교 정문1,37.563,127.0307,1,2022-12-01,하왕십리동
성동구,C014_(고정1)2_한마음정육점_무학봉15길 22,37.5631,127.0307,1,2022-12-01,하왕십리동
성동구,C014_(고정2)7_디케이연기아카데미_무학봉15길22,37.5631,127.0307,1,2022-12-01,하왕십리동
성동구,C014_(고정3)8_왕십리대로_무학봉15길 22,37.563,127.0307,1,2022-12-01,하왕십리동
성동구,C014_(회전)_무학봉15길 22 (주정차),37.563,127.0307,1,2022-12-01,하왕십리동
성동구,C015_(고정1)6_금호교회,37.5489,127.0213,1,2022-12-01,금호동3가
성동구,C015_(고정2)4_화단삼거리방향,37.5489,127.0213,1,2022-12-01,금호동3가
성동구,C015_(고정3)8_금남소공원,37.5489,127.0213,1,2022-12-01,금호동3가
성동구,C015_(고정4)2_금남시장교차로,37.5489,127.0213,1,2022-12-01,금호동3가
성동구,C015_(회전)_금호동3가 451,37.5489,127.0213,1,2022-12-01,금호동3가
성동구,C016_(고정1)1_금호브라운스톤1차,37.5473,127.0171,1,2022-12-01,금호동4가
성동구,C016_(고정2)7_금호성결교회,37.5473,127.0171,1,2022-12-01,금호동4가
성동구,C016_(고정3)9_화단삼거리,37.5473,127.0171,1,2022-12-01,금호동4가
성동구,C016_(회전)_롯데캐슬주변(금옥초후문-주정차),37.5473,127.0171,1,2022-12-01,금호동4가
성동구,C017_(고정1)2_서울숲더샵 방향,37.5613,127.0393,1,2022-12-01,행당동
성동구,C017_(고정2)8_우성아파트 방향,37.5612,127.0394,1,2022-12-01,행당동
성동구,C017_(고정3)4_마조로11길 19(분기),37.5617,127.0393,1,2022-12-01,행당동
성동구,C017_(고정4)6_마조로11길 19(분기),37.5617,127.0393,1,2022-12-01,행당동
성동구,C017_(회전)_행당동 1-17,37.5613,127.0393,1,2022-12-01,행당동
성동구,C018_(고정1)6_사대부고,37.5619,127.0411,1,2022-12-01,행당동
성동구,C018_(고정2)4_왕십리역,37.5619,127.0411,1,2022-12-01,행당동
성동구,C018_(고정3)2_한양시장,37.5619,127.0411,1,2022-12-01,행당동
성동구,C018_(회전)_행당동 1-93,37.5619,127.0411,1,2022-12-01,행당동
성동구,C019_(고정1)7_트리마제,37.5362,127.0504,1,2022-12-01,성수동1가
성동구,C019_(고정2)3_강변현대,37.5362,127.0504,1,2022-12-01,성수동1가
성동구,C019_(회전)_성수1가1동 343,37.5362,127.0504,1,2022-12-01,성수동1가
성동구,C020_(고정1)7_또또와마트,37.5513,127.0303,1,2022-12-01,응봉동
성동구,C020_(고정2)9_청우빌라,37.5513,127.0303,1,2022-12-01,응봉동
성동구,C020_(고정3)1_응봉파출소 방향,37.5513,127.0303,1,2022-12-01,응봉동
성동구,C020_(고정4)2_무단투기,37.5513,127.0303,1,2022-12-01,응봉동
성동구,C020_(회전)_응봉동 265-166,37.5513,127.0303,1,2022-12-01,응봉동
성동구,C021_(고정1)1_성수우방,37.5505,127.0487,1,2022-12-01,성수동1가
성동구,C021_(고정2)3_대건하이츠,37.5505,127.0487,1,2022-12-01,성수동1가
성동구,C021_(고정3)7_성수동아그린,37.5505,127.0487,1,2022-12-01,성수동1가
성동구,C021_(고정4)9_SK주유소,37.5505,127.0487,1,2022-12-01,성수동1가
성동구,C021_(고정5)2_성수동1가 13-73(분기),37.55,127.0484,1,2022-12-01,성수동1가
성동구,C021_(고정6)8_성수동1가 13-73(분기),37.55,127.0484,1,2022-12-01,성수동1가
성동구,C021_(회전)_성수1가2동 13-54,37.5505,127.0487,1,2022-12-01,성수동1가
성동구,C022_(고정1)1_쌍용아파트,37.5498,127.0498,1,2022-12-01,성수동1가
성동구,C022_(고정2)3_우성아파트,37.5498,127.0498,1,2022-12-01,성수동1가
성동구,C022_(회전)_성수1가2동 13-117,37.5498,127.0498,1,2022-12-01,성수동1가
성동구,C023_(고정1)9_성수대우2차,37.5483,127.0484,1,2022-12-01,성수동1가
성동구,C023_(고정2)8_쌍용아파트,37.5483,127.0484,1,2022-12-01,성수동1가
성동구,C023_(고정3)2_뚝섬역,37.5483,127.0484,1,2022-12-01,성수동1가
성동구,C023_(회전)_성수1가2동 13-145,37.5483,127.0484,1,2022-12-01,성수동1가
성동구,C024_(고정1)7_성동교 교차로,37.5488,127.0456,1,2022-12-01,성수동1가
성동구,C024_(고정2)3_새마을금고,37.5488,127.0456,1,2022-12-01,성수동1가
성동구,C024_(회전)_성수1가2동 656-805,37.5488,127.0456,1,2022-12-01,성수동1가
성동구,C025_(고정1)4_국민은행 성수동지점,37.5396,127.0579,1,2022-12-01,성수동2가
성동구,C025_(고정2)2_영광교회,37.5396,127.0579,1,2022-12-01,성수동2가
성동구,C025_(고정3)7_성수우성2차,37.5396,127.0579,1,2022-12-01,성수동2가
성동구,C025_(회전)_경수초 앞 (주정차),37.5396,127.0579,1,2022-12-01,성수동2가
성동구,C026_(고정1)2_미스터피자성수점,37.5381,127.0598,1,2022-12-01,성수동2가
성동구,C026_(고정2)8_정안맨숀,37.5381,127.0598,1,2022-12-01,성수동2가
성동구,C026_(고정3)9_보문특수칼라,37.5381,127.0598,1,2022-12-01,성수동2가
성동구,C026_(회전)_성수2가1동 231-1,37.5381,127.0598,1,2022-12-01,성수동2가
성동구,C027_(고정1)3_동일로(고가차도입구),37.5401,127.0605,1,2022-12-01,성수동2가
성동구,C027_(고정2)9_아차산로(성수사거리인근),37.5401,127.0605,1,2022-12-01,성수동2가
성동구,C027_(고정3)1_SD웨딩타워,37.5401,127.0605,1,2022-12-01,성수동2가
성동구,C027_(회전)_성수2가1동 255-1,37.5401,127.0605,1,2022-12-01,성수동2가
성동구,C028_(고정1)7_모닝마트,37.5361,127.0557,1,2022-12-01,성수동2가
성동구,C028_(고정2)2_청구강변,37.5361,127.0557,1,2022-12-01,성수동2가
성동구,C028_(회전)_성수2가1동 655,37.5361,127.0557,1,2022-12-01,성수동2가
성동구,C029_(고정1)7_성수우방2차,37.5474,127.055,1,2022-12-01,성수동2가
성동구,C029_(고정2)9_성수2가3동주민센터,37.5474,127.055,1,2022-12-01,성수동2가
성동구,C029_(고정3)2_성수역1번,37.5474,127.055,1,2022-12-01,성수동2가
성동구,C029_(고정4)3_성수롯데캐슬파크,37.5474,127.055,1,2022-12-01,성수동2가
성동구,C029_(회전)_성수동2가 289-262,37.5474,127.055,1,2022-12-01,성수동2가
성동구,C030_(고정1)3_충원교회방향,37.5488,127.0529,1,2022-12-01,성수동2가
성동구,C030_(고정2)7_대도금속,37.5488,127.0529,1,2022-12-01,성수동2가
성동구,C030_(회전)_성수2가3동 299-151,37.5488,127.0529,1,2022-12-01,성수동2가
성동구,C031_(고정1)6_47번 국도방향 송정동 16-11,37.5523,127.0686,1,2022-12-01,송정동
성동구,C031_(고정2)7_송정제방길 방향 송정동 16-11,37.5523,127.0686,1,2022-12-01,송정동
성동구,C031_(영상비상벨)_송정동 107,37.5523,127.0686,1,2022-12-01,송정동
성동구,C032_(고정1)1_파리바게트,37.5495,127.0665,1,2022-12-01,송정동
성동구,C032_(고정2)3_화양사거리,37.5495,127.0665,1,2022-12-01,송정동
성동구,C032_(회전)_송정동 66-34 (주정차),37.5495,127.0665,1,2022-12-01,송정동
성동구,C033_(고정1)8_센트라스,37.564,127.0271,1,2022-12-01,하왕십리동
성동구,C033_(고정2)1_한진그랑빌,37.564,127.0271,1,2022-12-01,하왕십리동
성동구,C033_(회전)_하왕십리동 890-17,37.564,127.0271,1,2022-12-01,하왕십리동
성동구,C034_(고정1)6_한신무학,37.5622,127.0266,1,2022-12-01,하왕십리동
성동구,C034_(고정2)4_무학봉체육관,37.5622,127.0266,1,2022-12-01,하왕십리동
성동구,C034_(회전)_하왕십리동 1052-1,37.5622,127.0266,1,2022-12-01,하왕십리동
성동구,C035_(고정1)2_무학여고 방향,37.5639,127.0347,1,2022-12-01,도선동
성동구,C035_(고정2)6_성동구청,37.5639,127.0347,1,2022-12-01,도선동
성동구,C035_(회전)_도선동 125,37.5639,127.0347,1,2022-12-01,도선동
성동구,C036_(고정1)2_도선마을공원,37.5662,127.0319,1,2022-12-01,홍익동
성동구,C036_(고정2)8_청계벽산,37.5662,127.0319,1,2022-12-01,홍익동
성동구,C036_(고정3)4_주암해븐,37.5662,127.0319,1,2022-12-01,홍익동
성동구,C036_(회전)_왕십리도선동 344-1,37.5662,127.0319,1,2022-12-01,홍익동
성동구,C037_(고정1)4_무학로 방면,37.5672,127.0309,1,2022-12-01,홍익동
성동구,C037_(고정2)2_마장로 방면,37.5672,127.0309,1,2022-12-01,홍익동
성동구,C037_(고정3)6_왕십리 파출소,37.5672,127.0309,1,2022-12-01,홍익동
성동구,C037_(회전)_무학로14길 6-21 (주정차),37.5672,127.0309,1,2022-12-01,홍익동
성동구,C038_(고정1)3_한양대,37.5602,127.0361,1,2022-12-01,행당동
성동구,C038_(고정2)7_왕십리역교차로,37.5602,127.0361,1,2022-12-01,행당동
성동구,C038_(회전)_행당동 267-18,37.5602,127.0361,1,2022-12-01,행당동
성동구,C039_(고정1)4_성동종합사회복지관,37.5703,127.037,1,2022-12-01,마장동
성동구,C039_(고정2)2_동명초교,37.5703,127.037,1,2022-12-01,마장동
성동구,C039_(고정3)8_도시관리공단,37.5703,127.037,1,2022-12-01,마장동
