,성수동1가,성수동2가,상왕십리동,금호동3가,홍익동,행당동,도선동,용답동,마장동,옥수동,금호동2가,금호동1가,하왕십리동,사근동,금호동4가,응봉동,송정동
201501,168,326,10,50,51,300,75,103,97,50,35,21,36,17,40,15,30
201502,168,328,10,50,53,300,76,103,97,50,35,21,36,17,40,15,31
201503,168,330,11,51,53,302,76,104,97,50,35,21,37,17,44,15,31
201504,168,333,11,52,53,305,76,104,97,50,35,21,38,17,45,15,31
201505,170,336,11,52,53,305,76,104,98,51,35,22,39,17,45,15,31
201506,173,338,11,52,53,307,77,104,99,51,35,22,39,18,46,15,31
201507,175,340,11,52,53,309,81,105,99,52,35,22,39,19,46,15,31
201508,177,343,12,52,53,313,81,106,101,52,35,23,39,19,46,15,31
201509,179,347,12,52,53,313,81,106,102,53,36,23,39,19,46,15,32
201510,179,348,12,52,53,318,83,106,102,53,37,24,39,20,46,15,32
201511,179,352,12,52,55,321,83,108,103,53,37,24,40,21,46,15,32
201512,180,353,13,53,56,323,83,108,103,53,37,24,40,21,46,15,32
201601,182,354,13,53,57,325,83,108,104,54,37,24,40,22,46,15,32
201602,183,357,14,53,57,327,83,108,104,54,37,24,40,22,46,15,32
201603,186,359,14,53,57,330,83,110,104,54,37,24,40,23,46,15,32
201604,189,364,14,53,57,335,83,110,104,54,37,24,40,24,46,15,32
201605,192,371,14,55,57,339,83,112,104,54,37,24,40,24,46,15,32
201606,192,372,14,55,57,341,84,113,105,54,38,24,40,24,46,15,32
201607,195,373,14,55,58,346,84,114,105,55,39,24,40,24,46,15,32
201608,196,376,14,55,58,348,84,115,105,55,40,25,40,25,47,15,32
201609,201,379,14,55,59,348,84,115,105,56,40,25,40,26,49,15,32
201610,203,382,14,56,59,350,85,115,105,56,40,26,41,27,49,15,32
201611,205,383,14,57,60,353,85,115,105,56,40,27,41,27,49,15,32
201612,208,385,14,58,61,356,85,116,105,59,41,27,42,27,49,15,32
201701,212,390,14,58,61,357,85,116,105,60,41,27,44,28,49,15,32
201702,214,395,14,58,62,361,85,116,105,61,41,28,47,28,49,16,32
201703,217,398,14,59,62,365,85,116,105,61,41,28,49,30,49,16,32
201704,220,401,14,60,62,365,86,116,106,61,41,28,51,31,49,16,32
201705,224,404,14,60,63,366,87,118,106,62,41,28,52,31,50,16,33
201706,231,408,14,60,63,370,87,118,106,62,41,28,53,31,50,16,33
201707,235,409,14,61,63,371,88,119,108,62,41,28,53,31,52,16,33
201708,242,414,14,61,63,374,90,119,109,62,43,28,55,32,52,17,34
201709,245,418,15,61,63,377,91,119,109,62,45,29,57,32,53,18,34
201710,251,422,16,62,63,377,92,119,111,62,45,29,59,32,53,18,34
201711,253,425,16,64,63,379,93,119,111,62,45,29,59,32,53,18,34
201712,260,426,16,64,63,380,94,121,111,62,45,29,59,32,53,18,34
201801,264,434,16,65,64,382,95,122,111,63,45,29,59,33,54,18,35
201802,264,435,16,65,64,384,95,122,111,64,46,29,61,33,54,18,35
201803,267,440,16,66,64,388,96,123,114,64,46,29,61,34,54,18,35
201804,270,447,16,66,64,392,96,123,114,64,46,29,62,34,55,18,35
201805,273,452,16,67,64,396,96,124,115,66,46,29,63,34,56,18,35
201806,277,454,16,69,64,401,97,124,115,66,47,29,65,34,58,18,35
201807,279,462,16,69,64,401,99,125,115,67,47,31,66,34,59,18,36
201808,282,464,16,70,64,401,99,127,115,68,48,32,69,34,59,18,36
201809,283,469,16,70,65,401,99,127,115,68,48,32,70,34,59,18,36
201810,287,476,17,72,65,403,99,128,116,70,48,33,76,34,61,18,37
201811,292,481,17,73,65,406,100,129,116,70,49,33,76,34,63,18,37
201812,296,483,18,74,66,407,100,129,116,70,50,33,76,34,63,18,37
201901,298,490,18,74,67,410,101,130,118,71,50,33,77,34,64,18,37
201902,300,496,18,74,67,412,101,130,120,72,50,33,77,34,64,18,37
201903,303,506,18,74,67,414,102,133,122,72,52,34,77,34,65,18,37
201904,309,513,18,75,68,418,103,135,122,72,52,34,77,34,65,18,38
201905,314,517,18,75,70,423,103,135,122,72,53,35,79,34,65,18,39
201906,319,522,19,75,71,428,103,135,123,73,54,36,79,34,66,18,39
201907,323,531,19,75,73,431,104,135,123,73,56,37,81,34,67,18,40
201908,328,538,19,75,74,434,104,137,123,73,58,37,84,34,67,18,40
201909,333,544,19,75,75,437,104,137,123,73,59,38,88,34,67,18,40
201910,348,547,19,75,75,440,104,139,124,73,60,38,89,34,68,18,40
