date,build_year,dong,floor,use_area,res_cnt,cctv_cnt,school_dis,sub_dis,total_deposit
201501,1986,하왕십리동,3,39.7,36,268,0.1046213120132889,0.1067527743817804,15000
201501,2012,하왕십리동,4,13.97,36,268,0.1046213120132889,0.1531761313928179,8714
201501,1977,홍익동,3,85.36,51,81,0.1804761603730131,0.4411082509298412,17000
201501,2014,홍익동,2,27.45,51,81,0.1804761603730131,0.2833583781493623,19000
201501,2012,도선동,5,17.56,75,66,0.0389380766950148,0.382163479780204,11714
201501,1996,도선동,1,50.76,75,66,0.0389380766950148,0.2226025540093648,18000
201501,2012,마장동,5,74.82,97,403,0.2093272735348379,0.3662273846774186,22000
201501,2013,마장동,4,12.09,97,403,0.2093272735348379,0.3453645652036444,11666
201501,2013,마장동,4,23.28,97,403,0.2093272735348379,0.4873926428058093,15000
201501,1982,마장동,2,60.2,97,403,0.2093272735348379,0.1540156137482248,15000
201501,2013,마장동,2,12.87,97,403,0.2093272735348379,0.3198229581829274,9000
201501,2007,마장동,4,30.83,97,403,0.2093272735348379,0.389706243347204,9000
201501,2013,마장동,4,12.02,97,403,0.2093272735348379,0.2557294041588038,9666
201501,2012,마장동,4,14.72,97,403,0.2093272735348379,0.3474890689981026,10523
201501,2013,마장동,3,13.4,97,403,0.2093272735348379,0.2351644577980528,8714
201501,1984,마장동,2,66.4,97,403,0.2093272735348379,0.1696176766768191,18000
201501,2012,마장동,2,17.23,97,403,0.2093272735348379,0.3662273846774186,9500
201501,2013,마장동,3,17.82,97,403,0.2093272735348379,0.2616319480959211,11523
201501,2002,마장동,4,49.15,97,403,0.2093272735348379,0.1583057866819701,20000
201501,1982,마장동,3,50.02,97,403,0.2093272735348379,0.161435400609299,15000
201501,2013,마장동,3,13.46,97,403,0.2093272735348379,0.3198229581829274,11047
201501,2012,마장동,2,15.0,97,403,0.2093272735348379,0.3474890689981026,8714
201501,2003,사근동,3,17.07,17,171,0.146234410686467,0.3253038316863694,6000
201501,2015,사근동,3,20.51,17,171,0.146234410686467,0.4318418485684415,9071
201501,2003,사근동,3,50.45,17,171,0.146234410686467,0.4242816354945052,11095
201501,2004,사근동,2,22.68,17,171,0.146234410686467,0.3053428670510548,8714
201501,2015,사근동,2,13.77,17,171,0.146234410686467,0.4274667731467058,13428
201501,1986,사근동,1,15.13,17,171,0.146234410686467,0.4740274072195563,6000
201501,2004,사근동,4,11.06,17,171,0.146234410686467,0.3048549114888988,6500
201501,2015,사근동,4,13.0,17,171,0.146234410686467,0.4274667731467058,10619
201501,2004,사근동,3,15.2,17,171,0.146234410686467,0.3048549114888988,5500
201501,2015,사근동,2,10.96,17,171,0.146234410686467,0.4274667731467058,11523
201501,1986,사근동,2,15.13,17,171,0.146234410686467,0.4740274072195563,5000
201501,2006,사근동,5,20.58,17,171,0.146234410686467,0.339336007275731,9500
201501,2015,사근동,4,28.46,17,171,0.146234410686467,0.4274667731467058,13428
201501,2004,사근동,2,77.41,17,171,0.146234410686467,0.3048549114888988,6000
201501,2007,사근동,2,30.78,17,171,0.146234410686467,0.3251603698013881,8119
201501,1986,사근동,2,11.27,17,171,0.146234410686467,0.4740274072195563,5000
201501,2015,사근동,0,20.0,17,171,0.146234410686467,0.4274667731467058,12523
201501,2003,사근동,2,50.45,17,171,0.146234410686467,0.4242816354945052,10571
201501,1986,사근동,2,15.13,17,171,0.146234410686467,0.4740274072195563,7500
201501,2004,사근동,4,11.06,17,171,0.146234410686467,0.3048549114888988,5000
201501,2014,행당동,5,19.05,300,504,0.13913080625969,0.3518090042913442,16428
201501,2014,행당동,6,45.71,300,504,0.13913080625969,0.1015863053612883,23500
201501,2014,행당동,2,22.41,300,504,0.13913080625969,0.3518090042913442,13428
201501,2003,행당동,3,31.49,300,504,0.13913080625969,0.1662011651126802,5000
201501,2005,행당동,4,46.36,300,504,0.13913080625969,0.0767973737259779,21285
201501,2014,행당동,5,19.8,300,504,0.13913080625969,0.2749465370843643,12500
201501,2005,행당동,3,92.87,300,504,0.13913080625969,0.1566185411550105,10714
201501,2014,행당동,4,31.025,300,504,0.13913080625969,0.0896894501088174,12428
201501,2013,행당동,3,33.37,300,504,0.13913080625969,0.1031038708293038,17000
201501,2015,행당동,4,20.2,300,504,0.13913080625969,0.2429878188990797,14428
201501,2013,행당동,4,33.37,300,504,0.13913080625969,0.1031038708293038,17000
201501,2013,행당동,0,17.75,300,504,0.13913080625969,0.1752350909276046,11476
201501,2013,행당동,4,24.23,300,504,0.13913080625969,0.1752350909276046,12428
