연립다세대,지역코드,법정동,지번,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세,위도,경도,가까운역,가까운역과의 거리
광진연립B동,11200,하왕십리동,890-401,1986,3.0,39.7,2015,1,9,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,11200,하왕십리동,890-114,2012,4.0,13.97,2015,1,10,3000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,11200,하왕십리동,890-97,1999,3.0,51.92,2015,4,20,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립A동,11200,하왕십리동,890-96,1986,2.0,41.46,2015,5,13,12000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,5.0,12.87,2015,5,14,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,6.0,18.4,2015,9,8,4000,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,11200,하왕십리동,979-13,2007,5.0,61.83,2015,11,21,26000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,11200,하왕십리동,994-13,2003,1.0,50.77,2015,12,11,10000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,11200,하왕십리동,994-13,2003,1.0,52.92,2016,1,25,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,11200,하왕십리동,890-114,2012,2.0,16.23,2016,2,6,1000,40,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,11200,하왕십리동,890-401,1986,-1.0,41.59,2016,3,2,15000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,11200,하왕십리동,890-97,1999,3.0,53.85,2016,3,7,18000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,7.0,12.87,2016,3,23,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,11200,하왕십리동,976-7,1991,,27.65,2016,4,16,3000,45,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,11200,하왕십리동,890-114,2012,5.0,30.62,2016,5,30,1500,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,3.0,46.55,2016,6,25,12000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
진성빌라,11200,하왕십리동,976-7,1991,2.0,64.17,2016,6,28,14000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,3.0,20.27,2016,7,12,1000,55,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,5.0,47.24,2016,8,6,14000,45,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,5.0,18.4,2016,9,8,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,7.0,12.87,2016,10,18,7000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,11200,하왕십리동,994-13,2003,2.0,52.92,2016,12,3,10000,40,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
성동펠리츠빌,11200,하왕십리동,994-13,2003,1.0,50.77,2016,12,17,23000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
삼성빌,11200,하왕십리동,890-390,2004,4.0,69.24,2016,12,21,25000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,5.0,18.17,2016,12,23,8000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,3.0,21.11,2017,1,14,1000,70,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,2.0,20.27,2017,2,1,1000,60,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
파크힐,11200,하왕십리동,890-125,2012,2.0,18.3,2017,2,2,3000,50,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,11200,하왕십리동,890-97,1999,3.0,54.27,2017,2,16,19000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
수빌,11200,하왕십리동,890-114,2012,2.0,12.96,2017,3,8,2500,31,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(980-55),11200,하왕십리동,980-55,2002,3.0,38.92,2017,3,18,8500,30,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,11200,하왕십리동,890-97,1999,1.0,61.75,2017,3,24,19000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,11200,하왕십리동,890-401,1986,2.0,41.59,2017,4,13,2000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
광진연립B동,11200,하왕십리동,890-401,1986,3.0,39.7,2017,6,14,16000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
(976-12),11200,하왕십리동,976-12,2007,2.0,58.0,2017,7,3,10000,65,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
미래팰리스,11200,하왕십리동,890-97,1999,2.0,50.19,2017,7,24,20000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
로얄빌리지,11200,하왕십리동,979-13,2007,3.0,71.78,2017,8,1,24000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
창우빌딩,11200,하왕십리동,966-16,2013,5.0,12.87,2017,8,22,9000,0,,,,,,37.562462,127.029586,상왕십리역[2호선],0.23590864529051556
