,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11320,쌍문동,81-83,참진빌라,2003,4,38.01,2015,1,2,10000,0,,,,,
1,11320,쌍문동,307-5,동광랜드빌,2013,4,22.23,2015,1,3,2000,45,,,,,
2,11320,쌍문동,486-112,삼익빌라(486-112),1988,3,51.12,2015,1,3,3000,40,,,,,
3,11320,쌍문동,98-7,풀내음파크빌(98-7),2013,3,69.93,2015,1,3,16000,0,,,,,
4,11320,쌍문동,309-56,동광래미안(309-56),2011,2,59.65,2015,1,5,12000,0,,,,,
5,11320,쌍문동,40-10,"덕산빌리지(A,B동)",2009,,74.4,2015,1,5,10000,0,,,,,
6,11320,쌍문동,137-117,세진빌리지,2008,5,63.3,2015,1,6,15000,0,,,,,
7,11320,쌍문동,81-5,호연주택,2001,3,59.95,2015,1,9,13000,0,,,,,
8,11320,쌍문동,460-184,진주빌라(460-184),1991,3,29.64,2015,1,9,4000,0,,,,,
9,11320,쌍문동,278-1,화양빌라,1991,3,33.9,2015,1,12,7000,0,,,,,
10,11320,쌍문동,486-54,대우빌라,1997,3,41.88,2015,1,12,7500,0,,,,,
11,11320,쌍문동,478-40,위주빌,2012,5,18.57,2015,1,13,500,40,,,,,
12,11320,쌍문동,31-54,삼성맨션A동,2000,4,44.26,2015,1,13,10000,0,,,,,
13,11320,쌍문동,81-136,백운빌(B동),2006,2,52.79,2015,1,13,14000,0,,,,,
14,11320,쌍문동,355-6,금강골든맨션(나동),1996,-1,41.74,2015,1,13,4500,0,,,,,
15,11320,쌍문동,26-113,두전빌라1동,1992,3,41.55,2015,1,14,7000,0,,,,,
16,11320,쌍문동,281-17,태영하이츠빌(281-17),2005,5,36.51,2015,1,14,10000,0,,,,,
17,11320,쌍문동,88-108,VILLAVERDE,2014,5,47.5,2015,1,15,16000,0,,,,,
18,11320,쌍문동,25-58,지평토피아,2002,2,65.52,2015,1,19,15000,0,,,,,
19,11320,쌍문동,707-11,예인빌라,2008,3,41.52,2015,1,22,12000,0,,,,,
20,11320,쌍문동,81-83,참진빌라,2003,4,51.9,2015,1,22,12500,0,,,,,
21,11320,쌍문동,460-64,진주빌라트,2003,1,57.54,2015,1,23,11000,0,,,,,
22,11320,쌍문동,669-5,듀온빌,2011,5,12.0,2015,1,23,5000,0,,,,,
23,11320,쌍문동,486-107,완성빌라,1983,2,52.17,2015,1,23,5000,0,,,,,
24,11320,쌍문동,554-15,북한산그랑빌(A동),2009,3,68.22,2015,1,24,10000,30,,,,,
25,11320,쌍문동,75-39,대도맨숀,2003,2,66.88,2015,1,29,14000,10,,,,,
26,11320,쌍문동,340-6,(340-6),2014,5,50.415,2015,1,29,1000,65,,,,,
27,11320,쌍문동,709-22,하나아트빌B동,2003,5,50.33,2015,1,31,10000,0,,,,,
28,11320,쌍문동,359,수창빌라,1986,3,61.53,2015,1,31,13000,0,,,,,
29,11320,쌍문동,137-48,우림시티빌,2001,-1,59.88,2015,1,31,5500,0,,,,,
30,11320,방학동,712-9,청아하이츠빌라A동,1992,3,37.46,2015,1,6,6500,0,,,,,
31,11320,방학동,672-11,현대월드빌(672-11),2002,4,38.74,2015,1,7,10500,0,,,,,
32,11320,방학동,318-44,신우빌라1차,1986,2,59.67,2015,1,7,2000,25,,,,,
33,11320,방학동,714-11,원산빌라B동,1995,4,54.86,2015,1,7,12000,0,,,,,
34,11320,방학동,393-10,월성그린빌라,1993,2,33.48,2015,1,8,5500,0,,,,,
35,11320,방학동,724-22,신일투윈빌(B동),2009,4,52.255,2015,1,9,3000,50,,,,,
36,11320,방학동,348,성신쉐르빌,2008,4,59.61,2015,1,10,12000,10,,,,,
37,11320,방학동,406-6,진안빌라6동,1992,2,34.97,2015,1,10,7500,0,,,,,
38,11320,방학동,718-12,블레싱,2013,7,15.8,2015,1,13,2000,30,,,,,
39,11320,방학동,651-29,그린파크,2009,2,25.18,2015,1,16,3000,33,,,,,
40,11320,방학동,718-13,카사비앙하우스,2014,9,13.86,2015,1,17,2500,25,,,,,
41,11320,방학동,406-8,진안빌라8동,1992,1,36.0,2015,1,17,2000,30,,,,,
42,11320,방학동,637-37,그레이스빌,2013,3,29.97,2015,1,17,6000,40,,,,,
43,11320,방학동,403-1,나너울빌리지,2008,4,50.76,2015,1,17,13000,0,,,,,
44,11320,방학동,422-1,두원빌라가동,1994,-1,39.84,2015,1,19,4500,0,,,,,
45,11320,방학동,425-18,건영빌라트A동,1994,3,31.94,2015,1,20,6200,0,,,,,
46,11320,방학동,602-10,금강쉐르빌,2013,2,14.85,2015,1,21,4000,0,,,,,
47,11320,방학동,713-42,청구아트빌라D동,1992,4,31.65,2015,1,21,6500,0,,,,,
48,11320,방학동,702-12,(702-12),2002,2,68.41,2015,1,22,15000,0,,,,,
49,11320,방학동,609-11,두예파크빌,2004,2,51.38,2015,1,22,10000,0,,,,,
50,11320,방학동,671-17,삼익하이츠빌라(671-17),1992,4,36.24,2015,1,22,6000,0,,,,,
51,11320,방학동,670-22,곽산아트빌라,1992,4,50.04,2015,1,23,3000,25,,,,,
52,11320,방학동,718-14,호아팰리스,2015,8,66.2375,2015,1,24,15000,0,,,,,
53,11320,방학동,713-44,청구아트빌라E동,1992,1,38.49,2015,1,24,7000,0,,,,,
54,11320,방학동,688-3,삼성빌라(688-3),2001,3,50.88,2015,1,24,9000,20,,,,,
55,11320,방학동,629-21,삼성빌라(629-21),1990,2,35.92,2015,1,26,5000,0,,,,,
56,11320,방학동,634-6,효광빌,2012,5,44.04,2015,1,27,11000,0,,,,,
57,11320,방학동,438-6,청구타운3동,1995,2,62.36,2015,1,29,10000,0,,,,,
58,11320,방학동,692-13,정의빌라(4차),1993,1,36.72,2015,1,30,5000,0,,,,,
59,11320,방학동,629-8,세명원룸텔,2011,3,12.21,2015,1,30,2500,0,,,,,
60,11320,방학동,724-20,리버팰리스,2014,3,40.385,2015,1,30,14000,0,,,,,
61,11320,방학동,625-13,우암그린빌라,1991,3,64.45,2015,1,31,4000,55,,,,,
62,11320,방학동,696-27,이다,2003,3,44.52,2015,1,31,2000,47,,,,,
63,11320,창동,609-147,거성빌라,1992,2,42.3,2015,1,2,8000,0,,,,,
64,11320,창동,603-51,서일하이츠빌,2008,2,63.21,2015,1,2,15000,0,,,,,
65,11320,창동,596-33,"신도부테크(106,107동)",2011,5,59.71,2015,1,3,14000,0,,,,,
66,11320,창동,582-67,대양주택,1992,4,59.42,2015,1,3,11000,0,,,,,
67,11320,창동,651-59,창일스위트빌,2004,4,64.32,2015,1,3,15000,0,,,,,
68,11320,창동,608-28,뉴씨티빌라,1997,1,50.7,2015,1,3,9000,10,,,,,
69,11320,창동,667-96,장미빌라(667-96),1990,,29.62,2015,1,7,5000,0,,,,,
70,11320,창동,452-45,송림주택,2012,3,48.97,2015,1,7,13500,0,,,,,
71,11320,창동,683-14,(683-14),2014,4,54.75,2015,1,8,8000,40,,,,,
72,11320,창동,700-52,석정빌라(가),1996,-1,59.52,2015,1,8,3000,35,,,,,
73,11320,창동,582-67,대양주택,1992,2,59.42,2015,1,8,11000,0,,,,,
74,11320,창동,465-2,부림맨션(가),1998,4,59.72,2015,1,9,7000,0,,,,,
75,11320,창동,608-213,청구그린빌라B,1993,2,33.2,2015,1,10,1000,37,,,,,
76,11320,창동,658-43,창동하이빌,2004,3,37.26,2015,1,10,8000,0,,,,,
77,11320,창동,621-35,더플라밍고,2014,5,55.74,2015,1,11,19000,0,,,,,
78,11320,창동,360-1,들꽃향기마을,2015,4,56.26,2015,1,11,24000,0,,,,,
79,11320,창동,531-11,랜드파크빌(531-11),2008,5,21.15,2015,1,12,500,35,,,,,
80,11320,창동,582-83,양지빌라트112,2000,,59.59,2015,1,13,1500,40,,,,,
81,11320,창동,731-31,은혜주택A,1986,1,41.58,2015,1,14,5000,0,,,,,
82,11320,창동,585-63,진주빌라,1994,3,38.34,2015,1,14,6500,0,,,,,
83,11320,창동,655-21,안강프라자,2014,7,14.9,2015,1,14,2500,25,,,,,
84,11320,창동,581-25,대림빌라,1993,3,41.28,2015,1,14,2000,34,,,,,
85,11320,창동,466,대신빌라,1986,3,56.79,2015,1,15,9000,0,,,,,
86,11320,창동,623-27,(623-27),2002,3,32.18,2015,1,17,8000,0,,,,,
87,11320,창동,609-147,거성빌라,1992,2,44.1,2015,1,18,8500,0,,,,,
88,11320,창동,596-31,"신도부테크(102,103동)",2011,5,59.8,2015,1,18,16000,0,,,,,
89,11320,창동,533-29,가나빌라C동,2014,3,29.88,2015,1,19,3200,0,,,,,
90,11320,창동,568-42,(568-42),1987,2,36.18,2015,1,19,3000,20,,,,,
91,11320,창동,601-50,제2차정의빌라,1991,3,39.71,2015,1,19,3000,30,,,,,
92,11320,창동,533-29,가나빌라C동,2014,3,29.97,2015,1,20,3200,0,,,,,
93,11320,창동,448-53,명승팰리스,2012,5,17.23,2015,1,21,4000,0,,,,,
94,11320,창동,655-21,안강프라자,2014,5,14.5,2015,1,21,2000,35,,,,,
95,11320,창동,662-85,태영그린빌,2002,4,55.16,2015,1,21,13500,0,,,,,
96,11320,창동,655-21,안강프라자,2014,8,14.66,2015,1,22,1000,35,,,,,
97,11320,창동,662-87,한솔그랑빌,2003,4,60.6,2015,1,23,5500,35,,,,,
98,11320,창동,674-152,삼호골드타운(가),2001,5,57.87,2015,1,23,13500,0,,,,,
99,11320,창동,578-1,매화그린빌,2003,3,56.08,2015,1,24,4000,45,,,,,
100,11320,창동,609-32,은행빌라6차,1993,3,39.5,2015,1,24,500,50,,,,,
101,11320,창동,601-60,금강,1976,1,47.34,2015,1,26,1000,30,,,,,
102,11320,창동,533-29,가나빌라C동,2014,2,29.97,2015,1,27,3300,0,,,,,
103,11320,창동,630-30,이화하이츠빌라(라),1991,,37.68,2015,1,27,4500,0,,,,,
104,11320,창동,628-26,원산빌라(가),1997,4,57.78,2015,1,28,12000,0,,,,,
105,11320,창동,731-112,미성빌,2012,4,33.78,2015,1,28,11000,0,,,,,
106,11320,창동,632-85,하이시티3동,2015,2,48.02,2015,1,28,2000,65,,,,,
107,11320,창동,609-4,유성하이츠빌라,1993,3,37.2,2015,1,29,8000,0,,,,,
108,11320,창동,674-110,아람채,2013,5,34.93,2015,1,29,14000,0,,,,,
109,11320,창동,731-112,미성빌,2012,7,33.78,2015,1,29,11000,0,,,,,
110,11320,창동,683-14,(683-14),2014,3,54.75,2015,1,30,10000,0,,,,,
111,11320,창동,715-56,(715-56),1989,1,54.12,2015,1,30,8000,15,,,,,
112,11320,창동,470-8,삼건빌라3차,1994,3,47.21,2015,1,30,9000,0,,,,,
113,11320,창동,466,대신빌라,1986,3,50.58,2015,1,30,7000,0,,,,,
114,11320,창동,715-65,신건영빌리지2차5,1993,-1,24.3,2015,1,30,2300,0,,,,,
115,11320,창동,674-110,아람채,2013,4,34.93,2015,1,31,14000,0,,,,,
116,11320,창동,674-110,아람채,2013,3,34.93,2015,1,31,14000,0,,,,,
117,11320,창동,651-54,스타빌,2013,3,29.8,2015,1,31,10000,16,,,,,
118,11320,도봉동,198-1,예성빌라,1987,1,68.2,2015,1,4,11000,0,,,,,
119,11320,도봉동,569-21,청구빌라(569-21),1997,1,59.46,2015,1,7,13000,0,,,,,
120,11320,도봉동,583-29,한전A,1986,-1,41.4,2015,1,10,3000,0,,,,,
121,11320,도봉동,615-4,뉴스파빌,2008,3,41.97,2015,1,12,6000,0,,,,,
122,11320,도봉동,599-47,도봉아트빌라,1994,2,35.82,2015,1,14,6000,0,,,,,
123,11320,도봉동,574-5,성우빌라트(574-5),2002,3,53.85,2015,1,16,11000,0,,,,,
124,11320,도봉동,582,인창맨션,2002,3,42.8,2015,1,18,2000,30,,,,,
125,11320,도봉동,556-47,현대그랑빌,2002,4,58.8,2015,1,19,2000,55,,,,,
126,11320,도봉동,618-32,도성블루빌,2012,4,22.44,2015,1,20,7000,0,,,,,
127,11320,도봉동,557-14,거목빌라,1996,4,51.33,2015,1,20,5000,0,,,,,
128,11320,도봉동,586-13,산장10,1987,1,38.58,2015,1,21,8000,0,,,,,
129,11320,도봉동,599-45,양지빌라트,2001,4,48.0,2015,1,23,3000,40,,,,,
130,11320,도봉동,593-87,삼호빌라(593-87),1992,-1,35.48,2015,1,23,4500,0,,,,,
131,11320,도봉동,586-18,장미,1987,2,37.02,2015,1,24,3000,20,,,,,
132,11320,도봉동,556-39,다인파시빌,2004,3,46.48,2015,1,26,10000,0,,,,,
133,11320,도봉동,576-38,조강빌라,2001,1,49.38,2015,1,26,9000,0,,,,,
134,11320,도봉동,576-38,조강빌라,2001,1,49.38,2015,1,28,11000,0,,,,,
135,11320,도봉동,623-106,영은빌,2012,2,15.0,2015,1,31,4000,0,,,,,
136,11320,쌍문동,81-90,우창주택,2001,1,38.87,2015,2,1,1000,60,,,,,
137,11320,쌍문동,81-152,현대하이츠,2002,5,49.96,2015,2,2,4000,40,,,,,
138,11320,쌍문동,103-9,"우림가든빌라(다,라동)",1989,3,52.37,2015,2,2,2000,50,,,,,
139,11320,쌍문동,460-179,(460-179),1993,2,48.36,2015,2,2,9000,0,,,,,
140,11320,쌍문동,103-195,한백빌리지,2003,2,53.46,2015,2,3,12000,0,,,,,
141,11320,쌍문동,137-117,세진빌리지,2008,4,43.08,2015,2,3,11000,0,,,,,
142,11320,쌍문동,137-47,삼학빌라,2002,3,45.36,2015,2,5,5000,37,,,,,
143,11320,쌍문동,360-2,토양하이츠빌라(360-2),1993,2,41.94,2015,2,5,8000,0,,,,,
144,11320,쌍문동,435-1,엘리트하우스,2011,2,12.27,2015,2,6,5000,0,,,,,
145,11320,쌍문동,137-138,백운빌라(3차),1995,-1,40.88,2015,2,6,500,40,,,,,
146,11320,쌍문동,498-1,백운원룸텔,2012,5,17.46,2015,2,8,2000,30,,,,,
147,11320,쌍문동,478-40,위주빌,2012,2,18.57,2015,2,8,500,40,,,,,
148,11320,쌍문동,639-3,현아팰리스,2012,8,54.07,2015,2,12,15000,0,,,,,
149,11320,쌍문동,325-3,경모빌라트8차,2002,1,38.12,2015,2,12,9000,0,,,,,
150,11320,쌍문동,103-244,"우림가든빌라(가,나동)",1989,,52.37,2015,2,13,12000,0,,,,,
151,11320,쌍문동,75-27,엘리트빌,2002,4,24.27,2015,2,14,6000,0,,,,,
152,11320,쌍문동,137-110,아리따움빌B동,2014,3,37.16,2015,2,15,5000,0,,,,,
153,11320,쌍문동,435-1,엘리트하우스,2011,3,12.04,2015,2,15,500,37,,,,,
154,11320,쌍문동,456-5,동건후랜드빌,2001,1,48.6,2015,2,15,3000,50,,,,,
155,11320,쌍문동,460-179,(460-179),1993,3,84.84,2015,2,16,5000,20,,,,,
156,11320,쌍문동,137-103,아카피아빌(137-103),2008,3,54.6,2015,2,18,12500,0,,,,,
157,11320,쌍문동,422-133,모던스위트홈,1996,2,21.55,2015,2,19,1000,40,,,,,
158,11320,쌍문동,139-77,나산스위트홈A동,1997,1,60.0,2015,2,20,8000,0,,,,,
