지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11230,신설동,94-7,SGinternation,2014,5,12.93,2015,1,2,1000,45,,,,,
11230,용두동,767-8,오션타워빌,2004,5,65.59,2015,1,2,20000,0,,,,,
11230,용두동,237-60,용천빌2차,2006,2,61.96,2015,1,3,22000,0,,,,,
11230,용두동,255-115,다아빌라,2002,2,51.26,2015,1,20,8000,35,,,,,
11230,용두동,237-55,237-55,2014,2,61.38,2015,1,20,18000,0,,,,,
11230,용두동,138-51,금호맨션12차,2002,1,65.79,2015,1,26,19000,0,,,,,
11230,용두동,753-9,"용두메인빌(A,B동)",2003,1,66.3,2015,1,28,18500,0,,,,,
11230,용두동,39-430,(39-430),2012,2,13.02,2015,1,30,6000,0,,,,,
11230,제기동,622,주함해븐빌(622-0),2014,2,56.17,2015,1,5,20000,0,,,,,
11230,제기동,1158-28,세종,2014,4,51.38,2015,1,5,16200,0,,,,,
11230,제기동,137-362,석탑주택,1979,2,49.75,2015,1,6,10000,0,,,,,
11230,제기동,195-3,(195-3),2012,1,30.55,2015,1,8,10000,0,,,,,
11230,제기동,134-23,(134-23),2002,2,52.53,2015,1,10,6500,0,,,,,
11230,제기동,1149-10,MAIBAUMRODEM,2010,2,13.37,2015,1,13,500,50,,,,,
11230,제기동,274-38,청운주택B동,2003,2,74.31,2015,1,14,22000,0,,,,,
11230,제기동,190,덕산맨션,2000,3,65.82,2015,1,14,16000,0,,,,,
11230,제기동,1202,(1202-0),1981,3,59.38,2015,1,14,300,27,,,,,
11230,제기동,860-29,휴심제,2013,2,29.31,2015,1,16,3000,50,,,,,
11230,제기동,1158-20,브라운하우스,2013,6,19.95,2015,1,18,14000,0,,,,,
11230,제기동,122-129,D.HVILL,2012,1,21.63,2015,1,18,3000,40,,,,,
11230,제기동,1149-4,청양,2001,2,13.2,2015,1,19,5000,0,,,,,
11230,제기동,136-153,(136-153),1997,2,35.42,2015,1,19,7000,20,,,,,
11230,제기동,1211-15,(1211-15),2003,3,34.27,2015,1,20,4000,20,,,,,
11230,제기동,1149-4,청양,2001,2,14.0,2015,1,20,4000,20,,,,,
11230,제기동,148-20,BuildingSW,2013,3,13.32,2015,1,23,1000,52,,,,,
11230,제기동,244,제기파크빌1,2008,3,62.0,2015,1,29,18000,0,,,,,
11230,제기동,134-34,뉴케슬,2008,3,38.79,2015,1,31,13500,0,,,,,
11230,제기동,1183,(1183-0),1980,3,53.24,2015,1,31,5000,30,,,,,
11230,전농동,130-89,궁전빌라,2001,1,62.44,2015,1,5,16000,0,,,,,
11230,전농동,558-151,드림하우스Ⅱ,2012,5,12.04,2015,1,5,7000,0,,,,,
11230,전농동,558-151,드림하우스Ⅱ,2012,2,12.04,2015,1,5,6500,0,,,,,
11230,전농동,679,럭키연립차동,1981,3,56.21,2015,1,5,10000,0,,,,,
11230,전농동,558-68,(558-68),2014,2,34.27,2015,1,6,15500,0,,,,,
11230,전농동,558-44,558-44,2014,2,28.58,2015,1,6,1500,65,,,,,
11230,전농동,647-51,그린빌라(647-51),2008,3,58.86,2015,1,7,15000,0,,,,,
11230,전농동,103-282,은덕지가,2013,2,15.56,2015,1,10,6000,0,,,,,
11230,전농동,558-68,(558-68),2014,2,34.27,2015,1,11,16000,0,,,,,
11230,전농동,113-65,(113-65),2012,4,15.39,2015,1,14,3500,35,,,,,
11230,전농동,126-69,(126-69),2008,3,60.94,2015,1,15,16000,0,,,,,
11230,전농동,103-68,골든빌,2013,1,12.06,2015,1,15,6500,0,,,,,
11230,전농동,127-42,상헌씨티빌,2002,4,35.22,2015,1,17,13000,0,,,,,
11230,전농동,113-65,(113-65),2012,3,20.0,2015,1,19,2000,50,,,,,
11230,전농동,558-151,드림하우스Ⅱ,2012,5,25.07,2015,1,21,15000,0,,,,,
11230,전농동,127-103,더하우스4차,2007,2,27.36,2015,1,21,1000,45,,,,,
11230,전농동,127-41,(127-41),2013,4,14.31,2015,1,23,1000,50,,,,,
11230,전농동,269-5,삼경빌라(269-5),2002,5,86.92,2015,1,24,21000,0,,,,,
11230,전농동,127-81,(127-81),2007,5,74.65,2015,1,25,16000,0,,,,,
11230,전농동,212-27,(212-27),1997,2,47.74,2015,1,26,100,40,,,,,
11230,전농동,127-103,더하우스4차,2007,2,38.88,2015,1,26,2000,75,,,,,
11230,전농동,206-123,진아빌리지(206-123),2002,3,49.33,2015,1,27,15000,0,,,,,
11230,전농동,103-68,골든빌,2013,2,14.68,2015,1,27,7500,0,,,,,
11230,전농동,206-71,청재빌라트,1995,3,93.51,2015,1,30,19000,0,,,,,
11230,답십리동,484-2,(484-2),1985,1,36.48,2015,1,3,7000,0,,,,,
11230,답십리동,75-27,그린빌라다동,1984,1,75.33,2015,1,8,5000,45,,,,,
11230,답십리동,70-10,원명빌라,2001,3,58.53,2015,1,17,3000,50,,,,,
11230,답십리동,50-26,(50-26),1991,2,89.16,2015,1,20,1000,35,,,,,
11230,장안동,186-45,청운그랑빌,2008,5,62.63,2015,1,5,18000,0,,,,,
11230,장안동,394-3,장안(394-3),1981,1,52.36,2015,1,6,12000,0,,,,,
11230,장안동,373-1,양우내안애애플,2014,6,15.3388,2015,1,7,2000,35,,,,,
