지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11590,노량진동,221-3,태영아트빌,2004,3,65.56,2015,1,3,18000,0,,,,,
11590,노량진동,283-5,해븐빌라,2002,4,42.88,2015,1,3,9500,0,,,,,
11590,노량진동,205-17,하늘마루(205-17),2014,1,12.03,2015,1,3,500,53,,,,,
11590,노량진동,205-17,하늘마루(205-17),2014,1,12.12,2015,1,3,500,50,,,,,
11590,노량진동,218-3,한강파크빌가동(218-3),2001,3,61.69,2015,1,5,19000,0,,,,,
11590,노량진동,205-17,하늘마루(205-17),2014,1,12.12,2015,1,8,500,55,,,,,
11590,노량진동,221-2,한림빌라(221-2),1990,2,38.54,2015,1,10,10500,0,,,,,
11590,노량진동,226-17,(226-17),1997,1,25.28,2015,1,11,5500,0,,,,,
11590,노량진동,205-17,하늘마루(205-17),2014,1,12.12,2015,1,12,500,54,,,,,
11590,노량진동,294-3,"문성하이트빌라(294-3,41)",1995,2,47.7,2015,1,13,9000,0,,,,,
11590,노량진동,218-98,부자의길,2013,4,19.08,2015,1,13,7000,0,,,,,
11590,노량진동,215-146,태경,2013,4,15.16,2015,1,13,500,50,,,,,
11590,노량진동,215-146,태경,2013,2,20.97,2015,1,20,7000,0,,,,,
11590,노량진동,54-22,현대빌라B,1988,2,33.0,2015,1,21,1000,55,,,,,
11590,노량진동,294-26,한양아트빌라,1995,1,50.53,2015,1,24,9000,0,,,,,
11590,노량진동,218-65,양지빌라,2002,3,27.63,2015,1,24,7000,0,,,,,
11590,노량진동,218-98,부자의길,2013,1,13.54,2015,1,28,9500,0,,,,,
11590,노량진동,218-98,부자의길,2013,,27.5,2015,1,29,9500,0,,,,,
11590,노량진동,54-5,(54-5),1992,3,41.47,2015,1,30,9000,25,,,,,
11590,노량진동,215-146,태경,2013,3,12.94,2015,1,31,500,55,,,,,
11590,노량진동,84-129,정석하이츠(나동),1991,3,70.57,2015,1,31,18000,0,,,,,
11590,노량진동,215-146,태경,2013,2,20.97,2015,1,31,1000,50,,,,,
11590,상도동,202-235,금강그린빌(202-235),2014,3,39.68,2015,1,1,19000,0,,,,,
11590,상도동,259-79,진주빌라(259-79),1991,2,35.29,2015,1,2,4500,0,,,,,
11590,상도동,507-3,제이플러스,2013,3,12.395,2015,1,2,8500,0,,,,,
11590,상도동,211-478,현대하이츠106동,1991,4,49.66,2015,1,2,10000,0,,,,,
11590,상도동,303-18,스타빌라(303-18),2002,3,61.26,2015,1,2,13800,0,,,,,
11590,상도동,28-7,스텔라,2012,4,18.03,2015,1,2,2000,40,,,,,
11590,상도동,244-171,우주빌B동,2002,1,52.42,2015,1,3,3500,45,,,,,
11590,상도동,201-95,이편한빌,2013,3,12.97,2015,1,3,6500,0,,,,,
11590,상도동,159-48,현주아트빌,2013,2,20.01,2015,1,3,12000,0,,,,,
11590,상도동,303,(303-0),2013,2,12.07,2015,1,4,3000,25,,,,,
11590,상도동,28-4,홈인레지던스,2013,3,16.26,2015,1,4,3000,40,,,,,
11590,상도동,28-4,홈인레지던스,2013,3,14.47,2015,1,4,3000,30,,,,,
11590,상도동,470-14,모아빌,2003,4,35.63,2015,1,5,13500,0,,,,,
11590,상도동,299-57,네오빌리지(299-57),2014,5,29.28,2015,1,5,16000,0,,,,,
11590,상도동,470-14,모아빌,2003,5,20.75,2015,1,5,8000,5,,,,,
11590,상도동,335-149,등안정(335-149),2011,4,18.96,2015,1,6,500,40,,,,,
11590,상도동,299-57,네오빌리지(299-57),2014,5,29.94,2015,1,6,5000,60,,,,,
11590,상도동,210-55,두손베스티움,2014,5,28.015,2015,1,6,16500,0,,,,,
11590,상도동,244-140,미성해드림(244-140),2013,2,38.22,2015,1,6,15000,0,,,,,
11590,상도동,290-70,아이빌,2002,4,61.72,2015,1,6,12000,0,,,,,
11590,상도동,211-167,대왕주택8차,2003,2,41.34,2015,1,6,14000,0,,,,,
11590,상도동,259-80,제승리치빌,2012,1,29.71,2015,1,6,16000,0,,,,,
11590,상도동,211-490,현대하이츠빌라110동,1994,4,52.62,2015,1,7,9500,0,,,,,
11590,상도동,211-104,beginhouse,2014,1,27.945,2015,1,7,14000,0,,,,,
11590,상도동,2-20,하주빌라,2003,3,59.61,2015,1,7,17000,0,,,,,
11590,상도동,256-37,퍼스트빌(256-37),2014,5,27.17,2015,1,8,17500,0,,,,,
11590,상도동,156-8,대흥빌딩,2012,3,13.68,2015,1,8,8500,15,,,,,
11590,상도동,491-2,인영리치빌,2002,3,72.84,2015,1,8,20000,0,,,,,
11590,상도동,294-31,리베하우스,2012,2,26.08,2015,1,8,9000,0,,,,,
11590,상도동,432,럭키빌라(56-34),1991,1,44.01,2015,1,8,16000,0,,,,,
11590,상도동,244-172,힐하우스A동,2006,3,76.59,2015,1,9,18000,0,,,,,
11590,상도동,359-33,백호빌,2012,1,37.41,2015,1,9,15000,0,,,,,
11590,상도동,366-12,드림펠리스,2012,3,21.31,2015,1,9,10000,10,,,,,
11590,상도동,214-118,삼익하이츠빌라,2001,-1,69.06,2015,1,9,13000,0,,,,,
11590,상도동,215-6,대왕주택(215-6),2012,2,42.36,2015,1,9,18500,0,,,,,
11590,상도동,335-72,강현맨션(335-72),2007,2,79.46,2015,1,9,22000,0,,,,,
11590,상도동,279-482,은혜빌,2011,3,50.45,2015,1,9,15000,0,,,,,
11590,상도동,210-78,유지빌라,1994,-1,60.12,2015,1,10,5500,5,,,,,
11590,상도동,279-83,스타시티,2009,3,70.55,2015,1,10,17000,0,,,,,
11590,상도동,22-15,대림빌라,1991,,62.32,2015,1,10,12000,0,,,,,
11590,상도동,55-102,(55-102),1995,1,37.25,2015,1,10,7000,10,,,,,
11590,상도동,366-12,드림펠리스,2012,3,15.0,2015,1,10,4000,29,,,,,
11590,상도동,1-35,창선,2013,4,28.78,2015,1,10,16000,0,,,,,
11590,상도동,202-235,금강그린빌(202-235),2014,4,34.88,2015,1,10,20000,0,,,,,
11590,상도동,159-43,메이져빌5차,2003,2,79.34,2015,1,10,22000,0,,,,,
11590,상도동,211-492,에덴빌라,1995,-1,68.79,2015,1,10,12000,0,,,,,
11590,상도동,184-224,현대하이츠빌라,1995,4,55.5,2015,1,10,15000,0,,,,,
11590,상도동,279-272,한강리츠빌(279-272),2008,3,60.85,2015,1,10,13000,0,,,,,
11590,상도동,279-102,에덴빌라(279-102),2008,2,66.72,2015,1,10,3000,65,,,,,
11590,상도동,279-9,진이빌,2008,4,57.68,2015,1,10,17500,0,,,,,
11590,상도동,308-13,혜인빌,2008,2,73.59,2015,1,10,20000,0,,,,,
11590,상도동,470-12,로즈힐스,2008,4,54.06,2015,1,11,20000,0,,,,,
11590,상도동,156-19,마르마,2012,2,16.23,2015,1,11,11000,0,,,,,
11590,상도동,335-192,메트로빌(335-192),2002,1,75.4,2015,1,12,23000,0,,,,,
11590,상도동,335,동도빌라,1986,2,69.79,2015,1,12,17500,0,,,,,
11590,상도동,17-52,(17-52),2003,2,21.24,2015,1,12,1000,60,,,,,
11590,상도동,256-52,(256-52),2002,,38.67,2015,1,12,10000,0,,,,,
