,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11305,미아동,133-1,와이센선라이즈,2002,3,75.52,2015,1,2,18000,0,,,,,
1,11305,미아동,791-1529,(791-1529),1999,3,40.38,2015,1,2,7500,0,,,,,
2,11305,미아동,1365-16,현대빌라트,2001,2,52.07,2015,1,3,4000,45,,,,,
3,11305,미아동,329-45,다우힐스빌,2008,3,39.96,2015,1,5,10000,0,,,,,
4,11305,미아동,791-2315,삼화아트빌,2008,3,58.07,2015,1,5,11000,0,,,,,
5,11305,미아동,791-2798,(791-2798),2008,4,28.25,2015,1,5,6000,0,,,,,
6,11305,미아동,306-33,(306-33),2014,4,25.16,2015,1,5,13000,0,,,,,
7,11305,미아동,258-487,(258-487),1986,1,49.29,2015,1,5,8000,0,,,,,
8,11305,미아동,432-11,소망빌라(432-11),1993,-1,20.31,2015,1,5,500,20,,,,,
9,11305,미아동,258-181,동성주택35,1989,,41.39,2015,1,6,4500,0,,,,,
10,11305,미아동,160-3,푸르지오시티,2014,13,18.6479,2015,1,6,500,55,,,,,
11,11305,미아동,160-3,푸르지오시티,2014,12,18.6479,2015,1,6,3000,33,,,,,
12,11305,미아동,258-189,용화2,1988,2,41.58,2015,1,7,6800,0,,,,,
13,11305,미아동,128-22,삼성쉐르빌(128-22),2002,5,51.15,2015,1,7,2000,75,,,,,
14,11305,미아동,133-14,타임아트빌,2014,,38.16,2015,1,7,5000,70,,,,,
15,11305,미아동,258-649,동성주택25,1988,2,41.64,2015,1,7,5000,15,,,,,
16,11305,미아동,160-3,푸르지오시티,2014,7,18.6479,2015,1,7,1000,50,,,,,
17,11305,미아동,160-3,푸르지오시티,2014,12,18.6479,2015,1,8,1000,55,,,,,
18,11305,미아동,791-126,오봉빌라7차,2003,1,69.08,2015,1,8,15000,0,,,,,
19,11305,미아동,791-1818,청림하이빌,2002,2,51.01,2015,1,8,11000,0,,,,,
20,11305,미아동,139-90,스타맨숀,1994,1,42.39,2015,1,10,10000,0,,,,,
21,11305,미아동,160-3,푸르지오시티,2014,14,18.6479,2015,1,10,1000,50,,,,,
22,11305,미아동,258-679,(258-679),1988,1,39.36,2015,1,12,700,30,,,,,
23,11305,미아동,749-5,래미안빌,2008,3,62.55,2015,1,12,18000,0,,,,,
24,11305,미아동,228-24,현대아트빌라,1995,4,49.22,2015,1,12,12000,0,,,,,
25,11305,미아동,90-57,Ronda,2015,3,26.34,2015,1,12,5000,20,,,,,
26,11305,미아동,791-66,중앙아트빌라,1993,,46.54,2015,1,12,5600,0,,,,,
27,11305,미아동,350-2,에덴쉐르빌,2002,3,50.615,2015,1,12,13000,0,,,,,
28,11305,미아동,258-726,목향주택,1991,,35.51,2015,1,12,500,30,,,,,
29,11305,미아동,716,세한빌라,1991,,42.23,2015,1,13,4500,10,,,,,
30,11305,미아동,323-2,로뎀빌리지,2010,5,22.56,2015,1,13,8000,0,,,,,
31,11305,미아동,8-259,동광빌라(8-259),1991,2,36.76,2015,1,13,6500,0,,,,,
32,11305,미아동,90-57,Ronda,2015,4,29.67,2015,1,13,2000,35,,,,,
33,11305,미아동,5-32,경남빌라E,2004,2,58.41,2015,1,14,4500,45,,,,,
34,11305,미아동,160-3,푸르지오시티,2014,3,18.6479,2015,1,14,2000,50,,,,,
35,11305,미아동,160-3,푸르지오시티,2014,20,37.4389,2015,1,14,6000,60,,,,,
36,11305,미아동,791-1981,대성휴먼빌,2008,1,34.72,2015,1,14,7000,0,,,,,
37,11305,미아동,135-90,고탑102동,2007,2,71.76,2015,1,15,13000,0,,,,,
38,11305,미아동,791-1047,다솜빌라(791-1047),2009,4,47.9,2015,1,15,11000,0,,,,,
39,11305,미아동,133-14,타임아트빌,2014,3,44.37,2015,1,16,18000,0,,,,,
40,11305,미아동,160-3,푸르지오시티,2014,18,18.6479,2015,1,16,1000,55,,,,,
41,11305,미아동,1261-305,(1261-305),1994,-1,38.9,2015,1,17,1500,30,,,,,
42,11305,미아동,8-292,산장빌라,1994,2,41.58,2015,1,17,8000,0,,,,,
43,11305,미아동,791-1357,에스아이빌라(나동),1998,1,59.28,2015,1,17,9000,0,,,,,
44,11305,미아동,1264-150,(1264-150),2002,1,50.82,2015,1,17,5000,0,,,,,
45,11305,미아동,90-57,Ronda,2015,2,26.34,2015,1,17,3000,27,,,,,
46,11305,미아동,791-1668,모던하우스,2008,3,42.97,2015,1,18,11000,0,,,,,
47,11305,미아동,133-14,타임아트빌,2014,2,38.16,2015,1,18,10500,0,,,,,
48,11305,미아동,791-1460,청우킨스빌,2007,3,40.12,2015,1,18,8000,0,,,,,
49,11305,미아동,214-59,준성빌리지,2012,2,13.05,2015,1,18,500,40,,,,,
50,11305,미아동,80-3,(80-3),2007,2,63.98,2015,1,19,18000,0,,,,,
51,11305,미아동,5-23,경남빌라C,2004,2,73.23,2015,1,19,1000,70,,,,,
52,11305,미아동,791-1677,신일주택(791-1677),1993,,48.72,2015,1,19,500,30,,,,,
53,11305,미아동,133-14,타임아트빌,2014,5,29.45,2015,1,19,3000,60,,,,,
54,11305,미아동,160-3,푸르지오시티,2014,6,18.6479,2015,1,19,1000,60,,,,,
55,11305,미아동,49-90,성진빌라,2008,2,31.1,2015,1,19,8000,0,,,,,
56,11305,미아동,258-34,(258-34),1987,,54.53,2015,1,20,1000,40,,,,,
57,11305,미아동,160-3,푸르지오시티,2014,14,18.6479,2015,1,20,1000,55,,,,,
58,11305,미아동,90-57,Ronda,2015,3,26.34,2015,1,20,2000,37,,,,,
59,11305,미아동,716,세한빌라,1991,2,42.23,2015,1,20,1000,40,,,,,
60,11305,미아동,445-17,(445-17),2003,3,63.94,2015,1,20,16000,0,,,,,
61,11305,미아동,258-94,동아맨션,1988,1,41.37,2015,1,20,6000,0,,,,,
62,11305,미아동,791-1047,다솜빌라(791-1047),2009,2,55.185,2015,1,22,12000,0,,,,,
63,11305,미아동,87-8,동성파크빌,2003,3,61.29,2015,1,22,8000,50,,,,,
64,11305,미아동,436-48,(436-48),1995,,41.59,2015,1,22,4000,0,,,,,
65,11305,미아동,767-2,성일아트빌,2013,3,28.5,2015,1,22,1000,46,,,,,
66,11305,미아동,791-3574,대영빌라(C동),1993,1,34.5,2015,1,23,8000,0,,,,,
67,11305,미아동,90-57,Ronda,2015,2,29.67,2015,1,23,2000,35,,,,,
68,11305,미아동,791-1726,조은빌,2009,1,20.66,2015,1,23,2500,0,,,,,
69,11305,미아동,258-267,우성빌라B동,1987,1,58.15,2015,1,24,3000,40,,,,,
70,11305,미아동,791-1026,은혜빌리지6차,2008,3,36.7,2015,1,24,9500,0,,,,,
71,11305,미아동,320-21,중앙맨션,1996,3,44.55,2015,1,24,3000,40,,,,,
72,11305,미아동,258-181,동성주택35,1989,1,41.39,2015,1,25,7500,0,,,,,
73,11305,미아동,791-1726,조은빌,2009,2,12.1,2015,1,26,1800,0,,,,,
74,11305,미아동,833-2,일심,1981,1,76.27,2015,1,26,13000,0,,,,,
75,11305,미아동,791-2013,썬빌라(2동),2009,2,61.75,2015,1,27,2000,65,,,,,
76,11305,미아동,160-3,푸르지오시티,2014,18,18.6479,2015,1,27,2500,40,,,,,
77,11305,미아동,791-1981,대성휴먼빌,2008,2,46.06,2015,1,27,10000,0,,,,,
78,11305,미아동,258-601,대성그린빌라,1987,2,59.04,2015,1,28,2000,60,,,,,
79,11305,미아동,258-234,성도주택나동,1988,1,41.64,2015,1,28,6500,0,,,,,
80,11305,미아동,139-90,스타맨숀,1994,3,42.39,2015,1,28,4000,30,,,,,
81,11305,미아동,258-580,우광빌라(258-580),1987,1,39.56,2015,1,28,5000,0,,,,,
82,11305,미아동,791-997,이노시티빌2차,2007,3,69.11,2015,1,28,18000,0,,,,,
83,11305,미아동,791-1021,은혜의집,2007,4,51.02,2015,1,28,11500,0,,,,,
84,11305,미아동,3-226,동아하이츠빌라(3-226),2000,2,44.82,2015,1,29,11000,0,,,,,
85,11305,미아동,320-21,중앙맨션,1996,1,46.71,2015,1,29,6500,0,,,,,
86,11305,미아동,258-724,효성103,1991,1,49.09,2015,1,29,5000,0,,,,,
87,11305,미아동,137-84,경일스톤빌7차,2003,3,67.1,2015,1,30,15000,0,,,,,
88,11305,미아동,791-3793,미도하이캐슬,2006,3,67.89,2015,1,30,14000,0,,,,,
89,11305,미아동,791-1411,힐하우스(791-1411),2009,2,59.59,2015,1,31,2000,60,,,,,
90,11305,미아동,791-1778,마운틴뷰,2013,4,25.21,2015,1,31,1000,45,,,,,
91,11305,미아동,90-57,Ronda,2015,2,29.67,2015,1,31,3000,30,,,,,
92,11305,미아동,90-57,Ronda,2015,,29.67,2015,1,31,500,50,,,,,
93,11305,미아동,258-490,태성쉐르빌D동,2008,2,62.44,2015,1,31,15000,0,,,,,
94,11305,미아동,836-55,(836-55),2006,1,36.92,2015,1,31,8000,0,,,,,
95,11305,미아동,8-195,광성빌라,1991,-1,49.5,2015,1,31,500,30,,,,,
96,11305,미아동,258-115,(258-115),1986,2,82.8,2015,1,31,3000,45,,,,,
97,11305,미아동,90-57,Ronda,2015,,19.8,2015,1,31,500,53,,,,,
98,11305,미아동,8-312,예원빌라,1996,2,49.7,2015,1,31,8500,0,,,,,
99,11305,번동,159-4,미미주택(가),1993,3,40.71,2015,1,3,7000,0,,,,,
100,11305,번동,441-3,진숙빌라2차,1987,1,49.22,2015,1,3,10000,0,,,,,
101,11305,번동,444-24,은석센스빌,2001,3,46.67,2015,1,7,10000,0,,,,,
102,11305,번동,443-75,수림,2003,3,62.19,2015,1,9,12000,0,,,,,
103,11305,번동,316-2,대화주택,1998,2,43.65,2015,1,10,6000,14,,,,,
104,11305,번동,148-188,승한빌라3,1990,,46.73,2015,1,13,7000,0,,,,,
105,11305,번동,467-37,화인하우스,2013,6,34.72,2015,1,13,2500,70,,,,,
106,11305,번동,466-32,주영샹그릴라,2009,3,50.82,2015,1,14,14000,0,,,,,
107,11305,번동,162-5,도원주택(가),1994,2,58.29,2015,1,14,12500,0,,,,,
108,11305,번동,429-42,명성펠리스,2011,2,55.98,2015,1,14,15000,0,,,,,
109,11305,번동,186-1,아침빌리지,1998,3,56.43,2015,1,14,2500,35,,,,,
110,11305,번동,443-123,동일맨션,2001,1,61.18,2015,1,15,15000,0,,,,,
111,11305,번동,148-303,진영A,1989,2,54.83,2015,1,16,1000,45,,,,,
112,11305,번동,148-126,경원주택(148-126),1992,2,52.02,2015,1,18,9000,0,,,,,
113,11305,번동,442-1,한성빌라,1987,2,66.72,2015,1,19,1000,60,,,,,
114,11305,번동,148-458,대광B,1989,2,28.78,2015,1,19,3500,0,,,,,
115,11305,번동,468-12,에이플러스하우스,2011,3,14.2,2015,1,20,500,32,,,,,
116,11305,번동,504-10,성우빌라B,1995,1,42.01,2015,1,21,10000,0,,,,,
117,11305,번동,148-282,은행주택7,1990,1,32.07,2015,1,22,5000,0,,,,,
118,11305,번동,148-69,한양빌라C,1992,,33.96,2015,1,24,4000,0,,,,,
119,11305,번동,148-240,장미빌라,1994,1,48.48,2015,1,25,6000,0,,,,,
120,11305,번동,148-430,창림주택,1991,1,29.19,2015,1,26,6000,0,,,,,
121,11305,번동,148-241,홍익주택A,1990,,35.69,2015,1,27,4500,0,,,,,
122,11305,번동,148-231,경성빌라D,1990,,38.52,2015,1,27,5500,0,,,,,
123,11305,번동,148-82,유성빌라C,1990,,36.03,2015,1,28,2000,15,,,,,
124,11305,번동,148-82,유성빌라C,1990,,36.03,2015,1,29,2000,15,,,,,
125,11305,번동,464-3,드림타워,2012,6,21.6,2015,1,30,2500,40,,,,,
126,11305,번동,148-61,진성빌라라동,1989,,54.39,2015,1,30,9000,0,,,,,
127,11305,수유동,540-15,한남하이츠빌라,1992,3,47.98,2015,1,3,7000,10,,,,,
128,11305,수유동,360-1,보광빌라,1983,3,89.49,2015,1,5,10000,0,,,,,
129,11305,수유동,130-153,황지클래스16차,2007,3,63.66,2015,1,5,15000,0,,,,,
130,11305,수유동,281-4,한강S클래스(281-4),2013,5,33.99,2015,1,5,12000,0,,,,,
131,11305,수유동,270-104,일신빌라(270-104),1993,4,49.29,2015,1,7,1000,55,,,,,
132,11305,수유동,30-2,진한탑클래스,2014,6,39.2,2015,1,7,1000,75,,,,,
133,11305,수유동,391-10,인성하이츠빌라,1992,-1,40.62,2015,1,8,3000,0,,,,,
134,11305,수유동,252-51,삼우아트빌라7차,1994,1,42.7,2015,1,8,7000,0,,,,,
135,11305,수유동,486-826,평산빌라2동,1991,2,35.1,2015,1,8,5500,0,,,,,
136,11305,수유동,448-8,진산빌라(448-8),1990,2,49.41,2015,1,8,12000,0,,,,,
137,11305,수유동,455-30,상록캐스빌(455-30),2013,3,43.69,2015,1,9,16000,0,,,,,
138,11305,수유동,446-1,대창그린빌,2009,4,34.43,2015,1,9,9500,0,,,,,
139,11305,수유동,412-5,한양하이츠빌라,1992,2,45.18,2015,1,10,2000,45,,,,,
