지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11740,명일동,328-8,재경아트빌라,1992,2,83.7,2015,1,3,27000,0,,,,,
11740,명일동,322-11,반석빌리지,2012,5,36.61,2015,1,10,15500,0,,,,,
11740,명일동,312-182,진양그린빌리지,1996,3,84.89,2015,1,10,18000,25,,,,,
11740,명일동,336-18,(336-18),2012,2,17.76,2015,1,12,500,43,,,,,
11740,명일동,332-3,아름누리,2014,2,53.16,2015,1,12,25000,0,,,,,
11740,명일동,345-4,삼진빌라트,2002,2,78.98,2015,1,13,28000,0,,,,,
11740,명일동,345-4,삼진빌라트,2002,2,78.98,2015,1,13,28000,0,,,,,
11740,명일동,322-11,반석빌리지,2012,5,38.17,2015,1,15,15000,0,,,,,
11740,명일동,334-5,예지빌,2003,4,38.97,2015,1,15,2000,60,,,,,
11740,명일동,312-213,312-213,2013,4,29.63,2015,1,17,12000,40,,,,,
11740,명일동,332-3,아름누리,2014,2,53.16,2015,1,17,26700,0,,,,,
11740,명일동,332-3,아름누리,2014,2,53.16,2015,1,19,26700,0,,,,,
11740,명일동,332-3,아름누리,2014,5,42.78,2015,1,19,10000,50,,,,,
11740,명일동,352-3,삼경주택(352-3),1987,,41.65,2015,1,22,7000,0,,,,,
11740,명일동,240-2,(240-2),1987,1,53.64,2015,1,22,10000,30,,,,,
11740,명일동,332-3,아름누리,2014,3,53.16,2015,1,23,26800,0,,,,,
11740,명일동,210,210,1987,1,54.75,2015,1,26,10000,0,,,,,
11740,명일동,348-9,건우빌라,2008,2,55.71,2015,1,26,21500,0,,,,,
11740,명일동,346-18,다성이즈빌,2014,2,43.99,2015,1,26,25000,0,,,,,
11740,명일동,312-168,(312-168),2013,3,40.63,2015,1,26,15500,0,,,,,
11740,명일동,305-17,삼성아트빌,2013,4,42.21,2015,1,27,10000,35,,,,,
11740,명일동,312-9,(312-9),1986,1,54.21,2015,1,28,15000,0,,,,,
11740,명일동,312-147,블루빌,2010,3,59.76,2015,1,29,25000,0,,,,,
11740,명일동,312-199,(312-199),2002,3,39.68,2015,1,29,5500,40,,,,,
11740,명일동,351-10,승오아트빌,2002,2,48.14,2015,1,31,5500,65,,,,,
11740,고덕동,281-7,우성빌라,1986,3,40.74,2015,1,6,1000,45,,,,,
11740,고덕동,165-8,(165-8),1986,1,38.64,2015,1,9,9000,0,,,,,
11740,고덕동,151,(151-0),1987,1,28.95,2015,1,10,7000,0,,,,,
11740,고덕동,194-2,(194-2),1986,3,54.88,2015,1,10,12000,0,,,,,
11740,고덕동,542-1,금성(542-1),1986,2,54.98,2015,1,10,10000,0,,,,,
11740,고덕동,228-1,(228-1),1986,,40.58,2015,1,14,1000,60,,,,,
11740,고덕동,530-1,(530-1),1986,2,54.17,2015,1,15,9000,15,,,,,
11740,고덕동,165-3,삼도빌라,1986,3,41.14,2015,1,22,1500,50,,,,,
11740,고덕동,173-3,(173-3),1986,,42.16,2015,1,24,5000,0,,,,,
11740,고덕동,633-2,고덕빌라,1986,1,52.5,2015,1,28,13000,0,,,,,
11740,상일동,292-1,호디에,2011,2,66.25,2015,1,7,20000,0,,,,,
11740,상일동,345,삼호주택,1986,,51.98,2015,1,17,6500,0,,,,,
11740,상일동,174,상일우성타운1,1989,3,165.32,2015,1,19,50000,0,,,,,
11740,상일동,298-3,(298-3),1986,2,41.66,2015,1,19,3000,50,,,,,
11740,상일동,296-1,(296-1),2008,3,48.69,2015,1,20,16000,0,,,,,
11740,상일동,172,현대빌라,1986,2,108.135,2015,1,22,10000,120,,,,,
11740,상일동,318-3,에덴빌라,2011,5,64.06,2015,1,24,16000,0,,,,,
11740,상일동,318-3,에덴빌라,2011,2,52.61,2015,1,26,17000,0,,,,,
11740,상일동,174,상일우성타운1,1989,1,161.78,2015,1,28,40000,40,,,,,
11740,상일동,312-5,(312-5),2012,2,51.99,2015,1,28,7000,56,,,,,
11740,상일동,346-2,(346-2),1986,1,57.94,2015,1,29,13000,0,,,,,
11740,상일동,452-3,갤러리하우스,2011,3,52.98,2015,1,29,15000,0,,,,,
11740,상일동,312,파란아침,2008,4,68.41,2015,1,30,19000,0,,,,,
11740,길동,404-16,(404-16),2011,3,15.55,2015,1,1,1000,45,,,,,
11740,길동,143-1,은혜빌,2013,4,17.1,2015,1,2,1000,50,,,,,
11740,길동,387-5,청광플러스원(큐브1차),2012,11,17.075,2015,1,2,2500,35,,,,,
11740,길동,387-5,청광플러스원(큐브1차),2012,10,16.685,2015,1,3,500,47,,,,,
11740,길동,96-11,카리스하우스,2013,3,48.24,2015,1,3,14000,0,,,,,
11740,길동,374-5,오륜빌라,2002,2,42.85,2015,1,3,15000,0,,,,,
11740,길동,374-5,오륜빌라,2002,3,42.85,2015,1,3,15000,0,,,,,
11740,길동,327-9,호수빌라,1991,1,48.63,2015,1,5,10500,0,,,,,
11740,길동,172-3,삼성빌라,1987,2,69.39,2015,1,6,3000,60,,,,,
11740,길동,354-3,(354-3),2010,4,27.72,2015,1,6,13500,0,,,,,
11740,길동,375-6,(375-6),2003,3,43.75,2015,1,7,15000,0,,,,,
11740,길동,353-17,강동설레임Ⅰ,2013,4,29.1,2015,1,8,15000,0,,,,,
11740,길동,411-12,동남그린빌라,1994,1,49.46,2015,1,8,12000,20,,,,,
11740,길동,355-5,동성타운,1987,2,59.91,2015,1,9,17000,0,,,,,
11740,길동,172-3,삼성빌라,1987,2,65.34,2015,1,9,19000,0,,,,,
11740,길동,364-17,삼성그린빌리지,2003,4,50.13,2015,1,10,19000,0,,,,,
11740,길동,396-15,태성주택,2003,3,41.42,2015,1,10,8000,30,,,,,
11740,길동,252-101,원진아트빌,2010,3,40.21,2015,1,12,16000,0,,,,,
11740,길동,379-2,삼성월드빌,2002,3,28.8,2015,1,12,11500,0,,,,,
11740,길동,341-10,수빌리지,2012,3,14.55,2015,1,14,7000,0,,,,,
11740,길동,397-10,(397-10),2010,2,29.34,2015,1,14,13000,0,,,,,
11740,길동,410-10,태진빌리지,2002,3,40.88,2015,1,14,12000,20,,,,,
11740,길동,410-11,(410-11),2005,3,23.31,2015,1,14,8000,0,,,,,
11740,길동,408-9,이한트레비엥,2015,5,29.68,2015,1,15,16000,0,,,,,
11740,길동,374-13,로뎀하우스,2009,3,18.67,2015,1,15,1000,50,,,,,
11740,길동,397-10,(397-10),2010,4,27.97,2015,1,15,5000,20,,,,,
11740,길동,252-101,원진아트빌,2010,2,40.21,2015,1,16,16000,0,,,,,
11740,길동,46-4,뉴현대주택(나동),1990,1,40.24,2015,1,16,11000,0,,,,,
11740,길동,408-3,영주빌라,1993,,37.02,2015,1,17,3000,0,,,,,
11740,길동,358-10,명성빌라,2002,3,59.96,2015,1,17,20000,0,,,,,
11740,길동,334-11,다온빌,2012,2,42.39,2015,1,19,17000,0,,,,,
11740,길동,242-5,(242-5),2010,5,26.01,2015,1,19,10000,0,,,,,
11740,길동,408-9,이한트레비엥,2015,3,29.68,2015,1,20,16000,0,,,,,
11740,길동,411-6,(411-6),2012,2,36.06,2015,1,20,2000,60,,,,,
11740,길동,252-101,원진아트빌,2010,3,18.12,2015,1,20,1000,40,,,,,
11740,길동,82-2,더블유빌리지,2014,3,29.92,2015,1,20,18000,0,,,,,
11740,길동,354-14,(354-14),2003,3,47.55,2015,1,20,3000,70,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,2,29.74,2015,1,22,17000,0,,,,,
11740,길동,82-11,유니온빌,2013,2,29.12,2015,1,22,7000,40,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,3,29.74,2015,1,22,17000,0,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,5,53.69,2015,1,22,24000,0,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,4,55.9,2015,1,23,24000,0,,,,,
11740,길동,379-13,태우빌라,2002,1,49.02,2015,1,23,2000,70,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,2,48.44,2015,1,23,23500,0,,,,,
11740,길동,369-5,동성빌라(C동),1985,1,88.09,2015,1,24,16000,0,,,,,
11740,길동,355-5,동성타운,1987,2,51.07,2015,1,24,16000,0,,,,,
11740,길동,387-5,청광플러스원(큐브1차),2012,13,16.685,2015,1,24,500,50,,,,,
11740,길동,396-15,태성주택,2003,2,41.42,2015,1,25,8000,30,,,,,
11740,길동,394-4,마이씨티홈,2011,3,17.5,2015,1,26,7500,0,,,,,
11740,길동,375-3,동심아트빌,2002,3,61.35,2015,1,26,5000,70,,,,,
11740,길동,324-2,삼익빌라,1996,-1,43.05,2015,1,26,1500,25,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,3,55.9,2015,1,27,24000,0,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,2,55.9,2015,1,27,24000,0,,,,,
11740,길동,327-3,일호홈타운(327-3),2008,4,36.37,2015,1,27,17000,0,,,,,
11740,길동,404-16,(404-16),2011,2,16.11,2015,1,27,500,42,,,,,
11740,길동,378-3,대명빌딩,2014,6,16.08,2015,1,28,10000,0,,,,,
11740,길동,371-8,우주빌딩,2004,4,47.77,2015,1,28,4000,80,,,,,
11740,길동,321-9,예건네스빌(321-9),2015,5,51.49,2015,1,28,23000,0,,,,,
