지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11680,역삼동,777-40,(777-40),1996,3,40.58,2015,1,2,2000,80,,,,,
11680,역삼동,777-14,드림하우스,2000,2,27.36,2015,1,2,11000,15,,,,,
11680,역삼동,621-8,동산쉐르빌1동,2002,-1,29.14,2015,1,2,16000,0,,,,,
11680,역삼동,828-28,EGSoulLeader,2012,5,19.37,2015,1,3,18000,0,,,,,
11680,역삼동,834-18,역삼동834-18공동주택(최원규),2010,2,24.06,2015,1,3,13500,10,,,,,
11680,역삼동,697-55,테라스,2009,2,26.39,2015,1,5,12000,0,,,,,
11680,역삼동,682-1,효신빌라,1983,3,74.26,2015,1,5,19000,0,,,,,
11680,역삼동,749-17,샤인빌,2002,4,34.22,2015,1,5,10000,30,,,,,
11680,역삼동,703-7,루트원레지던스,2012,12,16.13,2015,1,6,13000,0,,,,,
11680,역삼동,744,역삼동한스빌라텔,2000,2,32.0,2015,1,6,12000,0,,,,,
11680,역삼동,834-42,다사랑빌,2012,3,16.14,2015,1,6,500,60,,,,,
11680,역삼동,664-1,예일하우스,1996,1,30.24,2015,1,7,500,60,,,,,
11680,역삼동,660-4,충현빌,2002,3,53.6,2015,1,7,13000,60,,,,,
11680,역삼동,793-21,(793-21),2012,3,25.72,2015,1,7,13500,0,,,,,
11680,역삼동,725-58,(725-58),2003,4,67.86,2015,1,7,30000,45,,,,,
11680,역삼동,703-7,루트원레지던스,2012,12,15.96,2015,1,7,12000,12,,,,,
11680,역삼동,749-18,(749-18),2002,4,58.45,2015,1,8,10500,0,,,,,
11680,역삼동,703-7,루트원레지던스,2012,12,16.13,2015,1,8,13000,0,,,,,
11680,역삼동,834-54,가원빌,2010,3,21.48,2015,1,8,15000,0,,,,,
11680,역삼동,792-43,곤지빌,2001,2,31.68,2015,1,8,12000,5,,,,,
11680,역삼동,724-47,쥴리엣,2002,3,23.97,2015,1,8,7000,27,,,,,
11680,역삼동,780-19,타임빌라,2000,4,32.4,2015,1,9,8000,30,,,,,
11680,역삼동,794-21,(794-21),1998,2,26.99,2015,1,10,7000,0,,,,,
11680,역삼동,781-35,스타힐스,2012,4,14.37,2015,1,10,1000,60,,,,,
11680,역삼동,644-13,(644-13),1991,1,78.84,2015,1,10,26000,0,,,,,
11680,역삼동,690-7,HAUS6907,2000,2,18.36,2015,1,11,10500,0,,,,,
11680,역삼동,684-17,주풍그랜드빌리지,1995,2,79.24,2015,1,11,31000,0,,,,,
11680,역삼동,817-37,(817-37),2012,3,14.68,2015,1,12,10000,0,,,,,
11680,역삼동,828-28,EGSoulLeader,2012,3,13.61,2015,1,12,3000,50,,,,,
11680,역삼동,695-6,소호빌,2002,3,31.0,2015,1,12,9000,0,,,,,
11680,역삼동,794-27,(794-27),2013,2,29.24,2015,1,13,2000,100,,,,,
11680,역삼동,834-54,가원빌,2010,2,21.24,2015,1,13,10000,20,,,,,
11680,역삼동,792-71,(792-71),2010,4,36.0,2015,1,13,10000,0,,,,,
11680,역삼동,766-7,예원하이빌,2000,3,29.315,2015,1,13,15000,0,,,,,
11680,역삼동,690-17,서준빌라,2000,2,40.65,2015,1,13,17500,0,,,,,
11680,역삼동,656-11,백훈아트빌,2002,2,28.83,2015,1,13,9500,0,,,,,
11680,역삼동,780-2,역삼동디노빌,2002,4,65.33,2015,1,14,27000,0,,,,,
11680,역삼동,656-8,도원하이빌,2002,3,60.9,2015,1,14,25000,0,,,,,
11680,역삼동,792-24,(792-24),2002,4,24.24,2015,1,14,11000,0,,,,,
11680,역삼동,743-1,동우빌라(743-1),1994,1,198.93,2015,1,15,40000,0,,,,,
11680,역삼동,703-7,루트원레지던스,2012,15,40.13,2015,1,15,30000,0,,,,,
11680,역삼동,770-16,드림하우징빌딩,2003,4,53.65,2015,1,15,12000,30,,,,,
11680,역삼동,742-29,동명빌딩,2003,5,54.87,2015,1,15,11000,0,,,,,
11680,역삼동,778-9,(778-9),2001,4,64.64,2015,1,15,28000,0,,,,,
