,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11545,가산동,235-30,금강파크빌,2009,2,68.58,2015,1,15,15500,0,,,,,
1,11545,가산동,235-77,동양아트빌,2014,6,28.12,2015,1,22,5000,60,,,,,
2,11545,가산동,40-11,(휴먼빌40-11),2012,2,16.36,2015,1,26,2000,35,,,,,
3,11545,가산동,239-21,원평7차,2001,5,86.98,2015,1,31,10000,0,,,,,
4,11545,가산동,40-11,(휴먼빌40-11),2012,4,19.6,2015,1,31,500,40,,,,,
5,11545,독산동,986-14,석운빌라,2003,2,53.76,2015,1,1,13000,0,,,,,
6,11545,독산동,147-78,푸른솔,2013,5,14.57,2015,1,3,500,49,,,,,
7,11545,독산동,1006-60,현대빌라,1992,2,59.16,2015,1,3,12000,0,,,,,
8,11545,독산동,148-27,알프스(148-27),2012,6,12.48,2015,1,4,4000,20,,,,,
9,11545,독산동,47-30,독산네스트빌,2002,2,45.53,2015,1,5,14000,0,,,,,
10,11545,독산동,1120-1,유진하이츠빌라,1994,2,45.0,2015,1,6,10000,0,,,,,
11,11545,독산동,1066-19,대우주택,1995,4,39.51,2015,1,6,10000,0,,,,,
12,11545,독산동,378-342,금강누리빌(378-342),2012,5,45.81,2015,1,6,7000,30,,,,,
13,11545,독산동,378-157,정호빌라,1995,2,62.9,2015,1,9,3500,50,,,,,
14,11545,독산동,894-12,야호프라자,2003,4,76.33,2015,1,10,18000,0,,,,,
15,11545,독산동,331-70,덕산파크빌(331-70),2013,5,29.82,2015,1,12,4000,50,,,,,
16,11545,독산동,200-25,금탑맨션,2012,2,54.97,2015,1,12,18000,0,,,,,
17,11545,독산동,1006-185,태성팰리스,2012,7,17.98,2015,1,12,6500,0,,,,,
18,11545,독산동,376-58,지일,1980,1,40.41,2015,1,13,3500,20,,,,,
19,11545,독산동,898-7,평강그린빌,2014,3,52.6,2015,1,13,13000,20,,,,,
20,11545,독산동,199-3,둥지원룸,2013,2,15.44,2015,1,13,3000,44,,,,,
21,11545,독산동,889-23,둥지맨션,2008,3,59.78,2015,1,14,17000,0,,,,,
22,11545,독산동,149-50,베니스(149-50),2012,5,12.09,2015,1,14,200,51,,,,,
23,11545,독산동,876-5,현우빌딩,2011,4,18.145,2015,1,15,8000,0,,,,,
24,11545,독산동,1072-1,형제파크빌라,2002,1,67.32,2015,1,15,16500,0,,,,,
25,11545,독산동,972-5,BROTHERSTOWN,2007,5,55.52,2015,1,17,14000,0,,,,,
26,11545,독산동,1006-54,더로터스(1006-54),2014,6,49.68,2015,1,19,5000,90,,,,,
27,11545,독산동,1006-75,골든위브빌,2009,2,78.7,2015,1,20,15000,0,,,,,
28,11545,독산동,182-8,타운캐슬,2013,-1,29.68,2015,1,21,10000,0,,,,,
29,11545,독산동,876-5,현우빌딩,2011,4,18.145,2015,1,23,8000,0,,,,,
30,11545,독산동,1006-57,금호베네스타,2008,2,75.43,2015,1,24,5000,70,,,,,
31,11545,독산동,929,(929-0),1997,2,76.5,2015,1,26,9500,0,,,,,
32,11545,독산동,898-7,평강그린빌,2014,4,52.6,2015,1,27,10000,30,,,,,
33,11545,독산동,1006-185,태성팰리스,2012,6,22.33,2015,1,27,10000,0,,,,,
34,11545,독산동,880-3,(880-3),2002,2,30.0,2015,1,28,1000,45,,,,,
35,11545,독산동,980-8,정성하이빌,2003,4,37.45,2015,1,31,7000,0,,,,,
36,11545,독산동,302-5,대성연립가동나동다동,1980,2,58.51,2015,1,31,7000,10,,,,,
37,11545,독산동,378-50,인우빌라,1991,3,46.26,2015,1,31,9000,0,,,,,
38,11545,시흥동,937-16,훼밀리연립다동,1982,2,53.19,2015,1,4,2000,55,,,,,
39,11545,시흥동,4-5,영광하이츠(4-5),1991,2,73.39,2015,1,6,15000,0,,,,,
40,11545,시흥동,919-86,세진빌라A동,1992,2,70.98,2015,1,7,10000,0,,,,,
41,11545,시흥동,1005,중앙하이츠빌라,1988,3,57.29,2015,1,8,2000,60,,,,,
42,11545,시흥동,950-3,두리파크빌A동,2001,2,58.31,2015,1,9,7000,40,,,,,
43,11545,시흥동,817-48,두산캐빈빌라,2003,2,71.87,2015,1,10,17000,0,,,,,
44,11545,시흥동,823-2,광진에버빌,2014,3,48.97,2015,1,12,15000,0,,,,,
45,11545,시흥동,952-13,GS빌라B동,1994,1,69.24,2015,1,12,17000,0,,,,,
46,11545,시흥동,973-2,천록연립,1985,1,60.57,2015,1,12,12000,0,,,,,
47,11545,시흥동,990-9,덕산파크빌B,2014,4,33.31,2015,1,12,5000,40,,,,,
48,11545,시흥동,937-11,훼밀리연립가동,1982,3,46.74,2015,1,12,1000,40,,,,,
49,11545,시흥동,919-35,(919-35),2002,3,41.96,2015,1,12,13000,0,,,,,
50,11545,시흥동,813-34,영은빌,2015,4,29.84,2015,1,13,12000,0,,,,,
51,11545,시흥동,995-17,동남주택1동2동,1994,3,55.17,2015,1,14,3000,40,,,,,
52,11545,시흥동,817-48,두산캐빈빌라,2003,5,71.87,2015,1,14,14500,0,,,,,
53,11545,시흥동,813-34,영은빌,2015,4,29.09,2015,1,15,12000,0,,,,,
54,11545,시흥동,813-34,영은빌,2015,2,29.09,2015,1,15,3500,55,,,,,
55,11545,시흥동,1005,중앙하이츠빌라,1988,1,72.46,2015,1,15,3000,70,,,,,
56,11545,시흥동,826-22,우성빌라,2003,2,77.52,2015,1,16,18000,0,,,,,
57,11545,시흥동,813-34,영은빌,2015,2,29.84,2015,1,16,12000,0,,,,,
58,11545,시흥동,492-11,이주빌투,2014,2,57.66,2015,1,19,14500,0,,,,,
59,11545,시흥동,886,앰씨티,2011,4,15.24,2015,1,19,4000,25,,,,,
60,11545,시흥동,492-11,이주빌투,2014,5,29.94,2015,1,20,7000,55,,,,,
61,11545,시흥동,3-156,명인빌라,2007,3,40.14,2015,1,22,8000,10,,,,,
62,11545,시흥동,946-19,현대하우징,2011,4,29.86,2015,1,22,9000,0,,,,,
63,11545,시흥동,902-18,승우에버빌,2003,2,54.0,2015,1,22,13000,0,,,,,
64,11545,시흥동,817-22,대원주택,2004,2,74.62,2015,1,23,15000,0,,,,,
65,11545,시흥동,976-2,삼미연립가동,1983,3,53.13,2015,1,24,5000,30,,,,,
66,11545,시흥동,3-202,광진빌라,1992,-1,34.19,2015,1,24,4000,0,,,,,
67,11545,시흥동,172-5,(172-5),1991,2,37.58,2015,1,24,9000,0,,,,,
68,11545,시흥동,982,현대빌라,1989,3,39.48,2015,1,24,1500,45,,,,,
69,11545,시흥동,839-13,엘도라도,2013,4,12.0,2015,1,24,2000,30,,,,,
70,11545,시흥동,960-7,현주타운A동,2012,4,49.66,2015,1,26,13000,0,,,,,
71,11545,시흥동,862-2,한백아트,2012,3,46.86,2015,1,26,16000,0,,,,,
72,11545,시흥동,849-40,남승맨션빌B,2011,2,49.0,2015,1,27,12000,0,,,,,
73,11545,시흥동,796-19,예림타운밸리,2012,3,35.52,2015,1,27,13000,0,,,,,
74,11545,시흥동,864,시흥,1980,3,60.0,2015,1,27,8500,0,,,,,
75,11545,시흥동,819-10,금강파크빌,2013,4,36.86,2015,1,28,14000,0,,,,,
76,11545,시흥동,3-160,다솔빌리지A동,2002,3,57.25,2015,1,28,11000,0,,,,,
77,11545,시흥동,935-36,대림아트빌라,2002,2,47.52,2015,1,28,10000,0,,,,,
78,11545,시흥동,3-22,신진타운,2003,3,79.48,2015,1,28,14000,0,,,,,
79,11545,시흥동,983-13,대도,1983,1,60.48,2015,1,29,11000,0,,,,,
80,11545,시흥동,814-48,한성빌리지,2014,2,53.026,2015,1,30,14500,0,,,,,
81,11545,시흥동,817-22,대원주택,2004,4,74.62,2015,1,31,17000,0,,,,,
82,11545,시흥동,840-1,복지빌라나동,1992,1,50.81,2015,1,31,1000,60,,,,,
83,11545,가산동,238-1,성지아트빌2차,2003,2,45.21,2015,2,11,13000,0,,,,,
84,11545,가산동,238-119,백운한비치다라동,2003,,72.83,2015,2,15,15000,0,,,,,
85,11545,가산동,235-77,동양아트빌,2014,4,28.07,2015,2,23,8000,30,,,,,
86,11545,가산동,238-43,더빌딩파크빌,2015,4,27.56,2015,2,24,4000,50,,,,,
87,11545,가산동,147-28,성은맨션B동(147-28),2001,4,75.22,2015,2,26,18000,0,,,,,
88,11545,가산동,238-43,더빌딩파크빌,2015,5,24.0,2015,2,27,5000,50,,,,,
89,11545,독산동,890-2,신혼빌라(890-2),1987,,39.4,2015,2,2,8000,0,,,,,
90,11545,독산동,957-1,대한(957-1),1979,2,48.13,2015,2,2,8000,0,,,,,
91,11545,독산동,976-33,(두산빌라),2000,-1,51.54,2015,2,3,9000,0,,,,,
92,11545,독산동,950-5,그린힐,2012,6,24.02,2015,2,4,11500,0,,,,,
93,11545,독산동,939-12,현대힐타운(939-12),2012,3,29.58,2015,2,4,11000,0,,,,,
94,11545,독산동,979-33,현영아트빌,2002,1,64.24,2015,2,5,5000,0,,,,,
95,11545,독산동,378-179,한신빌(378-179),2008,5,43.65,2015,2,7,13000,0,,,,,
