,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11530,신도림동,292-221,전원연립,1979,2,61.95,2015,1,5,8000,0,,,,,
1,11530,구로동,448-81,스위티하우스,2012,4,21.75,2015,1,2,2000,42,,,,,
2,11530,구로동,797-24,(797-24),1996,4,38.06,2015,1,7,8000,0,,,,,
3,11530,구로동,532-53,현대아트빌라(532-53),2002,1,48.43,2015,1,7,13000,0,,,,,
4,11530,구로동,706-87,훼미리하우스101동,2013,4,29.73,2015,1,8,12000,0,,,,,
5,11530,구로동,777-4,양지빌라,1989,-1,25.63,2015,1,8,200,21,,,,,
6,11530,구로동,797-14,(797-14),1995,3,36.81,2015,1,8,2000,42,,,,,
7,11530,구로동,429-51,(429-51),1997,,44.13,2015,1,9,2000,40,,,,,
8,11530,구로동,771-27,(771-27),1996,2,22.54,2015,1,10,1000,35,,,,,
9,11530,구로동,771-40,(771-40),1995,3,31.42,2015,1,10,7000,0,,,,,
10,11530,구로동,745-6,(745-6),1999,3,29.98,2015,1,10,6500,0,,,,,
11,11530,구로동,791-40,(791-40),1994,2,28.33,2015,1,11,1500,30,,,,,
12,11530,구로동,476-75,(476-75),2013,5,15.91,2015,1,12,1000,50,,,,,
13,11530,구로동,748-28,계영주택,1996,3,72.18,2015,1,12,14000,0,,,,,
14,11530,구로동,799-10,(799-10),1996,3,53.03,2015,1,13,1000,47,,,,,
15,11530,구로동,472-1,드림하우스,2012,5,29.42,2015,1,13,10000,0,,,,,
16,11530,구로동,170-18,(170-18),1971,4,54.27,2015,1,15,3000,40,,,,,
17,11530,구로동,400-1,HillHouse,2013,2,29.99,2015,1,16,4000,50,,,,,
18,11530,구로동,171-2,성덕빌라,1998,3,53.43,2015,1,16,7500,0,,,,,
19,11530,구로동,111-38,미림,1986,2,41.31,2015,1,16,9500,0,,,,,
20,11530,구로동,155-22,(155-22),2006,1,29.36,2015,1,17,600,40,,,,,
21,11530,구로동,717-12,세명빌라,2000,5,56.12,2015,1,17,12000,0,,,,,
22,11530,구로동,701-16,리츠빌,2013,5,14.76,2015,1,17,1000,45,,,,,
23,11530,구로동,480-34,태창나동,1990,,35.34,2015,1,17,1000,40,,,,,
24,11530,구로동,180-15,태산빌라(180-15),1993,1,52.38,2015,1,18,1000,45,,,,,
25,11530,구로동,180-15,태산빌라(180-15),1993,-1,51.39,2015,1,20,500,31,,,,,
26,11530,구로동,742-16,(742-16),2000,3,50.34,2015,1,21,10000,0,,,,,
27,11530,구로동,809-56,(809-56),2002,4,49.32,2015,1,22,15000,0,,,,,
28,11530,구로동,154-12,대림빌라나동,1992,4,56.88,2015,1,22,3000,55,,,,,
29,11530,구로동,743-69,(743-69),1994,1,34.62,2015,1,23,1000,45,,,,,
30,11530,구로동,476-75,(476-75),2013,4,16.62,2015,1,23,2000,45,,,,,
31,11530,구로동,1132-7,성은빌라,2003,2,54.14,2015,1,24,14000,0,,,,,
32,11530,구로동,795-10,(795-10),1997,3,35.44,2015,1,24,9000,0,,,,,
33,11530,구로동,400-12,그린하우스,2014,4,28.62,2015,1,24,6000,37,,,,,
34,11530,구로동,140-10,(140-10),1974,1,24.2,2015,1,27,7000,0,,,,,
35,11530,구로동,409-47,서울아트빌,2012,4,58.53,2015,1,28,18000,0,,,,,
36,11530,구로동,317-78,코끼리하우스,2012,5,13.72,2015,1,29,7000,0,,,,,
37,11530,구로동,738-119,(738-119),1996,2,33.93,2015,1,30,2000,40,,,,,
38,11530,구로동,738-119,(738-119),1996,2,33.93,2015,1,30,2000,40,,,,,
39,11530,구로동,532-53,현대아트빌라(532-53),2002,2,46.13,2015,1,31,12500,0,,,,,
40,11530,가리봉동,134-94,(134-94),1996,2,53.3,2015,1,13,1000,50,,,,,
41,11530,가리봉동,773-1,청운하이츠빌11차,2006,2,70.51,2015,1,17,16000,0,,,,,
42,11530,고척동,241-2,홍진연립(241-2),1981,3,66.71,2015,1,2,8000,0,,,,,
43,11530,고척동,57-62,레스타빌,2013,3,14.68,2015,1,5,6000,0,,,,,
44,11530,고척동,57-62,레스타빌,2013,4,15.3,2015,1,7,1000,40,,,,,
45,11530,고척동,241-226,부강연립13동,1987,,67.1,2015,1,9,8000,0,,,,,
46,11530,고척동,251-54,251-54,2014,5,56.56,2015,1,16,10500,0,,,,,
47,11530,고척동,251-9,251-9,2014,5,43.61,2015,1,17,10000,0,,,,,
48,11530,고척동,344,다미안,2011,5,30.49,2015,1,19,13000,0,,,,,
49,11530,고척동,251-9,251-9,2014,5,41.17,2015,1,20,10000,0,,,,,
50,11530,고척동,271-202,(271-202),1986,-1,36.9,2015,1,26,4000,0,,,,,
51,11530,고척동,241-2,홍진연립(241-2),1981,1,63.97,2015,1,26,1000,65,,,,,
