지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11620,봉천동,1536-6,양지맨션(나)동,1993,2.0,82.82,2015,1,1,22000,0,,,,,
11620,봉천동,715-3,천우맨션,1991,3.0,70.47,2015,1,1,10000,0,,,,,
11620,봉천동,635-218,벨유어블,2014,4.0,26.48,2015,1,1,3500,50,,,,,
11620,봉천동,649-41,넥스트월드하우스,2001,1.0,29.66,2015,1,2,8500,0,,,,,
11620,봉천동,647-88,(647-88),1986,1.0,54.52,2015,1,2,7500,0,,,,,
11620,봉천동,196-282,현빌리지,2003,4.0,39.78,2015,1,2,12000,0,,,,,
11620,봉천동,100-37,신성그린빌B동,2003,3.0,65.78,2015,1,2,16000,0,,,,,
11620,봉천동,1688-30,(1688-30),2003,2.0,31.48,2015,1,2,5000,30,,,,,
11620,봉천동,897-18,897-18,2014,3.0,24.54,2015,1,3,2000,70,,,,,
11620,봉천동,635-468,635-468,2014,1.0,24.86,2015,1,3,11500,0,,,,,
11620,봉천동,649-184,현대하이츠빌라,1996,2.0,47.25,2015,1,3,13500,0,,,,,
11620,봉천동,635-314,공간1차,1994,3.0,32.43,2015,1,3,6500,0,,,,,
11620,봉천동,950-12,(950-12),2011,3.0,24.67,2015,1,3,500,40,,,,,
11620,봉천동,1642-19,화이트하우스,2002,3.0,37.96,2015,1,3,13000,0,,,,,
11620,봉천동,635-256,대성빌라,2002,4.0,38.995,2015,1,4,10800,0,,,,,
11620,봉천동,897-18,897-18,2014,1.0,29.98,2015,1,4,19000,0,,,,,
11620,봉천동,897-18,897-18,2014,2.0,24.54,2015,1,4,5000,40,,,,,
11620,봉천동,635-468,635-468,2014,2.0,24.86,2015,1,4,11500,0,,,,,
11620,봉천동,1514-12,영덕하우스,2011,4.0,23.44,2015,1,5,2000,70,,,,,
11620,봉천동,897-18,897-18,2014,2.0,29.98,2015,1,5,20000,0,,,,,
11620,봉천동,900-63,두산리치빌,2003,1.0,70.64,2015,1,5,23000,0,,,,,
11620,봉천동,1699-1,우영(가)(나)-45/(다)(라)-46,1983,3.0,61.24,2015,1,5,6000,10,,,,,
11620,봉천동,458-71,(458-71),2014,3.0,34.29,2015,1,5,18500,0,,,,,
11620,봉천동,1515-12,(1515-12),2002,3.0,58.62,2015,1,6,6000,60,,,,,
11620,봉천동,100-324,(100-324),2014,5.0,52.09,2015,1,6,20000,15,,,,,
11620,봉천동,65-41,현대아트빌라,1990,1.0,74.63,2015,1,6,100,30,,,,,
11620,봉천동,635-419,(635-419),2014,4.0,23.65,2015,1,6,11500,0,,,,,
11620,봉천동,41-230,행복율리아,2014,3.0,29.24,2015,1,6,17000,0,,,,,
11620,봉천동,457-162,현파크빌,2004,2.0,23.65,2015,1,7,4000,15,,,,,
11620,봉천동,41-109,(41-109),1992,3.0,29.94,2015,1,7,5000,0,,,,,
11620,봉천동,1526-33,보라매빌라(1526-33),1991,3.0,33.05,2015,1,7,10000,0,,,,,
11620,봉천동,886-40,뮤즈빌,2003,2.0,67.46,2015,1,7,12000,40,,,,,
11620,봉천동,173-30,하이클라스빌5차,2009,2.0,41.13,2015,1,7,16000,0,,,,,
11620,봉천동,897-18,897-18,2014,1.0,24.54,2015,1,7,4000,43,,,,,
11620,봉천동,635-468,635-468,2014,1.0,24.86,2015,1,7,11500,0,,,,,
11620,봉천동,180-39,삼원빌라(라동),1988,2.0,56.46,2015,1,7,16000,0,,,,,
11620,봉천동,41-108,리치팰리스,2013,2.0,29.91,2015,1,8,15000,0,,,,,
11620,봉천동,635-424,행복빌라(635-424),2013,1.0,25.76,2015,1,8,10000,0,,,,,
11620,봉천동,1527-21,오성빌라,1994,3.0,43.84,2015,1,8,12000,0,,,,,
11620,봉천동,1556-3,원앙빌라(1556-3),2001,4.0,35.84,2015,1,8,1000,60,,,,,
11620,봉천동,635-338,금강맨션,1991,3.0,69.96,2015,1,8,500,90,,,,,
11620,봉천동,958-35,태양아트빌,2003,2.0,42.29,2015,1,8,14000,0,,,,,
11620,봉천동,458-17,삼성주택A동,2002,2.0,58.59,2015,1,9,21000,0,,,,,
11620,봉천동,635-427,은하수빌,2013,2.0,27.995,2015,1,9,14000,0,,,,,
11620,봉천동,635-427,은하수빌,2013,2.0,27.995,2015,1,9,14000,0,,,,,
11620,봉천동,877-35,일육삼아트빌라,1995,3.0,64.8,2015,1,9,20000,0,,,,,
11620,봉천동,65-6,드림빌(65-6),2008,2.0,18.0,2015,1,9,1000,35,,,,,
11620,봉천동,635-427,은하수빌,2013,3.0,27.995,2015,1,9,14000,0,,,,,
11620,봉천동,470-174,수광하이츠가동,1991,2.0,59.33,2015,1,10,15000,0,,,,,
11620,봉천동,877-35,일육삼아트빌라,1995,2.0,64.8,2015,1,10,15000,0,,,,,
11620,봉천동,195-30,(195-30),1990,,52.56,2015,1,10,4000,50,,,,,
11620,봉천동,180-95,(180-95),2012,3.0,32.06,2015,1,10,15000,0,,,,,
11620,봉천동,1563-29,(1563-29),2014,3.0,28.97,2015,1,10,15000,0,,,,,
11620,봉천동,457-372,(457-372),2013,3.0,27.11,2015,1,10,9000,10,,,,,
11620,봉천동,100-357,(100-357),1990,2.0,35.91,2015,1,11,1000,45,,,,,
11620,봉천동,458-71,(458-71),2014,2.0,39.04,2015,1,12,21000,0,,,,,
11620,봉천동,634-29,에덴빌라,1991,2.0,48.58,2015,1,12,12500,0,,,,,
11620,봉천동,649-20,관악파레스빌라,1991,2.0,62.34,2015,1,12,14000,0,,,,,
11620,봉천동,674-16,은하빌라,1991,1.0,36.0,2015,1,12,4000,20,,,,,
11620,봉천동,685-97,유한하이츠빌라,1999,4.0,47.39,2015,1,12,10000,0,,,,,
11620,봉천동,734-1,동방타운,1995,3.0,45.7,2015,1,12,14000,0,,,,,
11620,봉천동,1650-10,신광빌라,2012,5.0,29.96,2015,1,13,18000,0,,,,,
11620,봉천동,458-71,(458-71),2014,4.0,29.5,2015,1,13,20000,0,,,,,
11620,봉천동,1517-7,탑빌리지,2003,1.0,78.39,2015,1,13,13000,0,,,,,
11620,봉천동,1650-10,신광빌라,2012,2.0,29.96,2015,1,14,17000,0,,,,,
11620,봉천동,196-150,(196-150),2014,3.0,24.44,2015,1,14,17000,0,,,,,
11620,봉천동,1688-46,세정홈타운,2003,1.0,45.14,2015,1,14,9000,60,,,,,
11620,봉천동,1524-5,하이빌,2003,2.0,69.27,2015,1,15,20000,0,,,,,
11620,봉천동,897-18,897-18,2014,3.0,29.86,2015,1,15,1000,50,,,,,
11620,봉천동,173-50,보금자리,2010,3.0,50.01,2015,1,15,17000,0,,,,,
11620,봉천동,1675-11,(1675-11),2002,2.0,28.48,2015,1,16,2000,25,,,,,
11620,봉천동,1675-11,(1675-11),2002,2.0,28.48,2015,1,16,2000,55,,,,,
11620,봉천동,1584-10,청림주택,2003,3.0,65.07,2015,1,16,16000,0,,,,,
11620,봉천동,635-371,은천쉐르빌,2012,3.0,29.71,2015,1,16,15000,0,,,,,
11620,봉천동,635-507,그린하우스,1996,2.0,59.86,2015,1,16,12000,0,,,,,
11620,봉천동,41-181,준빌라,2011,1.0,28.77,2015,1,16,1000,65,,,,,
11620,봉천동,1511,(1511-0),2002,4.0,58.44,2015,1,17,14000,0,,,,,
11620,봉천동,1514-12,영덕하우스,2011,2.0,27.62,2015,1,17,1000,70,,,,,
11620,봉천동,946-9,호성빌라,2002,2.0,49.86,2015,1,17,17000,0,,,,,
11620,봉천동,100-196,(100-196),2004,3.0,41.04,2015,1,17,13000,0,,,,,
