,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11215,중곡동,134-24,삼성리치빌,2005,2,72.8,2015,1,1,22000,0,,,,,
1,11215,중곡동,110-8,대원갤럭시,2012,4,56.04,2015,1,1,10000,0,,,,,
2,11215,중곡동,18-147,대원빌라나동,1985,3,92.0,2015,1,2,1000,85,,,,,
3,11215,중곡동,138-1,(138-1),2002,2,43.78,2015,1,3,16000,0,,,,,
4,11215,중곡동,104-27,다성빌,2012,3,47.73,2015,1,3,16000,0,,,,,
5,11215,중곡동,642-11,(642-11),2002,2,37.56,2015,1,3,7500,0,,,,,
6,11215,중곡동,196-5,제이에스빌(196-5),2014,4,28.85,2015,1,3,22000,0,,,,,
7,11215,중곡동,107-96,현진빌라,2011,2,22.78,2015,1,4,7500,0,,,,,
8,11215,중곡동,142-18,해피온리치빌,2013,3,21.74,2015,1,4,1000,50,,,,,
9,11215,중곡동,638-6,스위트빌,2002,2,43.875,2015,1,5,15000,0,,,,,
10,11215,중곡동,557-2,현쉐르빌,2008,3,48.45,2015,1,5,12000,0,,,,,
11,11215,중곡동,623-3,리첸하우스,2008,5,34.68,2015,1,5,14000,0,,,,,
12,11215,중곡동,189-48,골든빌(189-48),2002,5,43.55,2015,1,5,15500,0,,,,,
13,11215,중곡동,257-29,(257-29),2013,3,41.515,2015,1,5,18000,0,,,,,
14,11215,중곡동,147-73,무지개빌,2002,3,59.63,2015,1,6,19000,0,,,,,
15,11215,중곡동,150-32,한성빌,2004,3,118.89,2015,1,6,20000,0,,,,,
16,11215,중곡동,234-20,(234-20),2001,4,36.96,2015,1,6,12000,0,,,,,
17,11215,중곡동,624-27,동양하우스,2008,4,38.82,2015,1,6,11000,0,,,,,
18,11215,중곡동,563-8,중곡빌라(563-8),2005,3,32.82,2015,1,7,12000,0,,,,,
19,11215,중곡동,169-56,로마네스크1,2007,2,31.68,2015,1,8,10000,0,,,,,
20,11215,중곡동,95-10,선화11차,1997,1,72.1,2015,1,8,20000,0,,,,,
21,11215,중곡동,541-2,(541-2),2004,3,76.33,2015,1,9,17000,15,,,,,
22,11215,중곡동,47-6,미주빌,2014,2,43.17,2015,1,9,18000,0,,,,,
23,11215,중곡동,31-21,31-21,2014,3,29.93,2015,1,9,16000,0,,,,,
24,11215,중곡동,53-11,샤롬빌라트,2002,3,18.87,2015,1,9,7500,0,,,,,
25,11215,중곡동,138-12,클럽하우스4,2013,2,13.87,2015,1,9,8000,0,,,,,
26,11215,중곡동,18-102,세명쉐르빌,2014,,44.76,2015,1,10,10000,15,,,,,
27,11215,중곡동,114-20,현대파크빌라,1991,1,35.32,2015,1,10,11000,0,,,,,
28,11215,중곡동,579-1,동방프라자,1996,5,110.8,2015,1,10,23500,0,,,,,
29,11215,중곡동,176-16,SKY빌,2008,2,61.99,2015,1,10,9000,40,,,,,
30,11215,중곡동,160-17,(160-17),2015,3,30.97,2015,1,10,19000,0,,,,,
31,11215,중곡동,150-96,대일하이빌,2009,4,59.47,2015,1,12,7000,55,,,,,
32,11215,중곡동,58-2,금탑빌라,2002,2,52.41,2015,1,13,17000,0,,,,,
33,11215,중곡동,18-24,신향빌라,1986,2,76.38,2015,1,13,25000,0,,,,,
34,11215,중곡동,106-11,(106-11),2003,4,54.0,2015,1,13,17000,0,,,,,
35,11215,중곡동,239-8,신원캐스빌A동,2003,4,61.7,2015,1,13,16000,0,,,,,
36,11215,중곡동,159-30,리치빌(159-30),2014,2,77.04,2015,1,13,28000,0,,,,,
37,11215,중곡동,159-30,리치빌(159-30),2014,4,50.67,2015,1,13,23000,0,,,,,
38,11215,중곡동,176-16,SKY빌,2008,3,60.22,2015,1,13,18000,0,,,,,
39,11215,중곡동,150-90,진연빌,2011,5,30.18,2015,1,14,14000,0,,,,,
40,11215,중곡동,73-95,동화그랑트21(73-95),2002,3,47.74,2015,1,14,14000,0,,,,,
41,11215,중곡동,159-58,엔젤쉐르빌,2002,1,81.55,2015,1,15,23000,0,,,,,
42,11215,중곡동,118-24,(118-24),2008,4,50.78,2015,1,16,18000,0,,,,,
43,11215,중곡동,88-12,동서화운트빌(88-12),2010,2,51.37,2015,1,16,19000,0,,,,,
44,11215,중곡동,139-11,수현,2011,4,28.34,2015,1,16,18000,0,,,,,
45,11215,중곡동,122-19,우리빌(122-19),2003,2,67.98,2015,1,16,22000,0,,,,,
46,11215,중곡동,18-120,18-120,2015,3,48.99,2015,1,17,23000,0,,,,,
47,11215,중곡동,53-29,경원리더스홈,2014,3,54.71,2015,1,17,23000,0,,,,,
48,11215,중곡동,259-6,(259-6),2014,3,28.8,2015,1,17,1000,50,,,,,
49,11215,중곡동,133-21,준아트빌,2008,3,72.48,2015,1,17,18000,10,,,,,
50,11215,중곡동,258-13,그랜드빌라,1995,1,34.7,2015,1,18,14500,0,,,,,
51,11215,중곡동,142-18,해피온리치빌,2013,4,21.12,2015,1,19,2500,35,,,,,
52,11215,중곡동,162-22,선화빌라8차,1996,2,59.09,2015,1,19,19500,0,,,,,
53,11215,중곡동,646-21,네스빌(646-21),2011,3,68.66,2015,1,19,26000,0,,,,,
54,11215,중곡동,632-8,(632-8),2002,4,14.43,2015,1,19,2000,35,,,,,
55,11215,중곡동,138-12,클럽하우스4,2013,3,13.7,2015,1,20,8000,0,,,,,
56,11215,중곡동,162-15,중곡동다세대주택(162-15),2004,3,57.5,2015,1,20,20000,0,,,,,
57,11215,중곡동,602-9,비젼하우스,2008,2,21.75,2015,1,20,5500,0,,,,,
58,11215,중곡동,133-16,(133-16),2001,2,56.47,2015,1,20,15000,0,,,,,
59,11215,중곡동,133-16,(133-16),2001,2,56.47,2015,1,20,15000,0,,,,,
60,11215,중곡동,242-42,허니빌(2차),2009,2,39.795,2015,1,20,17500,0,,,,,
61,11215,중곡동,61-1,동승아트빌,2004,3,53.29,2015,1,21,20000,0,,,,,
62,11215,중곡동,18-132,다성피렌체,2013,1,50.06,2015,1,21,21000,0,,,,,
63,11215,중곡동,18-120,18-120,2015,4,38.24,2015,1,21,19000,0,,,,,
64,11215,중곡동,48-1,동민하이츠,2003,4,32.76,2015,1,22,6000,30,,,,,
65,11215,중곡동,624-22,타운하우스(624-22),2008,3,52.56,2015,1,24,18000,0,,,,,
66,11215,중곡동,220-45,창우그린빌,2014,3,46.43,2015,1,24,23500,0,,,,,
67,11215,중곡동,94-31,"다온(가,나)",2015,4,53.2,2015,1,24,12000,70,,,,,
68,11215,중곡동,94-31,"다온(가,나)",2015,6,47.98,2015,1,24,28000,0,,,,,
69,11215,중곡동,35-19,35-19,2015,3,31.48,2015,1,24,18000,0,,,,,
70,11215,중곡동,150-85,파인빌6차,2002,4,41.75,2015,1,24,15000,0,,,,,
71,11215,중곡동,632-6,리조빌,2003,4,17.92,2015,1,26,3000,30,,,,,
72,11215,중곡동,150-139,플러스홈,2014,4,44.53,2015,1,26,22000,0,,,,,
73,11215,중곡동,638-7,(638-7),2001,2,88.0,2015,1,26,26000,0,,,,,
74,11215,중곡동,169-90,브니엘빌라,2003,2,59.1,2015,1,28,10000,30,,,,,
75,11215,중곡동,128-29,(128-29),2002,2,34.56,2015,1,28,14000,0,,,,,
76,11215,중곡동,162-23,아트빌,2003,2,22.73,2015,1,28,2500,40,,,,,
77,11215,중곡동,94-31,"다온(가,나)",2015,6,53.2,2015,1,28,30000,0,,,,,
