지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11110,청운동,30-1,라임카운티,2004,3.0,151.8,2015,1,27,48000,0,,,,,
11110,청운동,52-6,신현빌리지,2001,4.0,67.46,2015,1,31,29000,0,,,,,
11110,신교동,55,(55-0),1996,3.0,57.6,2015,1,14,25000,0,,,,,
11110,신교동,17-14,(17-14),1998,4.0,47.04,2015,1,15,10000,35,,,,,
11110,신교동,17-19,청운빌라,1996,1.0,27.18,2015,1,17,2000,50,,,,,
11110,신교동,27-1,(27-1),1996,4.0,59.92,2015,1,20,23000,0,,,,,
11110,신교동,49,(49-0),1996,4.0,31.98,2015,1,20,10000,0,,,,,
11110,효자동,50-19,신라빌라,2003,3.0,65.1,2015,1,7,13000,60,,,,,
11110,통인동,149-4,대성빌라,1996,3.0,68.3,2015,1,24,21000,0,,,,,
11110,누상동,159-12,코디골드빌102동,2001,1.0,16.2,2015,1,3,6500,0,,,,,
11110,누상동,85-1,서촌예가,2003,2.0,67.52,2015,1,8,17500,0,,,,,
11110,누상동,33-1,진영하이빌,2002,3.0,78.69,2015,1,12,25000,40,,,,,
11110,누상동,166-163,두레리치빌,2008,2.0,69.03,2015,1,13,28500,0,,,,,
11110,누상동,11-3,신덕빌라,1998,4.0,59.27,2015,1,15,23000,0,,,,,
11110,누상동,60-1,(60-1),1996,1.0,54.78,2015,1,16,16000,0,,,,,
11110,누상동,29-8,해오름빌,2007,3.0,65.66,2015,1,17,28000,0,,,,,
11110,누상동,166-55,인왕산빌라,1999,,58.29,2015,1,20,18000,0,,,,,
11110,누상동,120-3,녹원A동,2000,3.0,59.85,2015,1,21,25000,0,,,,,
11110,누상동,141,래미안빌A동,2003,3.0,59.84,2015,1,21,22000,0,,,,,
11110,누상동,111,수정빌리지,2000,2.0,59.85,2015,1,21,18500,0,,,,,
11110,누상동,166-96,(166-96),1998,3.0,36.44,2015,1,31,5000,40,,,,,
11110,체부동,168-1,부원빌라,1993,1.0,52.92,2015,1,8,20000,0,,,,,
11110,사직동,311-15,반석빌라,1993,2.0,72.18,2015,1,2,5000,50,,,,,
11110,사직동,280-1,영원주택,2001,3.0,59.56,2015,1,17,4500,70,,,,,
11110,운니동,45-3,453stairs,2011,2.0,14.9,2015,1,23,1000,60,,,,,
11110,원서동,135-62,(135-62),1997,4.0,59.9,2015,1,7,22000,0,,,,,
11110,원서동,135-78,미래아트빌,1998,4.0,59.22,2015,1,7,10000,50,,,,,
11110,원서동,76-44,(76-44),1998,4.0,30.0,2015,1,9,9000,0,,,,,
11110,원서동,135-61,원서주택,2000,3.0,20.14,2015,1,25,3000,20,,,,,
11110,원서동,135-61,원서주택,2000,3.0,20.14,2015,1,25,3000,20,,,,,
11110,연지동,97,정연빌딩,2009,3.0,18.46,2015,1,10,1000,50,,,,,
11110,연건동,64,(64-0),1998,1.0,17.13,2015,1,3,2000,40,,,,,
11110,연건동,118-9,(118-9),1993,2.0,48.06,2015,1,7,9000,0,,,,,
11110,연건동,81-1,(81-1),1995,,44.4,2015,1,19,12500,0,,,,,
11110,연건동,88-1,(88-1),1995,3.0,27.17,2015,1,22,2500,35,,,,,
11110,연건동,60-5,(60-5),1997,4.0,27.3,2015,1,22,2000,43,,,,,
11110,연건동,103-1,(103-1),1994,4.0,35.11,2015,1,23,14500,0,,,,,
11110,연건동,106-8,(106-8),1996,4.0,31.69,2015,1,26,1000,50,,,,,
11110,연건동,44-11,(44-11),2005,4.0,13.18,2015,1,26,1000,35,,,,,
11110,연건동,48-1,서울빌,1996,1.0,37.8,2015,1,26,12000,10,,,,,
11110,동숭동,2-35,오크빌,2007,5.0,90.28,2015,1,3,5000,160,,,,,
11110,동숭동,201-12,예체뜰안대학로빌리지,2008,1.0,78.92,2015,1,5,24500,0,,,,,
11110,동숭동,4-11,(4-11),2006,2.0,47.4,2015,1,5,12000,0,,,,,
11110,동숭동,129-24,(129-24),1997,2.0,41.67,2015,1,6,11000,0,,,,,
11110,동숭동,5-9,동숭테크노타운,2004,5.0,51.03,2015,1,8,4000,77,,,,,
11110,동숭동,7-2,(7-2),1997,2.0,39.75,2015,1,12,1000,55,,,,,
11110,동숭동,7-16,(7-16),1996,1.0,48.63,2015,1,13,17000,0,,,,,
11110,동숭동,5-9,동숭테크노타운,2004,4.0,62.23,2015,1,16,6000,80,,,,,
11110,동숭동,130-7,(130-7),2014,1.0,14.67,2015,1,23,3000,40,,,,,
11110,동숭동,4-152,(4-152),1997,5.0,80.46,2015,1,26,15000,0,,,,,
11110,동숭동,15,(15-0),1999,4.0,32.61,2015,1,27,9000,0,,,,,
11110,동숭동,4-147,(4-147),1996,-1.0,44.92,2015,1,28,1000,40,,,,,
11110,동숭동,4-35,(4-35),2010,4.0,18.21,2015,1,30,3000,30,,,,,
11110,혜화동,9-9,(9-9),1997,2.0,48.68,2015,1,12,8000,45,,,,,
11110,혜화동,20-18,(20-18),2002,2.0,16.98,2015,1,19,2000,40,,,,,
11110,혜화동,20-40,GREENHOUSEB동,2010,4.0,18.15,2015,1,24,1000,60,,,,,
11110,혜화동,20-27,GREENHOUSED동,2010,3.0,57.38,2015,1,25,26000,0,,,,,
11110,혜화동,20-11,GREENHOUSEC동,2010,4.0,30.3,2015,1,31,2000,50,,,,,
11110,명륜1가,31-24,(31-24),2002,3.0,91.01,2015,1,5,30000,0,,,,,
11110,명륜1가,33-21,아이캐슬,2003,4.0,58.72,2015,1,8,25000,0,,,,,
11110,명륜1가,5-3,명륜하우제I,2002,2.0,31.42,2015,1,9,10000,0,,,,,
11110,명륜1가,7-27,(7-27),2014,2.0,18.02,2015,1,10,9000,0,,,,,
11110,명륜1가,36-20,OSKhouse,2011,4.0,23.71,2015,1,13,3000,80,,,,,
11110,명륜1가,7-27,(7-27),2014,1.0,18.02,2015,1,14,9000,0,,,,,
11110,명륜1가,5-61,M.Sville,2015,1.0,37.2,2015,1,17,1500,75,,,,,
11110,명륜1가,5-61,M.Sville,2015,3.0,54.38,2015,1,19,25000,0,,,,,
11110,명륜1가,78-33,칼라하우스B동,1997,2.0,35.31,2015,1,20,15000,0,,,,,
11110,명륜1가,69,(69-0),2014,2.0,19.98,2015,1,20,4000,30,,,,,
11110,명륜1가,5-5,태영빌라,2000,3.0,34.79,2015,1,22,6000,30,,,,,
11110,명륜1가,23-4,(23-4),1979,2.0,57.19,2015,1,23,15000,0,,,,,
11110,명륜1가,33-8,HKHOUSE,2014,2.0,29.22,2015,1,23,23000,0,,,,,
11110,명륜1가,1-39,(1-39),1998,1.0,41.64,2015,1,24,9000,0,,,,,
11110,명륜1가,33-8,HKHOUSE,2014,4.0,40.82,2015,1,24,30000,0,,,,,
11110,명륜1가,33-8,HKHOUSE,2014,2.0,48.86,2015,1,24,30000,0,,,,,
11110,명륜1가,45-7,아마레스빌,2002,1.0,72.33,2015,1,24,29900,0,,,,,
11110,명륜1가,43,명륜동나산빌라,1994,3.0,88.88,2015,1,26,36000,0,,,,,
11110,명륜1가,69,(69-0),2014,1.0,14.25,2015,1,28,1000,50,,,,,
11110,명륜1가,5-103,릴리스위트,1996,2.0,20.18,2015,1,30,3000,0,,,,,
11110,명륜1가,33-8,HKHOUSE,2014,3.0,29.22,2015,1,30,25000,0,,,,,
11110,명륜2가,94-4,수정빌,2007,3.0,71.19,2015,1,13,2000,50,,,,,
11110,명륜2가,65,(65-0),2008,3.0,18.81,2015,1,17,1000,85,,,,,
11110,명륜2가,43-3,파인하우스,2009,3.0,58.6,2015,1,20,4000,115,,,,,
11110,명륜2가,86-8,(86-8),1997,2.0,31.35,2015,1,24,1000,65,,,,,
11110,명륜2가,65,(65-0),2008,3.0,59.73,2015,1,24,1000,70,,,,,
11110,명륜2가,94-4,수정빌,2007,2.0,53.85,2015,1,25,6000,50,,,,,
11110,명륜2가,43-6,진덕재,2012,5.0,15.4,2015,1,28,1000,65,,,,,
11110,명륜2가,65,(65-0),2008,2.0,59.95,2015,1,30,1000,63,,,,,
11110,명륜4가,188-12,서울시티빌,1998,6.0,55.5,2015,1,20,5000,60,,,,,
11110,명륜3가,1-810,(1-810),1995,4.0,48.39,2015,1,7,10000,10,,,,,
11110,명륜3가,1-810,(1-810),1995,2.0,48.39,2015,1,13,8000,0,,,,,
11110,명륜3가,1-265,(1-265),2005,3.0,20.56,2015,1,14,5000,10,,,,,
11110,명륜3가,72-4,현숙주택,1994,1.0,35.01,2015,1,15,4000,65,,,,,
11110,명륜3가,1-859,(1-859),1994,1.0,25.29,2015,1,16,5500,0,,,,,
11110,명륜3가,1-819,(1-819),1998,-1.0,54.96,2015,1,20,7000,0,,,,,
11110,명륜3가,1-810,(1-810),1995,1.0,48.39,2015,1,22,5000,40,,,,,
11110,명륜3가,1-53,(1-53),1997,3.0,47.58,2015,1,24,4000,40,,,,,
11110,명륜3가,1-811,송강원룸,1999,1.0,33.66,2015,1,29,1000,40,,,,,
11110,명륜3가,1-822,(1-822),2008,2.0,53.93,2015,1,30,15000,20,,,,,
11110,창신동,640-247,(640-247),1998,1.0,34.62,2015,1,14,6000,0,,,,,
11110,창신동,226-39,(226-39),1994,2.0,23.04,2015,1,26,2000,30,,,,,
11110,창신동,138-50,도시빌라A,1993,,51.72,2015,1,27,9000,0,,,,,
11110,창신동,138-50,도시빌라A,1993,-1.0,51.75,2015,1,27,9000,0,,,,,
11110,창신동,640-52,청목리츠빌,2002,2.0,53.98,2015,1,30,12000,0,,,,,
11110,숭인동,178-94,그레이스탑,2013,6.0,13.5,2015,1,6,7000,0,,,,,
11110,숭인동,663,(663-0),2003,3.0,74.1,2015,1,6,7000,60,,,,,
11110,숭인동,716-3,아이캐슬,2006,3.0,37.82,2015,1,6,10000,0,,,,,
11110,숭인동,178-94,그레이스탑,2013,6.0,14.04,2015,1,12,4000,30,,,,,
11110,숭인동,178-94,그레이스탑,2013,6.0,13.5,2015,1,12,4000,30,,,,,
11110,숭인동,586,월드메카,2006,4.0,76.73,2015,1,14,7000,80,,,,,
11110,숭인동,178-83,(178-83),2003,3.0,36.65,2015,1,16,1000,45,,,,,
11110,숭인동,178-94,그레이스탑,2013,7.0,14.04,2015,1,16,5000,0,,,,,
11110,숭인동,814-15,신성주택,2003,1.0,18.91,2015,1,19,6000,0,,,,,
11110,숭인동,577,정원파크빌라,1990,2.0,57.33,2015,1,20,16000,0,,,,,
11110,숭인동,181-68,드림타운(181-68),2005,3.0,32.25,2015,1,25,8000,0,,,,,
11110,숭인동,296-20,(296-20),2009,3.0,21.12,2015,1,26,5000,25,,,,,
11110,숭인동,500,한우빌라트(500-0),2005,3.0,21.85,2015,1,30,7000,0,,,,,
11110,행촌동,210-366,(210-366),2002,3.0,50.0,2015,1,8,12000,0,,,,,
11110,행촌동,171-94,(171-94),2000,2.0,41.49,2015,1,10,7500,0,,,,,
11110,행촌동,210-48,(210-48),1996,2.0,56.52,2015,1,12,1500,50,,,,,
11110,행촌동,1-4,소망빌라,1999,3.0,57.81,2015,1,14,8500,30,,,,,
11110,행촌동,171-120,성우빌라B동,2000,4.0,51.88,2015,1,17,12000,0,,,,,
11110,행촌동,210-200,(210-200),1997,-1.0,33.79,2015,1,19,6000,0,,,,,
11110,행촌동,210-332,(210-332),2004,2.0,45.96,2015,1,20,9500,0,,,,,
11110,행촌동,1-90,한마음주택,2003,4.0,46.23,2015,1,22,6000,40,,,,,
11110,행촌동,171-5,송현빌라6차,2003,2.0,57.5,2015,1,24,13000,0,,,,,
11110,행촌동,1-124,추계2,2001,3.0,35.31,2015,1,27,8000,30,,,,,
11110,행촌동,1-46,홍파빌라,1999,4.0,51.1,2015,1,27,15000,0,,,,,
11110,행촌동,210-415,(210-415),1995,1.0,28.21,2015,1,29,1000,35,,,,,
11110,구기동,110-6,동진스위트빌라(1동),1991,1.0,164.79,2015,1,3,39000,0,,,,,
11110,구기동,136-2,효창마운틴빌,2005,1.0,84.22,2015,1,8,35000,0,,,,,
11110,구기동,238-1,"삼진파크맨션(가,나동)",1984,1.0,141.09,2015,1,8,400,110,,,,,
