지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11140,남창동,205-79,남창동남선빌딩,2004,5.0,73.79,2015,1,29,10000,70,,,,,
11140,묵정동,26-3,노블레스빌,2014,5.0,14.66,2015,1,3,3000,45,,,,,
11140,묵정동,26-3,노블레스빌,2014,3.0,14.66,2015,1,7,3000,45,,,,,
11140,묵정동,22-22,(22-22),2013,4.0,13.12,2015,1,7,1000,45,,,,,
11140,묵정동,26-3,노블레스빌,2014,2.0,14.66,2015,1,16,2000,55,,,,,
11140,장충동1가,44-6,(44-6),1990,2.0,54.72,2015,1,9,18500,0,,,,,
11140,장충동1가,49-3,(49-3),2012,2.0,12.3,2015,1,10,8000,0,,,,,
11140,장충동1가,44-16,아시안프라이즈,2013,3.0,30.3,2015,1,12,12000,0,,,,,
11140,장충동1가,44-3,장충동아이빌,2014,3.0,29.7,2015,1,16,10000,40,,,,,
11140,장충동1가,38-96,(38-96),2013,4.0,15.1,2015,1,19,1000,55,,,,,
11140,장충동1가,44-3,장충동아이빌,2014,1.0,29.97,2015,1,24,1000,95,,,,,
11140,장충동2가,193-87,거명빌라,1999,2.0,32.02,2015,1,2,2000,50,,,,,
11140,장충동2가,193-122,(193-122),2001,4.0,18.29,2015,1,2,6000,0,,,,,
11140,장충동2가,193-159,주영빌라,2001,4.0,42.28,2015,1,3,3000,30,,,,,
11140,장충동2가,193-483,동남빌라,2001,3.0,16.8,2015,1,3,500,35,,,,,
11140,장충동2가,193-20,(193-20),2002,3.0,23.63,2015,1,4,3000,40,,,,,
11140,장충동2가,193-72,신안빌라,2006,5.0,8.4,2015,1,7,1000,27,,,,,
11140,장충동2가,193-134,정민빌라,2001,4.0,21.48,2015,1,8,1000,37,,,,,
11140,장충동2가,193-179,(193-179),1999,4.0,48.59,2015,1,8,500,43,,,,,
11140,장충동2가,193-119,한성빌라,1997,2.0,52.24,2015,1,10,5000,40,,,,,
11140,장충동2가,193-176,(193-176),1999,4.0,21.68,2015,1,10,7000,0,,,,,
11140,장충동2가,193-141,동희빌라,2000,4.0,20.18,2015,1,10,8000,0,,,,,
11140,장충동2가,193-250,그린타운,2001,4.0,20.34,2015,1,11,2000,40,,,,,
11140,장충동2가,193-208,다운타운,2001,5.0,18.94,2015,1,12,3000,17,,,,,
11140,장충동2가,193-144,경훈빌라,2000,3.0,16.02,2015,1,13,5600,0,,,,,
11140,장충동2가,193-208,다운타운,2001,1.0,18.32,2015,1,13,5000,0,,,,,
11140,장충동2가,193-92,인성빌라,1998,2.0,28.85,2015,1,13,2500,40,,,,,
11140,장충동2가,193-122,(193-122),2001,2.0,18.29,2015,1,13,6000,0,,,,,
11140,장충동2가,193-477,퍼스틱스튜디오,1999,2.0,22.88,2015,1,14,5000,0,,,,,
11140,장충동2가,193-20,(193-20),2002,3.0,25.82,2015,1,15,1000,60,,,,,
11140,장충동2가,193-165,목멱빌,2001,1.0,19.99,2015,1,17,4000,30,,,,,
11140,장충동2가,193-466,드림타운,2001,1.0,20.8,2015,1,18,1000,50,,,,,
11140,장충동2가,193-146,부자빌라,2000,2.0,16.2,2015,1,18,1000,47,,,,,
11140,장충동2가,193-173,(193-173),2000,3.0,20.52,2015,1,24,5000,0,,,,,
11140,장충동2가,193-167,VIP원룸,2000,2.0,21.6,2015,1,26,2000,55,,,,,
11140,장충동2가,193-134,정민빌라,2001,1.0,20.34,2015,1,26,1000,37,,,,,
11140,장충동2가,193-121,주일난빌,2003,3.0,19.43,2015,1,26,1000,33,,,,,
11140,장충동2가,193-155,하림빌라(193-155),1999,3.0,20.44,2015,1,26,1000,50,,,,,
11140,장충동2가,193-158,다운빌라,2000,1.0,46.56,2015,1,26,10000,0,,,,,
11140,장충동2가,193-482,빌라미네르바,2001,1.0,19.36,2015,1,28,2000,40,,,,,
11140,장충동2가,193-482,빌라미네르바,2001,1.0,19.36,2015,1,30,2000,40,,,,,
11140,장충동2가,193-479,골든빌,2000,1.0,18.86,2015,1,30,3000,40,,,,,
11140,장충동2가,193-159,주영빌라,2001,1.0,20.25,2015,1,31,2000,30,,,,,
11140,광희동2가,217-2,(217-2),2015,3.0,58.91,2015,1,17,28000,0,,,,,
11140,광희동2가,303-43,힐사이드레지던스,2011,4.0,18.66,2015,1,23,12000,0,,,,,
11140,광희동2가,303-43,힐사이드레지던스,2011,4.0,17.89,2015,1,23,12000,0,,,,,
11140,광희동2가,217-5,(217-5),2015,3.0,43.64,2015,1,29,16000,0,,,,,
11140,쌍림동,179,(179),2008,2.0,54.32,2015,1,24,20000,0,,,,,
11140,신당동,349-216,파인힐스(349-216),2012,2.0,14.24,2015,1,2,5500,20,,,,,
11140,신당동,349-207,헤리티지,2013,3.0,47.86,2015,1,2,4000,100,,,,,
11140,신당동,432-410,장충아트빌라,2001,1.0,41.27,2015,1,5,7700,0,,,,,
11140,신당동,304-244,광일빌라,2005,3.0,58.08,2015,1,5,19000,0,,,,,
11140,신당동,333-46,(333-46),2014,3.0,26.235,2015,1,5,19000,0,,,,,
11140,신당동,377-39,청운빌라8차,1994,1.0,46.05,2015,1,5,15000,0,,,,,
11140,신당동,340-56,태양맨션,2011,3.0,25.27,2015,1,6,4000,50,,,,,
11140,신당동,304-263,신당코지하우스,2013,1.0,17.09,2015,1,6,2000,50,,,,,
11140,신당동,432-1935,남산빌라,2003,-1.0,58.69,2015,1,7,12000,0,,,,,
11140,신당동,423-1,그린피아빌,2008,2.0,51.3,2015,1,8,25000,0,,,,,
11140,신당동,349-216,파인힐스(349-216),2012,3.0,31.16,2015,1,8,5000,55,,,,,
11140,신당동,432-1231,샬롬빌라,2000,2.0,40.83,2015,1,10,9000,0,,,,,
11140,신당동,340-24,"신당로얄빌라가,나동",1989,2.0,84.83,2015,1,10,20000,0,,,,,
11140,신당동,349-138,(432-138),2012,2.0,29.69,2015,1,10,4500,70,,,,,
11140,신당동,346-453,글로리안빌,2001,4.0,74.0,2015,1,12,26000,0,,,,,
11140,신당동,304-413,민하우스,2015,3.0,29.68,2015,1,12,8000,0,,,,,
11140,신당동,340-11,한스빌,2001,4.0,35.08,2015,1,12,13000,0,,,,,
11140,신당동,432-353,정우빌라A동,2003,1.0,54.78,2015,1,12,7000,0,,,,,
