지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11260,면목동,109-78,플로렌스빌,2013,4.0,28.98,2015,1,2,14000,0,,,,,
11260,면목동,137-5,삼성트윈빌,2013,5.0,41.72,2015,1,3,6000,55,,,,,
11260,면목동,42-49,소파빌라트,2009,3.0,60.84,2015,1,3,16000,0,,,,,
11260,면목동,142-12,정일빌라,2002,1.0,64.18,2015,1,5,14000,0,,,,,
11260,면목동,190-14,(190-14),1994,1.0,57.93,2015,1,5,8000,0,,,,,
11260,면목동,142-44,조호아트빌,2003,2.0,50.73,2015,1,6,15000,0,,,,,
11260,면목동,1163-3,이오하우스,2012,3.0,15.3,2015,1,6,2000,30,,,,,
11260,면목동,1173,1173,1993,1.0,62.26,2015,1,6,1000,65,,,,,
11260,면목동,137-5,삼성트윈빌,2013,6.0,44.72,2015,1,6,6000,55,,,,,
11260,면목동,63-51,푸르메빌,2011,2.0,29.46,2015,1,6,2000,50,,,,,
11260,면목동,136-89,어울빌라,1994,2.0,53.55,2015,1,6,15000,0,,,,,
11260,면목동,1342-8,용마산타워,2012,3.0,33.91,2015,1,7,17000,0,,,,,
11260,면목동,198-26,도원아트빌,2002,4.0,69.24,2015,1,8,9000,0,,,,,
11260,면목동,507-3,"동흥파크빌라A,B",1989,2.0,38.16,2015,1,8,7500,0,,,,,
11260,면목동,181-24,트윈스빌(A동),2009,3.0,36.68,2015,1,9,9000,10,,,,,
11260,면목동,138-60,정호맨션,1991,,84.63,2015,1,9,1000,50,,,,,
11260,면목동,1342-8,용마산타워,2012,6.0,33.91,2015,1,10,17000,0,,,,,
11260,면목동,185-69,라온홈타운,2012,2.0,55.12,2015,1,10,16000,10,,,,,
11260,면목동,158-36,로즈힐하우스,2014,5.0,14.85,2015,1,10,6000,30,,,,,
11260,면목동,1293,공간골든빌,2001,3.0,59.63,2015,1,10,16000,0,,,,,
11260,면목동,137-56,현대(아트)빌라(B),1992,4.0,45.11,2015,1,10,12000,0,,,,,
11260,면목동,393-72,삼우빌라,2001,5.0,64.615,2015,1,11,18000,0,,,,,
11260,면목동,121-9,씨티플러스,2012,3.0,12.09,2015,1,12,1000,45,,,,,
11260,면목동,127-1,진한아트빌,2002,2.0,54.84,2015,1,13,17000,0,,,,,
11260,면목동,1174-1,월드빌(에이동)(비동),2001,3.0,56.67,2015,1,13,5000,50,,,,,
11260,면목동,648-12,수성빌라,2003,3.0,33.76,2015,1,13,4000,50,,,,,
11260,면목동,185-144,동일빌라,2008,3.0,42.65,2015,1,14,13000,0,,,,,
11260,면목동,141-60,현성빌1차,2007,2.0,37.44,2015,1,15,14000,0,,,,,
11260,면목동,175-75,JOY타운,2011,5.0,67.75,2015,1,15,12000,0,,,,,
11260,면목동,145-19,덕산맨션,2002,-1.0,36.34,2015,1,15,7000,0,,,,,
11260,면목동,171-57,두산빌라,2003,1.0,72.01,2015,1,15,8500,20,,,,,
11260,면목동,389-21,테미하우스2차103동,2014,3.0,35.06,2015,1,16,21000,0,,,,,
11260,면목동,365-29,카르페디엠,2013,3.0,19.0,2015,1,16,6000,0,,,,,
11260,면목동,580-22,성진빌라,2008,3.0,47.21,2015,1,18,17500,0,,,,,
11260,면목동,550-32,"브라운하우스(A동,B동)",2012,6.0,42.52,2015,1,18,15000,0,,,,,
11260,면목동,181-24,트윈스빌(A동),2009,3.0,65.56,2015,1,19,16000,0,,,,,
11260,면목동,121-9,씨티플러스,2012,3.0,12.09,2015,1,19,500,40,,,,,
11260,면목동,341-9,드림하우스(341-9),2014,6.0,37.12,2015,1,20,16000,0,,,,,
11260,면목동,115-20,강호빌라,1983,3.0,73.56,2015,1,20,2000,55,,,,,
11260,면목동,1375,(1375-0),1980,1.0,86.58,2015,1,21,6000,0,,,,,
11260,면목동,126-47,(126-47),2004,5.0,46.0,2015,1,21,5000,40,,,,,
11260,면목동,180-86,예성그린빌,2011,7.0,49.71,2015,1,22,5000,50,,,,,
11260,면목동,129-34,청백빌라(A),2002,1.0,42.59,2015,1,22,10500,0,,,,,
11260,면목동,1163-3,이오하우스,2012,3.0,15.3,2015,1,23,1000,40,,,,,
11260,면목동,377-2,SD찬누리채,2011,3.0,41.39,2015,1,23,10000,40,,,,,
11260,면목동,533-18,삼정드림빌,2014,3.0,38.3,2015,1,23,15000,0,,,,,
11260,면목동,454-3,킴스빌,2012,4.0,35.0,2015,1,24,17000,0,,,,,
