,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11440,아현동,701-5,현대파크A,1992,1,60.96,2015,1,3,14500,0,,,,,
1,11440,아현동,680-7,(680-7),1975,1,49.19,2015,1,6,300,40,,,,,
2,11440,아현동,693-3,(693-3),1985,3,42.2,2015,1,8,11000,0,,,,,
3,11440,아현동,702,(702),1986,,28.83,2015,1,9,5000,0,,,,,
4,11440,아현동,703-12,(703-12),1984,1,59.85,2015,1,14,7000,0,,,,,
5,11440,아현동,706-2,(706-2),1985,3,41.76,2015,1,15,7500,0,,,,,
6,11440,아현동,716-5,동현,1986,1,38.3,2015,1,16,6000,20,,,,,
7,11440,아현동,656-17,(656-17),1976,1,59.64,2015,1,19,1000,45,,,,,
8,11440,아현동,660-1,(660-1),1981,2,53.12,2015,1,20,5000,0,,,,,
9,11440,아현동,720-6,(720-6),1988,1,36.59,2015,1,20,1000,40,,,,,
10,11440,아현동,750-4,(구392-88),1982,2,32.99,2015,1,21,8000,0,,,,,
11,11440,아현동,762-5,아현빌라,2014,1,29.91,2015,1,26,16000,0,,,,,
12,11440,아현동,762-5,아현빌라,2014,1,23.1,2015,1,30,13000,0,,,,,
13,11440,아현동,762-3,구구획정리227-3(구85-709),1985,1,42.84,2015,1,31,12000,0,,,,,
14,11440,아현동,679-6,(679-6),1977,,53.48,2015,1,31,7000,0,,,,,
15,11440,공덕동,232-9,양문빌딩,2002,2,27.3,2015,1,8,15000,0,,,,,
16,11440,공덕동,110-62,나루빌,2002,4,23.18,2015,1,8,3000,35,,,,,
17,11440,공덕동,110-61,공덕하이빌,2006,4,58.04,2015,1,10,21000,0,,,,,
18,11440,공덕동,111-25,두영파크(파크힐),2012,1,13.92,2015,1,14,500,45,,,,,
19,11440,공덕동,105-166,(105-166)세종파크빌리지,2006,4,60.24,2015,1,22,18500,0,,,,,
20,11440,공덕동,105-193,바이오빌,2002,2,63.12,2015,1,23,22000,0,,,,,
21,11440,공덕동,105-191,세종파크빌리지,2006,2,63.3,2015,1,24,23000,0,,,,,
22,11440,공덕동,105-86,뉴공덕빌리지(105-86),2006,3,55.86,2015,1,31,23000,0,,,,,
23,11440,신공덕동,6-3,신덕맨션,1981,3,76.97,2015,1,2,11000,0,,,,,
24,11440,신공덕동,2-14,(2-14),1994,-1,29.64,2015,1,15,7000,0,,,,,
25,11440,도화동,1,그린빌,2012,4,13.2,2015,1,10,1000,50,,,,,
26,11440,도화동,347-40,우성빌리지,2002,3,28.62,2015,1,15,11500,0,,,,,
27,11440,도화동,215,(215-0),2002,4,45.67,2015,1,26,1500,70,,,,,
28,11440,용강동,39-1,(39-1),1981,2,79.34,2015,1,6,22000,0,,,,,
29,11440,용강동,512,인우빌딩,2004,2,71.12,2015,1,10,25000,0,,,,,
30,11440,용강동,118-1,갑도그림빌라A,1994,3,56.03,2015,1,10,16500,0,,,,,
31,11440,용강동,494-35,용강리버빌,2011,2,47.05,2015,1,13,2000,90,,,,,
32,11440,용강동,494-25,비쥬빌,2012,2,23.8,2015,1,13,14000,0,,,,,
33,11440,용강동,494-84,(494-84),2010,4,33.04,2015,1,15,13000,0,,,,,
34,11440,용강동,39-1,(39-1),1981,1,102.01,2015,1,16,12000,0,,,,,
35,11440,용강동,491-1,에코타운,2014,4,47.64,2015,1,19,23000,0,,,,,
36,11440,용강동,494-111,(494-111),2002,1,21.05,2015,1,29,8000,0,,,,,
37,11440,마포동,340-1,청림빌라,1995,3,23.76,2015,1,2,9000,0,,,,,
38,11440,마포동,292-86,마포빌리지,2008,3,68.58,2015,1,3,11000,25,,,,,
39,11440,마포동,292-67,더힐하우스,2012,2,16.25,2015,1,6,8000,0,,,,,
40,11440,마포동,292-86,마포빌리지,2008,4,51.62,2015,1,14,12000,0,,,,,
41,11440,마포동,340-1,청림빌라,1995,4,36.72,2015,1,25,2000,40,,,,,
