,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11350,월계동,376-62,하버드빌리지,2011,2,13.23,2015,1,2,6000,0,,,,,
1,11350,월계동,429-5,(429-5),2014,2,12.0,2015,1,2,1000,45,,,,,
2,11350,월계동,411-15,제이앤제이하우스,2012,4,11.9,2015,1,2,3000,34,,,,,
3,11350,월계동,402-29,청마하우스,2014,4,22.08,2015,1,3,1000,52,,,,,
4,11350,월계동,534-259,동산빌라B,1987,1,41.1,2015,1,3,6500,0,,,,,
5,11350,월계동,479-18,연안주택,2012,2,13.67,2015,1,3,6500,0,,,,,
6,11350,월계동,402-21,준타운,2013,5,15.96,2015,1,3,1000,54,,,,,
7,11350,월계동,429-5,(429-5),2014,3,12.09,2015,1,4,1000,45,,,,,
8,11350,월계동,411-15,제이앤제이하우스,2012,3,10.44,2015,1,4,1000,49,,,,,
9,11350,월계동,429-31,(429-31),2013,3,12.15,2015,1,4,3000,34,,,,,
10,11350,월계동,429-31,(429-31),2013,5,12.05,2015,1,5,6000,0,,,,,
11,11350,월계동,479-18,연안주택,2012,4,12.09,2015,1,5,5500,0,,,,,
12,11350,월계동,475-23,두나빌라B동,1993,2,49.54,2015,1,6,2000,50,,,,,
13,11350,월계동,479-18,연안주택,2012,4,15.21,2015,1,7,6000,0,,,,,
14,11350,월계동,411-15,제이앤제이하우스,2012,3,12.25,2015,1,8,3000,34,,,,,
15,11350,월계동,376-62,하버드빌리지,2011,4,16.37,2015,1,8,6000,0,,,,,
16,11350,월계동,496-52,(496-52),2012,3,13.5,2015,1,9,5000,0,,,,,
17,11350,월계동,479-18,연안주택,2012,4,12.06,2015,1,10,3000,0,,,,,
18,11350,월계동,447-3,(447-3),1986,2,44.99,2015,1,10,7500,0,,,,,
19,11350,월계동,447-3,(447-3),1986,2,44.99,2015,1,10,3750,0,,,,,
20,11350,월계동,442-2,퍼스티안,2013,3,12.15,2015,1,12,1000,49,,,,,
21,11350,월계동,392-43,해인베스트빌(392-43),2008,4,32.16,2015,1,13,2000,50,,,,,
22,11350,월계동,411-15,제이앤제이하우스,2012,5,12.25,2015,1,13,2000,44,,,,,
23,11350,월계동,376-62,하버드빌리지,2011,4,12.64,2015,1,13,6500,0,,,,,
24,11350,월계동,382-25,382-25,2009,4,30.41,2015,1,14,1000,50,,,,,
25,11350,월계동,402-29,청마하우스,2014,2,15.75,2015,1,14,1000,49,,,,,
26,11350,월계동,288-3,현대빌라,1995,4,55.5,2015,1,14,9000,0,,,,,
27,11350,월계동,442-2,퍼스티안,2013,5,14.37,2015,1,15,5500,0,,,,,
28,11350,월계동,473-1,(473-1),2011,3,16.44,2015,1,16,2000,40,,,,,
29,11350,월계동,411-15,제이앤제이하우스,2012,4,14.2,2015,1,17,3000,39,,,,,
30,11350,월계동,429-7,해인베스트빌(429-7),2007,2,51.66,2015,1,17,15000,0,,,,,
31,11350,월계동,402-21,준타운,2013,3,14.32,2015,1,18,2000,40,,,,,
32,11350,월계동,442-2,퍼스티안,2013,5,12.74,2015,1,18,2500,39,,,,,
33,11350,월계동,914-5,연세하이빌,2010,3,43.58,2015,1,19,1000,60,,,,,
34,11350,월계동,411-37,범하하이츠빌라,1996,2,45.7,2015,1,19,8500,10,,,,,
35,11350,월계동,402-29,청마하우스,2014,4,15.59,2015,1,20,6000,0,,,,,
36,11350,월계동,442-2,퍼스티안,2013,5,13.32,2015,1,20,5500,0,,,,,
37,11350,월계동,402-52,태광A동(402-52),1989,2,54.74,2015,1,21,12000,0,,,,,
38,11350,월계동,58-8,태광2동,1988,,34.11,2015,1,21,3500,0,,,,,
39,11350,월계동,58-8,태광2동,1988,1,34.11,2015,1,21,3500,0,,,,,
40,11350,월계동,402-29,청마하우스,2014,4,14.16,2015,1,22,6500,0,,,,,
41,11350,월계동,442-2,퍼스티안,2013,3,14.64,2015,1,23,6000,0,,,,,
42,11350,월계동,402-55,태광B동(402-55),1989,1,54.6,2015,1,23,13000,0,,,,,
43,11350,월계동,411-3,제이타운,2012,4,12.33,2015,1,24,3000,34,,,,,
44,11350,월계동,411-37,범하하이츠빌라,1996,1,48.71,2015,1,24,3000,50,,,,,
45,11350,월계동,400-1,MAIBAUM,2011,2,12.09,2015,1,25,1000,45,,,,,
46,11350,월계동,411-17,준파크빌2차(호분할),2009,2,8.35,2015,1,25,2000,40,,,,,
47,11350,월계동,496-3,성진빌딩,2004,4,47.44,2015,1,25,6000,28,,,,,
48,11350,월계동,442-2,퍼스티안,2013,2,13.32,2015,1,25,1000,45,,,,,
49,11350,월계동,402-29,청마하우스,2014,4,14.16,2015,1,26,3000,0,,,,,
50,11350,월계동,270-33,대성파크빌,2014,4,53.93,2015,1,28,5000,50,,,,,
51,11350,월계동,475-23,두나빌라B동,1993,3,42.83,2015,1,29,10000,0,,,,,
52,11350,월계동,442-2,퍼스티안,2013,5,12.15,2015,1,29,2000,39,,,,,
53,11350,월계동,376-87,휴앤미,2008,1,50.22,2015,1,31,13000,0,,,,,
54,11350,월계동,442-2,퍼스티안,2013,5,12.15,2015,1,31,5500,0,,,,,
55,11350,월계동,402-21,준타운,2013,2,17.68,2015,1,31,2000,44,,,,,
56,11350,공릉동,559-26,파크빌(559-26),2011,4,12.0,2015,1,2,5300,0,,,,,
57,11350,공릉동,350-22,청마타운A동,2014,3,28.75,2015,1,2,6000,0,,,,,
58,11350,공릉동,350-22,청마타운A동,2014,2,28.75,2015,1,3,6000,0,,,,,
59,11350,공릉동,644-40,팰리스가,2014,3,27.67,2015,1,3,8000,30,,,,,
60,11350,공릉동,350-22,청마타운A동,2014,3,18.36,2015,1,3,5500,0,,,,,
61,11350,공릉동,350-22,청마타운A동,2014,4,18.36,2015,1,3,1000,40,,,,,
62,11350,공릉동,408-31,공릉쉐르빌,2013,3,12.11,2015,1,3,2000,30,,,,,
63,11350,공릉동,604-25,경희그린빌A동,2003,2,64.57,2015,1,4,14500,0,,,,,
64,11350,공릉동,561-8,현대빌라트,2002,4,54.17,2015,1,4,14500,0,,,,,
65,11350,공릉동,441-86,441-86,2014,4,20.0,2015,1,5,1000,45,,,,,
66,11350,공릉동,350-22,청마타운A동,2014,3,18.36,2015,1,6,1000,40,,,,,
67,11350,공릉동,509-10,아이파크,2013,2,12.07,2015,1,6,1000,36,,,,,
68,11350,공릉동,230,현대연립주택,1984,1,116.96,2015,1,7,6000,120,,,,,
69,11350,공릉동,350-22,청마타운A동,2014,2,18.36,2015,1,7,3000,20,,,,,
70,11350,공릉동,350-22,청마타운A동,2014,2,28.75,2015,1,7,6500,0,,,,,
71,11350,공릉동,240-303,조은빌리지,2002,3,59.4,2015,1,8,15000,0,,,,,
72,11350,공릉동,350-42,청마타운B동,2014,2,29.56,2015,1,8,1000,40,,,,,
73,11350,공릉동,350-42,청마타운B동,2014,3,29.56,2015,1,8,5500,0,,,,,
74,11350,공릉동,366-12,만선연립주택,1982,3,61.12,2015,1,10,9000,0,,,,,
75,11350,공릉동,503-1,스톤게이트,2012,4,12.09,2015,1,10,3000,25,,,,,
76,11350,공릉동,238-20,예림하이빌,2009,2,11.12,2015,1,10,7000,0,,,,,
77,11350,공릉동,506-33,진성빌,2013,3,13.65,2015,1,10,1000,40,,,,,
78,11350,공릉동,441-70,해오름.H,2013,2,13.46,2015,1,10,2000,35,,,,,
79,11350,공릉동,401-6,해오름.F,2013,5,12.09,2015,1,11,2000,25,,,,,
80,11350,공릉동,513-35,명당드림타워,2013,2,15.87,2015,1,11,500,42,,,,,
81,11350,공릉동,503-40,골든HOUSE,2011,4,12.5,2015,1,13,1000,43,,,,,
82,11350,공릉동,503-22,(503-22),2003,3,133.68,2015,1,14,9000,0,,,,,
83,11350,공릉동,503-41,마인드밸리,2005,2,72.25,2015,1,14,500,40,,,,,
84,11350,공릉동,670-12,성욱파크,2012,7,14.34,2015,1,15,500,50,,,,,
85,11350,공릉동,350-22,청마타운A동,2014,3,19.23,2015,1,15,4000,20,,,,,
86,11350,공릉동,350-22,청마타운A동,2014,2,18.36,2015,1,15,1000,40,,,,,
87,11350,공릉동,589-7,(589-7),1997,-1,32.155,2015,1,15,5000,0,,,,,
88,11350,공릉동,559-27,용호캐슬,2011,2,12.09,2015,1,15,1000,35,,,,,
89,11350,공릉동,230-14,경춘빌라,1987,1,31.39,2015,1,15,8000,0,,,,,
90,11350,공릉동,230-14,경춘빌라,1987,1,38.99,2015,1,16,9000,0,,,,,
91,11350,공릉동,585-3,다온,2014,4,22.4,2015,1,16,500,40,,,,,
92,11350,공릉동,401-6,해오름.F,2013,3,12.47,2015,1,17,2000,30,,,,,
93,11350,공릉동,556-10,시티하우스,2012,3,16.92,2015,1,17,2000,30,,,,,
94,11350,공릉동,503-32,네모하우스(503-32),2013,3,12.92,2015,1,17,5000,0,,,,,
95,11350,공릉동,350-42,청마타운B동,2014,3,29.56,2015,1,17,2000,35,,,,,
96,11350,공릉동,350-22,청마타운A동,2014,4,19.23,2015,1,17,2000,35,,,,,
97,11350,공릉동,517-58,샘하우스,2011,3,12.22,2015,1,17,2500,25,,,,,
98,11350,공릉동,503-32,네모하우스(503-32),2013,3,12.88,2015,1,17,5000,0,,,,,
99,11350,공릉동,506-29,(506-29),2011,5,13.38,2015,1,17,5000,10,,,,,
100,11350,공릉동,350-22,청마타운A동,2014,4,28.75,2015,1,17,2500,20,,,,,
101,11350,공릉동,350-22,청마타운A동,2014,3,28.75,2015,1,17,3000,20,,,,,
102,11350,공릉동,350-42,청마타운B동,2014,4,25.85,2015,1,17,2000,30,,,,,
103,11350,공릉동,350-42,청마타운B동,2014,3,29.16,2015,1,18,6500,0,,,,,
104,11350,공릉동,350-42,청마타운B동,2014,2,29.56,2015,1,18,6000,0,,,,,
105,11350,공릉동,441-86,441-86,2014,4,20.0,2015,1,18,1000,45,,,,,
106,11350,공릉동,350-22,청마타운A동,2014,2,28.75,2015,1,18,2000,30,,,,,
107,11350,공릉동,503-32,네모하우스(503-32),2013,2,12.92,2015,1,18,5000,0,,,,,
108,11350,공릉동,366-3,주인맨션(366-3),2002,2,54.3,2015,1,19,15000,0,,,,,
109,11350,공릉동,224-11,동경맨션타운A동,1994,1,38.59,2015,1,19,7500,12,,,,,
110,11350,공릉동,350-42,청마타운B동,2014,2,29.16,2015,1,19,6500,0,,,,,
111,11350,공릉동,503-1,스톤게이트,2012,4,12.05,2015,1,19,3000,25,,,,,
112,11350,공릉동,644-46,현대캐슬,2013,3,12.09,2015,1,19,400,40,,,,,
113,11350,공릉동,350-22,청마타운A동,2014,2,19.23,2015,1,19,2500,30,,,,,
114,11350,공릉동,506-29,(506-29),2011,4,13.05,2015,1,19,4000,20,,,,,
115,11350,공릉동,248-9,경문빌라,1990,1,43.94,2015,1,19,1000,40,,,,,
116,11350,공릉동,350-42,청마타운B동,2014,3,29.16,2015,1,19,1000,45,,,,,
117,11350,공릉동,567-13,일마래,2013,3,15.15,2015,1,20,2000,30,,,,,
118,11350,공릉동,350-22,청마타운A동,2014,4,28.75,2015,1,20,1000,45,,,,,
119,11350,공릉동,559-27,용호캐슬,2011,,12.09,2015,1,21,500,35,,,,,
120,11350,공릉동,585-17,아트갤러리,2012,2,26.73,2015,1,21,9000,0,,,,,
121,11350,공릉동,350-42,청마타운B동,2014,5,22.8,2015,1,21,3000,20,,,,,
122,11350,공릉동,441-86,441-86,2014,3,20.0,2015,1,22,1000,45,,,,,
123,11350,공릉동,389-3,해피하우스,2011,5,13.98,2015,1,22,1000,45,,,,,
124,11350,공릉동,350-42,청마타운B동,2014,3,29.67,2015,1,22,1000,50,,,,,
125,11350,공릉동,350-42,청마타운B동,2014,4,17.0,2015,1,22,1000,45,,,,,
126,11350,공릉동,589-18,허브빌,2011,3,13.38,2015,1,23,500,37,,,,,
127,11350,공릉동,506-29,(506-29),2011,2,12.3,2015,1,24,2000,40,,,,,
128,11350,공릉동,592-2,하나캐슬,2012,5,12.81,2015,1,24,6500,0,,,,,
129,11350,공릉동,509-14,송정,2012,2,14.97,2015,1,24,1000,40,,,,,
130,11350,공릉동,584-6,공감대House,2012,2,13.41,2015,1,24,2000,30,,,,,
131,11350,공릉동,350-42,청마타운B동,2014,2,29.67,2015,1,24,1000,50,,,,,
132,11350,공릉동,502-27,한미동산,2013,2,18.58,2015,1,24,1000,44,,,,,
133,11350,공릉동,644-46,현대캐슬,2013,3,12.09,2015,1,25,500,40,,,,,
134,11350,공릉동,596-25,두두빌라,2003,2,35.92,2015,1,26,12000,0,,,,,
135,11350,공릉동,441-86,441-86,2014,5,28.46,2015,1,26,2000,32,,,,,
136,11350,공릉동,683-26,온누리빌,2012,6,21.41,2015,1,27,2000,60,,,,,
137,11350,공릉동,683-26,온누리빌,2012,7,21.41,2015,1,27,9000,10,,,,,
138,11350,공릉동,513-57,(513-57),2013,5,19.46,2015,1,27,3000,24,,,,,
139,11350,공릉동,350-42,청마타운B동,2014,3,29.67,2015,1,27,3000,30,,,,,
140,11350,공릉동,224-11,동경맨션타운A동,1994,3,34.8,2015,1,28,9000,0,,,,,
141,11350,공릉동,366-32,우성빌라B동,1991,1,37.08,2015,1,28,7000,0,,,,,
142,11350,공릉동,441-86,441-86,2014,2,20.0,2015,1,29,1000,45,,,,,
143,11350,공릉동,683-26,온누리빌,2012,5,21.41,2015,1,29,11000,0,,,,,
144,11350,공릉동,350-22,청마타운A동,2014,4,18.36,2015,1,29,1000,40,,,,,
145,11350,공릉동,503-1,스톤게이트,2012,3,12.09,2015,1,30,3000,25,,,,,
146,11350,공릉동,350-42,청마타운B동,2014,5,16.52,2015,1,30,2000,25,,,,,
147,11350,공릉동,683-26,온누리빌,2012,7,21.41,2015,1,31,11000,0,,,,,
148,11350,공릉동,683-26,온누리빌,2012,6,21.41,2015,1,31,11000,0,,,,,
149,11350,공릉동,517-85,호산나하우스,2013,3,26.85,2015,1,31,3000,50,,,,,
150,11350,공릉동,240-47,오스틴빌리지,2002,1,46.34,2015,1,31,5000,0,,,,,
151,11350,하계동,65-28,(65-28),2013,4,19.6,2015,1,17,2000,40,,,,,
152,11350,하계동,252-4,코오롱마들102,1996,2,92.65,2015,1,17,28000,0,,,,,
153,11350,하계동,135-11,레드원,2012,2,16.1,2015,1,19,7000,0,,,,,
154,11350,하계동,65-28,(65-28),2013,3,16.41,2015,1,21,1000,40,,,,,
155,11350,하계동,285,한신코아,1994,1,134.82,2015,1,23,38000,0,,,,,
156,11350,하계동,65-28,(65-28),2013,3,15.84,2015,1,23,1000,40,,,,,
157,11350,하계동,72-6,서울빌라B동,2002,1,50.76,2015,1,30,11500,0,,,,,
158,11350,상계동,449-16,보람빌라A,1995,4,64.9,2015,1,3,2000,50,,,,,
159,11350,상계동,168-19,풍전빌라1동,1991,3,67.68,2015,1,5,12000,0,,,,,
160,11350,상계동,341-5,(341-5),2013,6,19.84,2015,1,6,0,45,,,,,
161,11350,상계동,1102-29,루체,2012,2,22.03,2015,1,7,2000,40,,,,,
162,11350,상계동,1011-11,삼성하이빌,2002,4,47.45,2015,1,7,13000,0,,,,,
163,11350,상계동,71-74,반석아트빌라,1994,4,74.93,2015,1,7,9000,0,,,,,
164,11350,상계동,138-123,(138-123),1990,,35.64,2015,1,8,4500,0,,,,,
165,11350,상계동,71-183,불암빌라,1991,4,38.02,2015,1,9,6000,0,,,,,
166,11350,상계동,1117-16,에스엔타워,2014,6,18.69,2015,1,10,3000,40,,,,,
167,11350,상계동,581-213,현대주택(581-213),1996,4,47.93,2015,1,12,11500,0,,,,,
168,11350,상계동,71-42,한진빌라,1996,1,92.43,2015,1,12,5000,60,,,,,
169,11350,상계동,1049-42,엘지그랑빌105동,2003,5,66.27,2015,1,12,6000,40,,,,,
170,11350,상계동,68-17,보림빌라,1992,2,40.86,2015,1,14,1500,45,,,,,
171,11350,상계동,185-8,백하하우스,2014,3,58.61,2015,1,14,15000,0,,,,,
172,11350,상계동,1388-1,호연빌라,1998,2,49.82,2015,1,16,6000,0,,,,,
173,11350,상계동,387-10,중앙프라자,2013,3,13.36,2015,1,17,1000,40,,,,,
174,11350,상계동,169-405,삼광빌라,1994,1,41.04,2015,1,17,10000,0,,,,,
175,11350,상계동,397-7,진주빌라A,1992,2,36.35,2015,1,19,1000,40,,,,,
176,11350,상계동,1376-18,한우리타운가동,2002,2,64.44,2015,1,19,4000,40,,,,,
177,11350,상계동,322-8,오성빌라,1985,2,64.68,2015,1,19,3000,40,,,,,
178,11350,상계동,136-2,풀내음파크빌,2012,3,29.8,2015,1,20,6500,0,,,,,
179,11350,상계동,193-44,원터빌B,2008,4,22.08,2015,1,20,2000,30,,,,,
180,11350,상계동,1090-9,한솔그랑빌,2002,4,37.98,2015,1,22,9500,0,,,,,
181,11350,상계동,1105-65,원하우스,2013,2,17.6,2015,1,23,5500,0,,,,,
182,11350,상계동,387-10,중앙프라자,2013,2,13.36,2015,1,24,500,40,,,,,
183,11350,상계동,1121-14,(1121-14),2002,4,46.01,2015,1,25,1500,50,,,,,
184,11350,상계동,184,동신라메르,2011,3,28.06,2015,1,25,5000,20,,,,,
185,11350,상계동,1105-65,원하우스,2013,3,17.6,2015,1,26,4000,15,,,,,
186,11350,상계동,1278,한신빌라,1999,3,59.82,2015,1,26,10000,20,,,,,
187,11350,상계동,1090-23,가람아트빌A,2003,2,46.83,2015,1,26,2000,50,,,,,
188,11350,상계동,1096-14,SH온수,2002,3,59.94,2015,1,26,5458,0,,,,,
189,11350,상계동,135-96,(135-96),1989,2,41.82,2015,1,27,8000,0,,,,,
190,11350,상계동,140-260,성문하이빌B동,2003,4,45.75,2015,1,27,8000,0,,,,,
191,11350,상계동,1278,한신빌라,1999,1,76.92,2015,1,28,22000,0,,,,,
