,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11650,방배동,464-29,청두곶빌라,2009,2,70.2,2015,1,2,31000,0,,,,,
1,11650,방배동,435-34,(435-34),2014,2,45.94,2015,1,2,5000,70,,,,,
2,11650,방배동,327-36,초원빌라10차,1991,2,57.78,2015,1,2,2500,95,,,,,
3,11650,방배동,467-5,모닝빌,2002,3,53.41,2015,1,2,24000,0,,,,,
4,11650,방배동,820-17,금성아트빌라,1991,1,104.13,2015,1,2,40000,0,,,,,
5,11650,방배동,929-31,MAIBAUM(929-31),2012,2,15.79,2015,1,2,4000,30,,,,,
6,11650,방배동,12-75,동광코즈빌라,1992,2,129.86,2015,1,3,47000,0,,,,,
7,11650,방배동,900-18,방배비체빌,2013,5,29.92,2015,1,3,19000,0,,,,,
8,11650,방배동,879-13,크레썸,2013,4,18.04,2015,1,3,2000,70,,,,,
9,11650,방배동,435-36,(435-36),2012,5,46.02,2015,1,3,29000,0,,,,,
10,11650,방배동,948-27,(948-27),1997,1,27.94,2015,1,3,2000,35,,,,,
11,11650,방배동,765-19,(765-19),1986,2,33.5,2015,1,3,13500,0,,,,,
12,11650,방배동,422-1,천우파크빌라가동,1988,2,37.08,2015,1,3,14000,0,,,,,
13,11650,방배동,436-17,(436-17),1994,1,24.57,2015,1,3,8500,0,,,,,
14,11650,방배동,327-1,현대빌라가동,1992,2,39.14,2015,1,3,17000,0,,,,,
15,11650,방배동,938-21,토티하우스,2001,3,25.44,2015,1,4,11000,0,,,,,
16,11650,방배동,839-18,배일빌라,2002,3,75.1,2015,1,4,40000,0,,,,,
17,11650,방배동,948-28,(948-28),1997,-1,34.79,2015,1,5,500,40,,,,,
18,11650,방배동,900-10,브라운빌,2015,4,42.13,2015,1,5,25000,0,,,,,
19,11650,방배동,932-28,방배파크빌,2013,3,51.07,2015,1,5,3000,150,,,,,
20,11650,방배동,469-2,신구빌라트,1998,4,130.26,2015,1,5,40000,0,,,,,
21,11650,방배동,823-4,복빌라,2004,3,63.52,2015,1,6,6000,115,,,,,
22,11650,방배동,769-3,방배로즈빌1,1997,1,27.29,2015,1,6,1000,50,,,,,
23,11650,방배동,903-11,이레하우스,2014,2,39.77,2015,1,6,24000,0,,,,,
24,11650,방배동,813-2,(813-2),2014,4,29.75,2015,1,6,22500,0,,,,,
25,11650,방배동,900-10,브라운빌,2015,5,29.44,2015,1,6,16000,0,,,,,
26,11650,방배동,435-27,주연피아,2015,3,23.12,2015,1,6,4000,50,,,,,
27,11650,방배동,539-97,(539-97),1999,-1,26.55,2015,1,6,2000,30,,,,,
28,11650,방배동,458-33,풍산프리티빌,2002,3,84.61,2015,1,6,3000,120,,,,,
29,11650,방배동,467-18,발렌시아가,2002,5,64.54,2015,1,6,27000,0,,,,,
