,지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
0,11410,충정로2가,63,(63-0),2002,1,33.71,2015,1,15,11000,0,,,,,
1,11410,충정로2가,63,(63-0),2002,3,29.19,2015,1,22,13000,0,,,,,
2,11410,충정로3가,8-5,동아아트빌라,1993,2,42.93,2015,1,2,7000,0,,,,,
3,11410,충정로3가,3-38,충정로주택,2001,4,41.96,2015,1,3,500,40,,,,,
4,11410,충정로3가,3-77,성은빌라,1997,4,72.33,2015,1,3,19000,0,,,,,
5,11410,충정로3가,3-10,노벨아트빌,2003,2,57.44,2015,1,9,17500,0,,,,,
6,11410,충정로3가,3-100,삼성빌,2002,2,48.47,2015,1,13,2000,40,,,,,
7,11410,충정로3가,32-34,(32-34),1992,1,104.08,2015,1,14,24000,0,,,,,
8,11410,충정로3가,3-10,노벨아트빌,2003,2,57.44,2015,1,16,17500,0,,,,,
9,11410,충정로3가,31-2,동남하이츠빌라,1995,4,45.36,2015,1,20,9000,0,,,,,
10,11410,충정로3가,3-39,(3-39),1986,1,56.07,2015,1,24,13000,0,,,,,
11,11410,충정로3가,8-5,동아아트빌라,1993,4,39.45,2015,1,31,10000,0,,,,,
12,11410,냉천동,263,성산빌딩,2013,6,13.21,2015,1,3,1000,55,,,,,
13,11410,천연동,80-13,삼성팰리스,2008,3,59.05,2015,1,7,20000,0,,,,,
14,11410,옥천동,126,(126-0),1996,2,45.9,2015,1,30,11000,0,,,,,
15,11410,북아현동,1-72,상원빌-3,2007,2,48.88,2015,1,3,11000,0,,,,,
16,11410,북아현동,1-85,(1-85),1998,2,59.76,2015,1,7,13000,0,,,,,
17,11410,북아현동,123-82,파인빌라,2000,2,28.96,2015,1,8,3000,30,,,,,
18,11410,북아현동,16-1,희원빌라,1995,2,41.44,2015,1,11,2000,40,,,,,
19,11410,북아현동,183-1,정원아리솔,2014,3,12.83,2015,1,12,5500,0,,,,,
20,11410,북아현동,1-447,범민빌라(1-447),1992,3,62.77,2015,1,13,14000,0,,,,,
21,11410,북아현동,123-76,월드빌라,2001,1,77.19,2015,1,13,7800,0,,,,,
22,11410,북아현동,1-51,중앙빌라1-51,1992,1,61.11,2015,1,14,18700,0,,,,,
23,11410,북아현동,1-109,(1-109),2004,3,50.43,2015,1,15,15500,0,,,,,
24,11410,북아현동,3-65,유명빌라,1993,1,30.02,2015,1,16,3000,25,,,,,
25,11410,북아현동,123-21,(123-21),1993,1,18.0,2015,1,17,500,40,,,,,
26,11410,북아현동,129-75,(129-75),1999,7,60.21,2015,1,21,18000,0,,,,,
27,11410,북아현동,1-72,상원빌-3,2007,3,45.93,2015,1,30,14000,0,,,,,
28,11410,홍제동,346-15,화원빌라나동,2002,4,53.82,2015,1,1,3000,40,,,,,
29,11410,홍제동,47-25,안산빌라,1991,1,66.8,2015,1,3,2000,75,,,,,
30,11410,홍제동,312-19,오크빌,2003,5,34.99,2015,1,3,7000,10,,,,,
31,11410,홍제동,266-99,써니힐스,2013,4,24.3,2015,1,3,2000,45,,,,,
32,11410,홍제동,122-32,엘리스빌리지,2001,5,31.63,2015,1,5,800,45,,,,,
33,11410,홍제동,255-5,(255-5),1986,2,52.54,2015,1,6,12000,0,,,,,
34,11410,홍제동,361-9,나임하우스,1995,2,65.23,2015,1,7,16000,0,,,,,
