지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11290,성북동,168-27,성북동다세대,2004,3,71.01,2015,1,3,10000,30,,,,,
11290,성북동,213-10,(213-10),1991,-1,93.5,2015,1,5,22000,0,,,,,
11290,성북동,145-1,서흥빌라,1997,4,39.0,2015,1,7,9000,0,,,,,
11290,성북동,168-5,(168-5),1996,-1,56.15,2015,1,7,5000,0,,,,,
11290,성북동,164-1,팔복빌라,1993,1,35.82,2015,1,7,2000,40,,,,,
11290,성북동,163-7,수정아트빌라,1993,3,74.89,2015,1,8,12000,0,,,,,
11290,성북동,168-160,현대빌라(168-160),2002,1,59.95,2015,1,12,11500,0,,,,,
11290,성북동,174-3,(174-3),1997,1,59.58,2015,1,16,15000,0,,,,,
11290,성북동,54-3,삼보월드빌(다),2003,4,62.34,2015,1,17,18000,0,,,,,
11290,성북동,352,성북동외교관사택단지,2010,-1,148.714,2015,1,19,4200,350,,,,,
11290,성북동,164-1,팔복빌라,1993,3,35.82,2015,1,19,6000,0,,,,,
11290,성북동,131-129,(131-129),2006,4,62.06,2015,1,24,25000,0,,,,,
11290,성북동,303,대광하이츠빌라,1992,,40.0,2015,1,27,4000,0,,,,,
11290,성북동1가,60-1,범진빌리지,2015,3,24.5,2015,1,10,3000,70,,,,,
11290,성북동1가,106-30,도현빌라(C),2002,1,65.61,2015,1,19,5000,50,,,,,
11290,성북동1가,92,능현빌,2002,3,44.85,2015,1,28,7000,0,,,,,
11290,돈암동,538-106,예움하우스,2012,1,62.91,2015,1,8,7600,0,,,,,
11290,돈암동,413-115,쁘띠메종,2010,1,64.13,2015,1,9,16000,0,,,,,
11290,돈암동,626,돈암빌라(626),1983,3,53.14,2015,1,14,6500,0,,,,,
11290,돈암동,38-26,(38-26),1995,1,37.81,2015,1,20,4000,30,,,,,
11290,돈암동,48,돈암아파트,1965,2,21.32,2015,1,31,500,25,,,,,
11290,동소문동1가,51,"엘하우스,타운힐빌딩,한마음빌라",1998,6,47.91,2015,1,13,18000,0,,,,,
11290,동소문동4가,124-2,아카데미하우스,2013,3,15.16,2015,1,10,2000,50,,,,,
11290,동소문동4가,139,현대빌라,1997,2,54.06,2015,1,16,17000,0,,,,,
11290,동소문동4가,157,수정빌라트,2002,2,67.82,2015,1,21,24000,0,,,,,
11290,동소문동4가,218,양지빌라트(103동),2001,4,58.19,2015,1,28,19500,0,,,,,
11290,동소문동6가,50,(50-0),2002,2,26.11,2015,1,4,1000,45,,,,,
11290,동소문동6가,159,유성빌딩,2014,7,18.81,2015,1,6,2000,50,,,,,
11290,동소문동6가,187,어반하우스,2014,4,25.5,2015,1,7,2000,90,,,,,
11290,동소문동6가,93,그린빌,2014,3,25.86,2015,1,11,8000,55,,,,,
11290,동소문동6가,93,그린빌,2014,3,19.89,2015,1,12,1000,55,,,,,
11290,동소문동6가,93,그린빌,2014,4,25.86,2015,1,17,6000,60,,,,,
11290,동소문동6가,93,그린빌,2014,5,22.92,2015,1,24,7000,60,,,,,
11290,동소문동6가,187,어반하우스,2014,4,27.7,2015,1,26,4000,70,,,,,
11290,동소문동7가,109,(109-0),2011,4,28.08,2015,1,2,1500,80,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,2,66.55,2015,1,5,17500,0,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,4,59.98,2015,1,5,17500,0,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,2,59.98,2015,1,5,16000,0,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,5,59.98,2015,1,7,16000,0,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,3,69.14,2015,1,8,21000,0,,,,,
11290,동소문동7가,23-1,신우빌리지,2012,4,76.69,2015,1,10,23000,0,,,,,
11290,동소문동7가,119-4,현대하이츠빌라,1996,4,29.73,2015,1,15,11000,0,,,,,
