지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11200,하왕십리동,890-401,광진연립B동,1986,3,39.7,2015,1,9,15000,0,,,,,
11200,하왕십리동,890-114,수빌,2012,4,13.97,2015,1,10,3000,30,,,,,
11200,홍익동,125,동아맨션,1977,3,85.36,2015,1,19,17000,0,,,,,
11200,홍익동,367,리더스파크,2014,2,27.45,2015,1,21,19000,0,,,,,
11200,도선동,188,도선빌,2012,5,17.56,2015,1,10,6000,30,,,,,
11200,도선동,332,청기와빌라,1996,1,50.76,2015,1,31,18000,0,,,,,
11200,마장동,388-16,좋은사람좋은집,2012,5,74.82,2015,1,3,22000,0,,,,,
11200,마장동,339-11,둥지,2013,4,12.09,2015,1,4,5000,35,,,,,
11200,마장동,469-6,(469-6),2013,4,23.28,2015,1,8,15000,0,,,,,
11200,마장동,783-3,명성연립다동,1982,2,60.2,2015,1,8,15000,0,,,,,
11200,마장동,388-20,준리첸시아,2013,2,12.87,2015,1,9,9000,0,,,,,
11200,마장동,388-43,SUNNYhill(써니힐),2007,4,30.83,2015,1,10,9000,0,,,,,
11200,마장동,801-11,(801-11),2013,4,12.02,2015,1,10,3000,35,,,,,
11200,마장동,388-45,melon,2012,4,14.72,2015,1,11,1000,50,,,,,
11200,마장동,399-57,(399-57),2013,3,13.4,2015,1,12,3000,30,,,,,
11200,마장동,793-23,미성빌라가동,1984,2,66.4,2015,1,13,18000,0,,,,,
11200,마장동,388-16,좋은사람좋은집,2012,2,17.23,2015,1,19,9500,0,,,,,
11200,마장동,778-12,파크빌,2013,3,17.82,2015,1,23,2000,50,,,,,
11200,마장동,399-92,삼성아트빌,2002,4,49.15,2015,1,26,20000,0,,,,,
11200,마장동,784-2,흥일연립나동,1982,3,50.02,2015,1,28,15000,0,,,,,
11200,마장동,388-20,준리첸시아,2013,3,13.46,2015,1,29,4000,37,,,,,
11200,마장동,388-45,melon,2012,2,15.0,2015,1,31,3000,30,,,,,
11200,사근동,180-3,(180-3),2003,3,17.07,2015,1,2,6000,0,,,,,
11200,사근동,176-8,(176-8),2015,3,20.51,2015,1,3,500,45,,,,,
11200,사근동,176-9,에덴의집,2003,3,50.45,2015,1,4,1000,53,,,,,
