지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11470,신정동,918-14,새롬빌라,2001,4,57.36,2015,1,2,3000,65,,,,,
11470,신정동,1012-3,보은빌라,2002,4,46.71,2015,1,2,8000,20,,,,,
11470,신정동,1198-26,우영빌라,2002,4,44.97,2015,1,5,9500,0,,,,,
11470,신정동,927-57,시티파크빌,2012,2,59.96,2015,1,5,15000,0,,,,,
11470,신정동,117-12,스위트드림하우스,2014,3,56.12,2015,1,5,26000,0,,,,,
11470,신정동,1003-3,삼육빌라트,2002,4,53.07,2015,1,5,15000,0,,,,,
11470,신정동,927-57,시티파크빌,2012,5,68.25,2015,1,5,13000,0,,,,,
11470,신정동,953-14,(953-14),2005,5,67.98,2015,1,7,8000,50,,,,,
11470,신정동,281-64,천안주택다동,1991,,36.42,2015,1,7,6500,0,,,,,
11470,신정동,996-3,(996-3),1987,2,39.48,2015,1,8,7500,0,,,,,
11470,신정동,282-23,라이프하이츠다동,1990,1,34.72,2015,1,8,11000,0,,,,,
11470,신정동,952-11,한울스카이빌,2003,1,53.39,2015,1,8,10000,0,,,,,
11470,신정동,117-10,목동까사하이,2004,5,63.26,2015,1,9,17000,0,,,,,
11470,신정동,1218-9,우진파크빌다동,2002,1,51.42,2015,1,9,10000,0,,,,,
11470,신정동,964-41,목화주택가동,1993,,55.03,2015,1,10,13000,0,,,,,
11470,신정동,973-27,목동드림타운(973-27),2012,5,12.18,2015,1,11,5500,0,,,,,
11470,신정동,937-12,강성하우스(937-12),2012,4,16.08,2015,1,12,5000,0,,,,,
11470,신정동,294-42,목동주택,2013,3,15.63,2015,1,12,1000,47,,,,,
11470,신정동,117-12,스위트드림하우스,2014,3,56.12,2015,1,13,26000,0,,,,,
11470,신정동,975-15,광동예지인8차(975-15),2013,3,24.25,2015,1,13,13500,0,,,,,
11470,신정동,891-14,(891-14),2014,4,25.56,2015,1,13,9000,0,,,,,
11470,신정동,930-15,태성빌라(930-15),1990,-1,29.69,2015,1,14,3500,0,,,,,
11470,신정동,1015-9,남부주택,2011,2,14.33,2015,1,14,300,50,,,,,
11470,신정동,915-21,오성아트빌라D동,1994,,37.4,2015,1,14,5000,0,,,,,
11470,신정동,879-8,국화빌라,1996,3,66.24,2015,1,15,16000,0,,,,,
11470,신정동,940-4,수팰리스(940-4),2011,3,13.26,2015,1,15,300,49,,,,,
11470,신정동,957-14,송원주택(957-14),2003,5,18.0,2015,1,16,500,30,,,,,
11470,신정동,983-7,화이트하우스,1997,3,44.96,2015,1,16,12000,0,,,,,
11470,신정동,119-58,(119-58),2012,2,29.079,2015,1,17,4000,20,,,,,
11470,신정동,891-14,(891-14),2014,3,25.56,2015,1,17,10000,0,,,,,
11470,신정동,889-13,중앙아트맨션신정5차,1993,3,27.79,2015,1,17,8000,0,,,,,
11470,신정동,1160-20,(1160-20),2003,4,71.71,2015,1,17,12000,0,,,,,
11470,신정동,937-11,후암리치빌(937-11),2009,2,48.76,2015,1,17,3000,50,,,,,
11470,신정동,927-57,시티파크빌,2012,5,69.45,2015,1,17,13000,0,,,,,
11470,신정동,1205-6,국제아트빌(1205-6),2003,2,37.555,2015,1,19,8000,0,,,,,
11470,신정동,926-17,레오스위트,2012,5,23.08,2015,1,20,500,42,,,,,
11470,신정동,906-6,"동규빌라가,나동",1991,2,64.89,2015,1,21,5000,60,,,,,
11470,신정동,895-7,(895-7),1986,1,53.97,2015,1,22,11000,0,,,,,
11470,신정동,894-2,(894-2),2002,3,93.72,2015,1,22,18000,0,,,,,
11470,신정동,875-12,한일빌라,2002,2,49.02,2015,1,22,11000,0,,,,,
11470,신정동,937-12,강성하우스(937-12),2012,4,16.08,2015,1,22,4500,0,,,,,
11470,신정동,888-34,에이스빌(888-34),2008,3,65.28,2015,1,22,13000,0,,,,,
11470,신정동,1010-2,장백빌라가동,1993,1,52.2,2015,1,22,11000,0,,,,,
11470,신정동,967-22,(967-22),2002,1,52.74,2015,1,22,4000,35,,,,,
11470,신정동,967-11,노을빌라,2001,2,54.96,2015,1,22,11000,0,,,,,
11470,신정동,933-1,정운빌라(933-1),2001,3,40.5,2015,1,22,11000,0,,,,,
11470,신정동,926-17,레오스위트,2012,2,45.46,2015,1,23,2000,55,,,,,
11470,신정동,950-1,도양라비앙빌(950-1),2007,3,56.11,2015,1,23,19000,0,,,,,
11470,신정동,876-24,해동빌라,1994,4,60.61,2015,1,23,12000,0,,,,,
11470,신정동,1000-14,"예지쉐르빌(56,57차)",2010,2,59.32,2015,1,24,4000,60,,,,,
11470,신정동,888-34,에이스빌(888-34),2008,6,58.11,2015,1,24,11000,0,,,,,
11470,신정동,954-9,동일하이빌(954-9),2003,5,62.51,2015,1,25,15500,0,,,,,
11470,신정동,1215-3,은아쉐르빌,2002,4,49.23,2015,1,25,10500,0,,,,,
11470,신정동,1206-11,탑건위너빌,2004,2,72.18,2015,1,26,12000,0,,,,,
11470,신정동,919-9,시온주택,2001,,33.93,2015,1,26,4000,0,,,,,
11470,신정동,955-2,현대빌라A동,1991,1,36.89,2015,1,26,13000,0,,,,,
11470,신정동,1208-33,다다빌라트(가동),2000,4,65.04,2015,1,26,12000,0,,,,,
11470,신정동,1011-14,광동예지인(1011-14),2010,3,50.27,2015,1,26,5000,50,,,,,
11470,신정동,1219-7,오성이지빌,2003,3,45.9,2015,1,27,10000,0,,,,,
11470,신정동,915-1,오성아트빌라C동,1994,1,37.77,2015,1,27,8500,0,,,,,
11470,신정동,1050-32,(1050-32),1992,1,39.96,2015,1,28,10000,0,,,,,
11470,신정동,925-11,예지쉐르빌15차가동,2002,4,68.1,2015,1,28,15000,0,,,,,
11470,신정동,957-4,레몬테라스2,2011,5,40.45,2015,1,29,15500,0,,,,,
11470,신정동,978-7,금정빌(978-7),2011,2,24.84,2015,1,30,1000,45,,,,,
11470,신정동,945-8,트라움하우스,2009,1,33.72,2015,1,30,11000,0,,,,,
11470,신정동,1197-3,금남맨션,2002,2,76.32,2015,1,30,14000,0,,,,,
11470,신정동,909-7,낭주고을,2001,3,43.92,2015,1,31,1500,35,,,,,
