지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11560,영등포동,573-17,일산로얄빌라7동(573-17),1992,,49.14,2015,1,10,9000,0,,,,,
11560,영등포동,646-11,공원도원빌(646-11),2001,4.0,54.72,2015,1,14,14000,0,,,,,
11560,영등포동,646-1,공원도원빌(646-1),2001,1.0,59.84,2015,1,22,16000,0,,,,,
11560,영등포동1가,29,여의도의아침,2012,6.0,12.03,2015,1,20,8500,0,,,,,
11560,영등포동1가,55,필오피스텔,2012,3.0,17.02,2015,1,21,5000,35,,,,,
11560,영등포동1가,29,여의도의아침,2012,4.0,12.38,2015,1,28,1500,45,,,,,
11560,영등포동2가,29-80,코지하우스,2012,2.0,13.8,2015,1,2,6000,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,4.0,19.84,2015,1,3,6500,0,,,,,
11560,영등포동2가,29-72,범영시티,2012,4.0,20.52,2015,1,5,12500,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,3.0,19.84,2015,1,7,6500,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,5.0,19.84,2015,1,10,3000,30,,,,,
11560,영등포동2가,28-151,인정타운,2013,3.0,15.05,2015,1,12,6000,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,3.0,19.74,2015,1,12,6500,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,5.0,19.74,2015,1,13,6700,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,6.0,15.68,2015,1,13,3500,20,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,3.0,15.68,2015,1,13,4500,13,,,,,
11560,영등포동2가,29-72,범영시티,2012,3.0,20.52,2015,1,17,12000,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,4.0,19.74,2015,1,21,6500,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,4.0,19.84,2015,1,24,1000,47,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,4.0,19.84,2015,1,24,3500,25,,,,,
11560,영등포동2가,29-72,범영시티,2012,2.0,20.52,2015,1,24,12500,0,,,,,
11560,영등포동2가,29-72,범영시티,2012,3.0,20.52,2015,1,24,12000,0,,,,,
11560,영등포동2가,29-94,경문빌딩,2014,5.0,19.84,2015,1,25,6500,0,,,,,
11560,영등포동2가,28-151,인정타운,2013,4.0,14.62,2015,1,27,6500,0,,,,,
11560,영등포동4가,167-1,태양씨티하우스,2012,6.0,18.06,2015,1,12,3000,40,,,,,
11560,영등포동4가,117-2,브라운시티,2013,7.0,18.47,2015,1,19,3000,58,,,,,
11560,영등포동4가,167-1,태양씨티하우스,2012,6.0,18.72,2015,1,19,2500,46,,,,,
11560,영등포동7가,29-49,토방베스트빌B동(29-49),2002,5.0,59.75,2015,1,17,16000,0,,,,,
11560,당산동1가,59,덕인풀하우스,2013,4.0,15.05,2015,1,3,500,57,,,,,
11560,당산동1가,256-85,당산아트빌,2006,5.0,44.19,2015,1,5,17000,0,,,,,
11560,당산동1가,458,康南,2012,6.0,12.58,2015,1,8,8000,0,,,,,
11560,당산동1가,458,康南,2012,5.0,12.58,2015,1,22,8000,0,,,,,
11560,당산동1가,256-19,리원파크빌,2009,4.0,60.24,2015,1,25,21000,0,,,,,
11560,당산동3가,451,에담빌라(451-0),2002,3.0,40.04,2015,1,22,10000,11,,,,,
11560,당산동4가,32-119,(32-119),1997,4.0,62.87,2015,1,13,15000,0,,,,,
11560,당산동4가,32-91,해명하우스(32-91),2002,3.0,44.28,2015,1,27,10000,30,,,,,
11560,당산동6가,237-2,당산아르빌,2008,3.0,57.91,2015,1,3,20000,0,,,,,
11560,당산동6가,110-66,당산타워빌,2009,5.0,60.0,2015,1,4,21000,0,,,,,
11560,당산동6가,237-11,성원파크빌,2014,4.0,15.47,2015,1,12,3000,45,,,,,
11560,당산동6가,104-10,Rexvill,2008,2.0,44.54,2015,1,28,18000,0,,,,,
11560,당산동,121-3,나온타워,2013,2.0,15.38,2015,1,3,7000,0,,,,,
11560,도림동,26-8,다인,2014,4.0,39.78,2015,1,8,17000,0,,,,,
11560,도림동,26-8,다인,2014,3.0,44.46,2015,1,10,17000,0,,,,,
11560,도림동,240-11,리치하우스,2013,4.0,29.79,2015,1,13,13000,0,,,,,
11560,도림동,26-8,다인,2014,2.0,44.46,2015,1,13,16000,0,,,,,
11560,도림동,240-11,리치하우스,2013,6.0,29.97,2015,1,21,12000,0,,,,,
11560,도림동,250-17,제이스타,2011,3.0,12.58,2015,1,25,6000,0,,,,,
11560,도림동,23-15,청운빌라(23-15),1987,1.0,43.91,2015,1,31,8000,0,,,,,
11560,양평동1가,239-1,대흥(나),1983,1.0,79.266,2015,1,9,11000,0,,,,,
11560,양평동1가,9-27,(9-27),2014,2.0,15.3,2015,1,28,1000,45,,,,,
11560,양평동4가,161-9,(161-9),2014,4.0,12.96,2015,1,3,1000,50,,,,,
11560,양평동4가,260-2,(260-2),2012,3.0,18.05,2015,1,5,1000,50,,,,,
11560,양평동4가,272-1,(272-1),2015,5.0,29.72,2015,1,7,22000,0,,,,,
11560,양평동4가,217,양화빌1차,2010,5.0,29.85,2015,1,10,11000,0,,,,,
11560,양평동4가,161-9,(161-9),2014,3.0,13.76,2015,1,10,1000,50,,,,,
11560,양평동4가,217,양화빌1차,2010,5.0,29.58,2015,1,13,2000,55,,,,,
11560,양평동4가,180-2,행복이머무는집,2013,3.0,29.79,2015,1,13,3000,70,,,,,
11560,양평동4가,218-1,코쿤하우스,2011,4.0,25.85,2015,1,14,9000,0,,,,,
11560,양평동4가,163-1,세이지빌2차,2011,3.0,29.44,2015,1,17,12000,0,,,,,
11560,양평동4가,170,파크빌Ⅱ,2010,3.0,30.0,2015,1,19,3000,40,,,,,
11560,양평동4가,237-2,새롬하우스,2014,3.0,17.71,2015,1,19,1000,58,,,,,
11560,양평동4가,276-8,세이지빌1차,2011,3.0,15.34,2015,1,21,2000,25,,,,,
11560,양평동4가,87,(87-0),2002,3.0,40.09,2015,1,22,15000,0,,,,,
