지역코드,법정동,지번,연립다세대,건축년도,층,전용면적,년,월,일,보증금액,월세금액,계약구분,계약기간,갱신요구권사용,종전계약보증금,종전계약월세
11170,후암동,438-17,로얄파크빌A,2007,3.0,56.26,2015,1,2,12000,0,,,,,
11170,후암동,143-1,세종파크빌리지(143-1),2006,5.0,80.35,2015,1,3,22000,0,,,,,
11170,후암동,155-14,(155-14),2003,2.0,54.5,2015,1,3,2000,80,,,,,
11170,후암동,60-40,(60-40),2010,3.0,64.34,2015,1,5,19500,0,,,,,
11170,후암동,244-116,수미주택,2015,3.0,46.48,2015,1,6,25000,0,,,,,
11170,후암동,244-116,수미주택,2015,3.0,53.86,2015,1,6,35000,0,,,,,
11170,후암동,36,해나루6,2014,3.0,57.39,2015,1,6,28000,0,,,,,
11170,후암동,400-48,(400-48),2000,1.0,45.04,2015,1,7,10500,0,,,,,
11170,후암동,297-25,해나루,2012,3.0,62.25,2015,1,7,20000,0,,,,,
11170,후암동,334-6,(334-6),2015,3.0,59.12,2015,1,8,22000,20,,,,,
11170,후암동,60-26,후암코지하우스,2012,2.0,14.12,2015,1,10,2000,40,,,,,
11170,후암동,252-1,금강프라임빌,2012,4.0,44.13,2015,1,10,20000,0,,,,,
11170,후암동,60-26,후암코지하우스,2012,3.0,15.15,2015,1,10,2000,45,,,,,
11170,후암동,122,삼안리치4차,2003,3.0,79.89,2015,1,11,24000,0,,,,,
11170,후암동,140-6,신앙빌라,1985,2.0,71.25,2015,1,13,14000,0,,,,,
11170,후암동,436,(436-0),2007,3.0,46.38,2015,1,13,14000,0,,,,,
11170,후암동,55-43,(55-43),2007,3.0,30.6,2015,1,13,2000,40,,,,,
11170,후암동,403-3,삼성하이츠,2002,1.0,103.05,2015,1,13,25000,0,,,,,
11170,후암동,60-26,후암코지하우스,2012,2.0,13.84,2015,1,15,1000,50,,,,,
11170,후암동,60-26,후암코지하우스,2012,5.0,14.12,2015,1,15,2500,40,,,,,
11170,후암동,303-1,훼미리빌,2006,4.0,61.81,2015,1,16,22000,0,,,,,
11170,후암동,55-31,하남빌라,2014,4.0,68.25,2015,1,16,30000,0,,,,,
11170,후암동,252-4,현대그린빌라,1997,2.0,83.04,2015,1,16,25000,0,,,,,
11170,후암동,30-38,타워빌라6차,1988,2.0,73.8,2015,1,16,3000,70,,,,,
11170,후암동,56-11,빌포유,2006,4.0,53.97,2015,1,17,25000,0,,,,,
11170,후암동,402-11,(402-11),1996,1.0,46.26,2015,1,17,14500,0,,,,,
11170,후암동,142-32,한아름빌리지,2004,2.0,68.85,2015,1,17,16000,0,,,,,
11170,후암동,41-9,영진빌라,1997,3.0,77.02,2015,1,17,20000,0,,,,,
11170,후암동,244-101,용산더힐(101),2012,4.0,50.55,2015,1,17,23000,0,,,,,
11170,후암동,46-4,(46-4),2011,3.0,29.04,2015,1,17,12000,0,,,,,
11170,후암동,400-17,(400-17),1997,,38.7,2015,1,19,9000,0,,,,,
11170,후암동,60-23,예인아트빌(60-23),2007,2.0,42.28,2015,1,19,2000,50,,,,,
11170,후암동,399-1,마이다스빌(399-1),2000,1.0,59.85,2015,1,20,18000,0,,,,,
11170,후암동,60-40,(60-40),2010,1.0,64.25,2015,1,20,20000,0,,,,,
11170,후암동,244-171,용산더힐(171),2012,5.0,19.8,2015,1,20,1500,50,,,,,
11170,후암동,60-40,(60-40),2010,4.0,68.77,2015,1,21,20800,0,,,,,
11170,후암동,438-17,로얄파크빌A,2007,3.0,47.76,2015,1,23,16000,0,,,,,
11170,후암동,247-7,대림하이츠타운9차,1996,,66.96,2015,1,23,20000,0,,,,,
11170,후암동,38-4,해나루7,2014,1.0,67.46,2015,1,23,30000,0,,,,,
11170,후암동,247-14,명아트빌3차,2002,1.0,64.95,2015,1,24,16000,0,,,,,
11170,후암동,252-1,금강프라임빌,2012,2.0,44.13,2015,1,25,22000,0,,,,,
11170,후암동,142-32,한아름빌리지,2004,1.0,56.77,2015,1,26,12500,35,,,,,
11170,후암동,257-7,(257-7),2013,2.0,14.99,2015,1,26,1000,50,,,,,
11170,후암동,292,용산베스트빌,2015,3.0,29.76,2015,1,26,20000,0,,,,,
11170,후암동,268,로뎀빌,2003,4.0,53.88,2015,1,27,15000,0,,,,,
11170,후암동,436,(436-0),2007,4.0,38.75,2015,1,27,14000,0,,,,,
11170,후암동,257-7,(257-7),2013,5.0,14.99,2015,1,29,500,60,,,,,
11170,후암동,435-40,(435-40),2008,2.0,58.31,2015,1,30,15000,20,,,,,
11170,후암동,254-25,참스위트빌,2013,4.0,16.07,2015,1,30,1000,50,,,,,
11170,용산동2가,1-1931,정일아트빌(1-1931),2008,2.0,51.05,2015,1,3,16000,0,,,,,
11170,용산동2가,5-1441,(5-1441),1999,,59.97,2015,1,5,10000,0,,,,,
11170,용산동2가,5-1508,(5-1508),2001,3.0,52.23,2015,1,5,1000,65,,,,,
11170,용산동2가,22-7,성원힐,2008,3.0,25.05,2015,1,7,500,50,,,,,
11170,용산동2가,5-5,남산쉐르빌,2004,-1.0,62.51,2015,1,8,13000,0,,,,,
11170,용산동2가,41-11,(41-11),2007,2.0,24.04,2015,1,10,6000,0,,,,,
